"GEOID","county","pop","med_house_income","white","black","native","asian","island","other","hisp_latino","male_total","female_total","no_school","mid_school","high_school","ged","associates","bachelors","masters","doctorate","drove_alone","public_transp","age_under_18","age_18_64","age_65_plus","state_abbrev"
"01001","Autauga",58761,68315,42635,11496,59,636,0,141,1864,28663,30098,248,232,10001,2516,3495,6726,4014,437,23092,152,13766,35819,9176,"AL"
"01003","Baldwin",233420,71039,192161,19318,512,2046,22,992,11210,114077,119343,1257,797,38059,8332,16046,33474,15077,2351,86118,98,49396,134525,49499,"AL"
"01005","Barbour",24877,39712,11084,11662,63,126,3,290,1202,12973,11904,287,452,5136,1371,1397,1167,640,105,6844,11,5151,14800,4926,"AL"
"01007","Bibb",22251,50669,16520,4598,15,69,0,17,650,11897,10354,363,358,5261,1249,1269,1047,507,76,7095,0,4715,13802,3734,"AL"
"01009","Blount",59077,57440,50614,729,75,100,117,87,5721,29864,29213,986,428,11248,3166,4493,3840,1751,156,20716,0,13564,34722,10791,"AL"
"01011","Bullock",10328,36136,2125,7117,0,43,0,0,907,5542,4786,200,166,2515,442,226,492,93,33,3260,0,2175,6439,1714,"AL"
"01013","Butler",18981,44429,9655,8462,69,243,0,8,322,8928,10053,335,65,5521,843,987,1029,542,21,6365,17,4234,10726,4021,"AL"
"01015","Calhoun",116162,54339,81851,25204,174,708,207,427,4736,56185,59977,963,1337,21599,5679,6401,9098,4121,1011,41672,286,24599,70769,20794,"AL"
"01017","Chambers",34612,48805,18794,14107,10,60,3,63,1129,16485,18127,571,415,7991,1772,2697,2273,737,55,12542,68,7191,20591,6830,"AL"
"01019","Cherokee",25069,46621,22749,1000,113,21,0,16,479,12261,12808,310,590,5386,1292,2215,1530,832,101,8605,72,4726,14516,5827,"AL"
"01021","Chilton",45140,62471,35714,4254,17,229,15,318,3664,22048,23092,974,396,10769,1968,2297,2504,1551,107,15250,0,10705,26830,7605,"AL"
"01023","Choctaw",12669,43299,7162,5055,28,15,0,0,143,5980,6689,161,259,2989,471,875,873,283,10,3849,0,2526,7193,2950,"AL"
"01025","Clarke",23058,47549,11809,10479,15,90,0,146,335,11032,12026,414,169,5860,709,1118,1346,705,41,6960,14,5075,13283,4700,"AL"
"01027","Clay",14209,48074,11385,1790,0,36,0,12,437,6931,7278,122,190,3161,600,1188,926,279,0,4315,13,2910,8340,2959,"AL"
"01029","Cleburne",15144,51553,13964,411,22,15,0,28,401,7565,7579,58,329,3316,829,806,1172,476,33,4764,15,3446,8724,2974,"AL"
"01031","Coffee",53559,62199,36875,8598,277,563,8,71,4500,26626,26933,659,365,8599,1982,4781,4786,2424,327,19406,10,12670,31724,9165,"AL"
"01033","Colbert",57270,56149,44485,9171,170,214,53,78,1837,27911,29359,518,462,12633,2327,3447,4578,1821,410,21510,22,11977,33840,11453,"AL"
"01035","Conecuh",11576,39888,5751,5553,33,36,0,12,80,5639,5937,72,71,3660,386,678,642,316,118,3209,0,2368,6494,2714,"AL"
"01037","Coosa",10329,52279,6632,3120,9,0,0,57,284,5306,5023,94,174,2713,621,749,578,195,22,3028,0,1658,6148,2523,"AL"
"01039","Covington",37542,48772,30958,4606,101,218,0,85,749,18243,19299,377,286,8043,1550,3126,2585,1280,135,13056,6,8227,21150,8165,"AL"
