"year","GEOID","county","state_abbrev","totalpopulation","totalpop18plus","casthma","arthritis","stroke","disability","obesity","vision","mobility","binge","depression","copd","chd","checkup","cancer","csmoking"
"2022","01027","Clay","AL","14198","11235",11,36.6,5.3,41,39.5,7.3,21.5,13.6,25.9,11.9,10.4,79.5,9.5,20.6
"2022","01045","Dale","AL","49544","38039",10.7,35.6,4.7,36.1,44.3,6.7,19,14.4,25,10,9,80.3,8.3,18.1
"2022","01071","Jackson","AL","52891","42087",10.9,38,5.1,40.3,38.9,7.3,21,14.3,27.2,12,10.3,78.7,9.6,20.2
"2022","01079","Lawrence","AL","33214","26022",11.2,38.9,5.1,40.1,41.1,7.2,20.6,14.8,26.4,11.4,9.7,79,9,20.1
"2022","01081","Lee","AL","180773","143546",10.1,28,3.3,33,33.9,5.5,13.7,16,25.2,6.9,6.2,77.4,6.6,15.2
"2022","01107","Pickens","AL","18697","15176",11,37.1,5.4,39.5,43.8,7.9,21.1,13,22.8,10.5,9.5,80.9,8,19.4
"2022","01091","Marengo","AL","18745","14573",11.3,38.9,5.9,41.2,46.2,8.6,23.4,12,23.3,11.3,9.9,81.9,7.8,19.9
"2022","01001","Autauga","AL","59759","45878",10,34.5,3.7,32.8,38.9,4.9,15.2,15.4,23.8,7.8,7.4,79.3,8.3,15.5
"2022","01061","Geneva","AL","26783","20925",10.5,40.4,5.1,39.6,38.6,6.8,20.3,13.9,26.8,11,10.3,80,9.8,17.6
"2022","01039","Covington","AL","37602","29340",10.4,40.3,4.5,36.3,43.8,6.2,18.1,13.3,26.3,9.4,9.2,79.8,10.2,16.9
"2022","01003","Baldwin","AL","246435","195167",9.7,34.6,3.7,31.8,36.8,4.6,14.8,15.7,23.5,7.9,8.2,79.9,10.1,14
"2022","01077","Lauderdale","AL","95878","77472",10.1,34.1,3.8,33.3,35.2,5.1,15.4,14.9,25.2,8.3,8,79.3,9.4,14.7
"2022","01111","Randolph","AL","22479","17785",10.8,36.7,4.9,39.3,40.3,6.9,20,14.1,25.7,10.6,9.7,79.8,9.4,18.9
"2022","01113","Russell","AL","58555","44348",11.6,32.7,5.2,40.3,47.1,8.3,21.1,13.8,23.9,10.1,8.4,80.3,6.9,20.3
"2022","01017","Chambers","AL","34088","27025",11.4,36.8,5.6,41.5,45.6,8.3,22.5,12.6,24.2,11.3,9.7,80.6,8.2,20.6
"2022","01123","Tallapoosa","AL","40977","32936",10.7,39.7,5.2,39.3,41.8,7.2,20.8,13.3,23.3,10.6,10.1,81.5,9.8,17.3
"2022","01051","Elmore","AL","89563","70369",10.3,33,3.6,32.9,36.4,5.1,14.8,15.5,24.2,7.6,7.3,79.8,8.4,15.6
"2022","01085","Lowndes","AL","9777","7650",12,39.5,7.1,45.3,49.4,10.8,27.1,10.7,21.3,12,10.5,84.2,7.1,21.6
"2022","01069","Houston","AL","108079","83692",11,33.7,4.7,35.5,37.2,6.6,18.2,13.3,24.5,9.6,8.8,80.2,8.6,17.8
"2022","01019","Cherokee","AL","25302","20586",10,43.6,4.6,36.3,39.9,5.7,18.4,14.2,25,10,10.1,80.5,10.7,16.3
"2022","01063","Greene","AL","7422","5801",12.4,41.7,8.1,48.1,50.4,12.5,30.1,9.1,21.1,13,11.5,84.9,7.6,22
"2022","01037","Coosa","AL","10166","8479",10.6,42.2,5.5,39.9,42.9,7.2,21.3,12.8,23.1,10.9,10.5,81.3,9.8,18.9
"2022","01029","Cleburne","AL","15346","11832",10.7,37.4,4.9,39.4,39.6,6.9,20.6,14.7,27,12,10.1,78.2,9.5,20.9
"2022","01035","Conecuh","AL","11206","8943",11,38.7,6.4,41.8,44.4,8.8,24.4,11.4,22.6,11.7,11.2,83,9,18.8
"2022","01109","Pike","AL","33014","26725",10.7,28.7,3.8,35.2,37.7,6.2,15.3,14.6,24.2,7.2,6.8,79.3,6.7,14.3
"2022","01105","Perry","AL","8035","6354",12.2,39.3,7.1,46,48.3,11.2,26.6,10.5,22.5,12,10.7,83.4,7.4,21.1
"2022","01067","Henry","AL","17655","14074",11.2,37.4,5.7,41.7,38.4,8,22.9,13.1,25.3,12.5,10.6,80,9.2,20.8
"2022","01043","Cullman","AL","90665","70581",10.6,34.7,4.5,38.3,40,6.2,18.5,15.7,27.6,10.8,9.6,76.6,9.5,18.4
"2022","01095","Marshall","AL","99423","74082",10.4,35.4,3.9,35.6,38.3,5.8,16.4,15.3,26.3,8.8,8.2,78.7,9.3,16.2
"2022","01065","Hale","AL","14595","11112",11.5,38.6,5.9,41,44.5,8.9,22.5,11.4,22.2,10.7,9.7,82.3,7.6,18.3
"2022","01099","Monroe","AL","19404","15344",11.3,40.5,5.8,40.8,42.5,8.4,22.6,12.2,23.6,11,10,82.2,8.7,19.5
"2022","01083","Limestone","AL","110900","86794",10.1,33.3,3.5,32,36.4,5,14.4,15.3,23.6,7.5,7.2,79.1,8.4,15.6
"2022","01007","Bibb","AL","22005","17660",10.7,33.9,4.6,38.2,41.4,7.1,18.7,14.5,25.9,10.3,8.8,78,8.5,21.1
"2022","01049","DeKalb","AL","71998","54954",11.2,38.3,5.3,43.8,39,8.4,22.5,13.8,27.8,13,10.5,77.7,8.8,22.5
"2022","01015","Calhoun","AL","115788","91336",10.2,35.4,4.2,35.4,37.7,6.1,17.4,14.4,24.6,9.1,8.2,79.5,8.4,17
"2022","01021","Chilton","AL","45884","35069",10.1,32.7,4.1,34.9,36.7,5.8,17,15.2,24.9,9.2,8.4,78.3,8.6,15.8
"2022","01133","Winston","AL","23755","18962",10.1,39.3,5,38.3,36.8,6.6,20.3,14.7,25.9,11.6,10.6,79.9,10.1,17.6
"2022","01097","Mobile","AL","411411","316433",10.9,33.3,4.7,37.9,42.1,7.1,19.6,14.6,24.2,9.7,8.7,77.4,7.7,18.8
"2022","01101","Montgomery","AL","226361","172697",11.4,32,4.7,36.2,44.2,7.8,18.8,12.1,22,8.3,7.8,80.5,6.8,17.4
"2022","01023","Choctaw","AL","12439","9977",11.3,41.8,6.4,43.6,46,8.8,25.1,11.7,23.7,12.5,11.1,81.9,9,20.2
"2022","01057","Fayette","AL","16118","12706",11.1,39.5,5.4,41.7,39,7.6,21.7,13.4,26.4,12.1,10.6,79,9.9,20.7
"2022","01119","Sumter","AL","11853","9573",12.1,34.5,5.8,43.5,42.4,9.6,21.9,11.2,23.2,9.5,8.6,82.1,6.4,17.9
"2022","01127","Walker","AL","64339","49952",11,37.2,5,41.6,43.1,7.2,21.8,13.8,28.7,12.4,10.1,78.5,9.5,21.2
"2022","01059","Franklin","AL","31932","24099",10.6,37.9,4.9,40.5,39.4,7.7,20.8,14.3,26.3,11.4,9.9,78.1,8.7,19.9
"2022","01047","Dallas","AL","36767","28171",11.7,38.5,6.5,41.8,50.2,9.5,24.6,10.6,21,11,10,84.6,7.4,18.9
"2022","01121","Talladega","AL","80704","64258",11.4,40.3,4.9,37.9,42.6,7.1,19.9,13.3,24.2,10.3,9,80.2,8.4,18.2
"2022","01055","Etowah","AL","103088","81013",10.9,35.2,4.7,38.2,41.4,6.6,19.4,14,26.4,10.4,9.5,79.6,9.1,18.4
