"year","GEOID","county","state_abbrev","totalpopulation","totalpop18plus","casthma","mobility","chd","copd","obesity","checkup","cancer","stroke","depression","arthritis","csmoking","disability","binge","vision"
"2023","01021","Chilton","AL","46431","35269",10,17.5,7.6,8.8,40,79,8.6,4,24.5,31.4,16.9,39.2,14.2,5.9
"2023","01133","Winston","AL","23611","18837",10.3,21.7,9.9,11.8,39.1,80,10.2,5,26.2,36.3,19.6,42.9,13.5,7.2
"2023","01051","Elmore","AL","90441","71010",10,15.4,6.7,7.5,38.9,80.3,8.3,3.7,23,29.5,15.1,35.2,14.8,5.2
"2023","01097","Mobile","AL","411640","316274",9.7,17.7,7.3,7.9,39,79.6,7.7,4.3,22.1,29,15.4,35.8,13.7,6.2
"2023","01101","Montgomery","AL","224980","170733",10.7,18.4,6.9,7.5,46.1,83,6.6,4.5,21,29.9,14.4,37.6,12.2,6.8
"2023","01023","Choctaw","AL","12252","9839",10.9,24.1,10,11.1,44.4,83.3,9.1,6,23.3,38.4,18.2,44.3,11.3,8.3
"2023","01067","Henry","AL","17899","14236",10.3,19.9,8.9,9.7,41.3,81.7,9.5,4.9,23,34.8,16.6,39.1,12.7,6.6
"2023","01109","Pike","AL","33137","26665",10.9,16.7,6.8,7.8,40.3,79.5,6.6,4,24.7,27.3,14.9,39,13.9,6.7
"2023","01057","Fayette","AL","15967","12532",10.3,20.5,9.4,10.9,40.6,80.6,9.7,5,25.7,35.7,18.7,41.4,13.7,7
"2023","01119","Sumter","AL","11727","9434",11.6,22.2,8.5,9.3,47.2,83.2,6.4,5.8,21.5,32,16.3,42.6,10.9,9.2
"2023","01035","Conecuh","AL","11174","8894",11,26.6,11.1,12.6,46.4,83.1,9,6.7,22.3,38.6,20.5,46.5,10.6,9.9
"2023","01127","Walker","AL","64728","49914",10.3,19.7,8.6,10.2,35.8,79.9,9.5,4.4,26.6,34.1,18.4,41.5,13.7,6.4
"2023","01099","Monroe","AL","19229","15175",11.1,23.8,9.7,11.2,43.8,82.5,8.4,5.9,22.7,35.7,19.7,44.1,11.4,8.7
"2023","01083","Limestone","AL","114654","89453",9.7,14.7,6.4,6.9,39.6,79.5,8.3,3.4,23.7,29,14.2,33.3,15.3,4.8
"2023","01059","Franklin","AL","31802","23799",10,20.7,8.9,10.7,42.2,78.5,8.7,4.7,25.1,32.9,19.2,42,13.7,7.8
"2023","01045","Dale","AL","49871","38227",10.3,18.8,8.1,9.2,41.3,79.8,8.4,4.4,24.8,31.8,17.5,40.6,13.3,6.7
"2023","01047","Dallas","AL","36165","27736",11.6,25.4,9.6,11.2,46.3,84.2,7.3,6.6,20.3,35.3,19.5,44.2,10.1,10.2
"2023","01003","Baldwin","AL","253507","200397",9.3,15.5,7.5,7.5,35.2,80.7,10.2,3.8,22.5,32.9,13,33.9,14.6,4.8
