"year","GEOID","county","state_abbrev","totalpopulation","totalpop18plus","CASTHMA","GHLTH","TEETHLOST","COLON_SCREEN","SHUTUTILITY","DENTAL","PHLTH","LACKTRPT","ACCESS2","MOBILITY","FOODINSECU","CHD","COPD","OBESITY","HOUSINSECU","MAMMOUSE","INDEPLIVE","FOODSTAMP","CHECKUP","SLEEP","MHLTH","CANCER","STROKE","HIGHCHOL","CHOLSCREEN","SELFCARE","DEPRESSION","ARTHRITIS","BPMED","CSMOKING","EMOTIONSPT","DIABETES","DISABILITY","BPHIGH","LPA","BINGE","COGNITION","VISION","LONELINESS","HEARING"
"2022","01023","Choctaw","AL","12252","9839",NA,NA,22,67.3,NA,49.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.1,NA,NA,NA,41.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022","01069","Houston","AL","108462","83709",NA,NA,16.5,66.7,NA,54.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.5,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022","01103","Morgan","AL","125133","96099",NA,NA,17.3,66.3,NA,55.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3,NA,NA,NA,38.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022","01125","Tuscaloosa","AL","237373","189087",NA,NA,15.2,64.5,NA,55.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.1,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022","01001","Autauga","AL","60342","46253",NA,NA,11.3,68.2,NA,61.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.9,NA,NA,NA,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022","01067","Henry","AL","17899","14236",NA,NA,11,63.8,NA,50.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.5,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022","01049","DeKalb","AL","72569","55297",NA,NA,19.7,59.1,NA,47.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.7,NA,NA,NA,40.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022","01105","Perry","AL","7738","6081",NA,NA,30.1,63.5,NA,44.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.8,NA,NA,NA,45.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022","01099","Monroe","AL","19229","15175",NA,NA,19.5,65.9,NA,50.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.3,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022","01043","Cullman","AL","92016","71431",NA,NA,14.7,63.1,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.5,NA,NA,NA,36.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022","01013","Butler","AL","18382","14276",NA,NA,22.2,65.5,NA,50.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.9,NA,NA,NA,41.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022","01037","Coosa","AL","10268","8603",NA,NA,13.7,69.2,NA,53.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.1,NA,NA,NA,39.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022","01025","Clarke","AL","22337","17444",NA,NA,19.7,65.7,NA,50.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.2,NA,NA,NA,42.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022","01071","Jackson","AL","53467","42355",NA,NA,18.4,65.5,NA,52.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.9,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022","01095","Marshall","AL","100756","74538",NA,NA,22.2,64.7,NA,57.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.9,NA,NA,NA,39.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022","01075","Lamar","AL","13661","10648",NA,NA,21.3,63.9,NA,55.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.9,NA,NA,NA,38.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
