"county","state","GEOID","deaths","population","crude_rate"
"Autauga","AL","01001","642",59759,"1074.3"
"Baldwin","AL","01003","2782",246435,"1128.9"
"Barbour","AL","01005","332",24706,"1343.8"
"Bibb","AL","01007","268",22005,"1217.9"
"Blount","AL","01009","831",59512,"1396.4"
"Bullock","AL","01011","125",10202,"1225.2"
"Butler","AL","01013","302",18650,"1619.3"
"Calhoun","AL","01015","1737",115788,"1500.2"
"Chambers","AL","01017","507",34088,"1487.3"
"Cherokee","AL","01019","410",25302,"1620.4"
"Chilton","AL","01021","601",45884,"1309.8"
"Choctaw","AL","01023","210",12439,"1688.2"
"Clarke","AL","01025","380",22515,"1687.8"
"Clay","AL","01027","220",14198,"1549.5"
"Cleburne","AL","01029","220",15346,"1433.6"
"Coffee","AL","01031","629",54805,"1147.7"
"Colbert","AL","01033","831",58033,"1431.9"
"Conecuh","AL","01035","198",11206,"1766.9"
"Coosa","AL","01037","166",10166,"1632.9"
"Covington","AL","01039","667",37602,"1773.8"
"Crenshaw","AL","01041","221",13025,"1696.7"
"Cullman","AL","01043","1242",90665,"1369.9"
"Dale","AL","01045","619",49544,"1249.4"
"Dallas","AL","01047","550",36767,"1495.9"
"DeKalb","AL","01049","966",71998,"1341.7"
"Elmore","AL","01051","965",89563,"1077.5"
"Escambia","AL","01053","567",36666,"1546.4"
"Etowah","AL","01055","1741",103088,"1688.8"
"Fayette","AL","01057","278",16118,"1724.8"
"Franklin","AL","01059","462",31932,"1446.8"
"Geneva","AL","01061","429",26783,"1601.8"
"Greene","AL","01063","120",7422,"1616.8"
"Hale","AL","01065","235",14595,"1610.1"
"Henry","AL","01067","253",17655,"1433.0"
"Houston","AL","01069","1390",108079,"1286.1"
"Jackson","AL","01071","877",52891,"1658.1"
"Jefferson","AL","01073","8107",665409,"1218.3"
"Lamar","AL","01075","236",13705,"1722.0"
"Lauderdale","AL","01077","1279",95878,"1334.0"
"Lawrence","AL","01079","486",33214,"1463.2"
"Lee","AL","01081","1418",180773,"784.4"
"Limestone","AL","01083","1090",110900,"982.9"
"Lowndes","AL","01085","181",9777,"1851.3"
"Macon","AL","01087","263",18516,"1420.4"
"Madison","AL","01089","3931",403565,"974.1"
"Marengo","AL","01091","286",18745,"1525.7"
"Marion","AL","01093","432",29156,"1481.7"
"Marshall","AL","01095","1344",99423,"1351.8"
"Mobile","AL","01097","4992",411411,"1213.4"
"Monroe","AL","01099","294",19404,"1515.2"
"Montgomery","AL","01101","2488",226361,"1099.1"
"Morgan","AL","01103","1613",124211,"1298.6"
"Perry","AL","01105","123",8035,"1530.8"
"Pickens","AL","01107","259",18697,"1385.2"
"Pike","AL","01109","391",33014,"1184.3"
"Randolph","AL","01111","336",22479,"1494.7"
"Russell","AL","01113","724",58555,"1236.4"
"St. Clair","AL","01115","1224",93932,"1303.1"
"Shelby","AL","01117","1861",230115,"808.7"
