"fips","year","CDCW_crude_death_rate"
1001,2009,761.1
1001,2010,793.5
1001,2011,825.1
1001,2012,925.9
1001,2013,968.4
1001,2014,870.1
1001,2015,944.9
1001,2016,938.4
1001,2017,951.3
1003,2009,952
1003,2010,986.5
1003,2011,991.9
1003,2012,944
1003,2013,1009
1003,2014,975.5
1003,2015,1027
1003,2016,946.5
1003,2017,1029.5
1005,2009,1091.9
1005,2010,1030.7
1005,2011,1102.5
1005,2012,1000
1005,2013,1026.7
1005,2014,1108.3
1005,2015,1113.7
1005,2016,985.9
1005,2017,1266.3
1007,2009,932.8
1007,2010,981.9
1007,2011,1085
1007,2012,1106.3
1007,2013,1075
1007,2014,1053.1
1007,2015,1053.9
1007,2016,1055.5
1007,2017,1195.5
1009,2009,962.7
1009,2010,945.5
1009,2011,1036.8
1009,2012,1001.3
1009,2013,960.7
1009,2014,1081.1
1009,2015,1062.9
1009,2016,1207.9
1009,2017,1227.3
1011,2009,1037.6
1011,2010,1209.5
1011,2011,1090.9
1011,2012,964.3
1011,2013,1127.9
1011,2014,1105.5
1011,2015,1121.9
1011,2016,1283.5
1011,2017,1212.5
1013,2009,1169.3
1013,2010,1298.5
1013,2011,1331.7
1013,2012,1373.9
1013,2013,1218.9
1013,2014,1448.6
1013,2015,1265.3
1013,2016,1375.1
1013,2017,1205.5
1015,2009,1133.8
1015,2010,1166.4
1015,2011,1138.4
1015,2012,1170.5
1015,2013,1201.9
1015,2014,1212.1
1015,2015,1283.5
1015,2016,1225
1015,2017,1327.5
1017,2009,1317.5
1017,2010,1303.5
1017,2011,1311.2
1017,2012,1459
1017,2013,1329
1017,2014,1247.2
1017,2015,1283.6
1017,2016,1359.2
1017,2017,1334.8
1019,2009,1175.8
1019,2010,1181.3
1019,2011,1266.5
1019,2012,1279.7
1019,2013,1263.2
1019,2014,1305.8
1019,2015,1334.2
1019,2016,1403.3
1019,2017,1338.1
1021,2009,1028
1021,2010,1049.4
1021,2011,1107.2
1021,2012,1102.3
1021,2013,1169.5
1021,2014,1010.7
1021,2015,1203.8
1021,2016,1081
1021,2017,1180
1023,2009,1209.2
1023,2010,1140.1
1023,2011,1065.5
1023,2012,1371.7
1023,2013,1415.2
1023,2014,1223.4
1023,2015,1389.5
1023,2016,1385.4
1023,2017,1367.3
1025,2009,1144.5
1025,2010,1211.6
1025,2011,1152
1025,2012,1069.1
1025,2013,1154.4
1025,2014,1162.6
1025,2015,1114.5
1025,2016,1291.4
1025,2017,1171
1027,2009,1470.8
1027,2010,1263.3
1027,2011,1659.2
1027,2012,1235.6
1027,2013,1230.9
1027,2014,1387.2
1027,2015,1401.7
1027,2016,1311.9
1027,2017,1226.9
1029,2009,1240.1
1029,2010,1229
1029,2011,1058.3
1029,2012,1125.9
1029,2013,1260.5
1029,2014,1379.3
1029,2015,1365
1029,2016,1279.8
1029,2017,1302
1031,2009,1003.2
1031,2010,1025.1
1031,2011,955.9
1031,2012,1002.9
1031,2013,920.7
1031,2014,1013.6
1031,2015,980.3
1031,2016,991.7
1031,2017,1014
1033,2009,1170.4
1033,2010,1275.1
1033,2011,1225.4
1033,2012,1272.8
1033,2013,1291.3
1033,2014,1338.4
1033,2015,1374.3
1033,2016,1304
1033,2017,1269.7
1035,2009,1333.4
1035,2010,1262.5
1035,2011,1381.2
1035,2012,1486.8
1035,2013,1249.3
1035,2014,1294.4
1035,2015,1499.4
1035,2016,1234.4
1035,2017,1395.5
1037,2009,1174.4
1037,2010,1282.6
1037,2011,1428.2
1037,2012,1158.1
1037,2013,1229.6
1037,2014,1120.7
1037,2015,1408.1
1037,2016,1512.1
1037,2017,1246
1039,2009,1314.8
1039,2010,1263.1
1039,2011,1253.4
1039,2012,1338.4
1039,2013,1325
1039,2014,1437.5
1039,2015,1443.1
1039,2016,1342.8
1039,2017,1496.3
1041,2009,1297.8
1041,2010,1200.9
1041,2011,1178.9
1041,2012,1171.6
1041,2013,1208.4
1041,2014,1430.9
1041,2015,1274.8
1041,2016,1372.8
1041,2017,1326.5
1043,2009,1157.4
1043,2010,1133
1043,2011,1173.4
1043,2012,1193.4
1043,2013,1190.4
1043,2014,1144.1
1043,2015,1228
1043,2016,1227.1
1043,2017,1277.3
1045,2009,1002.9
1045,2010,891.5
1045,2011,915.2
1045,2012,894.1
1045,2013,1000.3
1045,2014,955.9
1045,2015,1031
1045,2016,1117.3
1045,2017,1090.9
1047,2009,1202
1047,2010,1177.5
1047,2011,1183.9
1047,2012,1287.8
1047,2013,1247.7
1047,2014,1222.7
1047,2015,1322.6
1047,2016,1427.2
1047,2017,1328.6
1049,2009,1049.9
1049,2010,1053.3
1049,2011,1032.6
1049,2012,1050.9
1049,2013,1091.3
1049,2014,1082.1
1049,2015,1162.7
1049,2016,1117.1
1049,2017,1138
1051,2009,852.1
1051,2010,906.6
1051,2011,800.9
1051,2012,891.7
1051,2013,944.4
1051,2014,964.5
1051,2015,934.1
1051,2016,976.8
1051,2017,999.1
1053,2009,1121.6
1053,2010,1109.1
1053,2011,1199.6
1053,2012,1210.7
1053,2013,1213.7
1053,2014,1272.1
1053,2015,1286.1
1053,2016,1383.6
1053,2017,1276.5
1055,2009,1394.9
1055,2010,1320.5
1055,2011,1307.7
1055,2012,1288.4
1055,2013,1328.8
1055,2014,1300.1
1055,2015,1392.4
1055,2016,1354.3
1055,2017,1368.3
1057,2009,1398
1057,2010,1455.8
1057,2011,1554
1057,2012,1389.6
1057,2013,1301.1
1057,2014,1363
1057,2015,1360.5
1057,2016,1504.9
1057,2017,1439.2
1059,2009,1203
1059,2010,1261.7
1059,2011,1292.2
1059,2012,1275.1
1059,2013,1214.6
1059,2014,1243.6
1059,2015,1205.2
1059,2016,1188.8
1059,2017,1155.7
1061,2009,1271.9
1061,2010,1239.3
1061,2011,1295.7
1061,2012,1288.5
1061,2013,1294.6
1061,2014,1284.1
1061,2015,1307.1
1061,2016,1424.1
1061,2017,1377.7
1063,2009,947.5
1063,2010,995
1063,2011,1255.5
1063,2012,1352
1063,2013,1178
1063,2014,1262.7
1063,2015,1344.5
