"county","state","GEOID","population","deaths_drug_induced","deaths_alcohol_induced","deaths_non_drug_alcohol","crude_rate_drug_induced","crude_rate_alcohol_induced","crude_rate_non_drug_alcohol"
"Autauga","AL","01001",60342,10,NA,582,16.6,NA,964.5
"Baldwin","AL","01003",253507,77,36,2615,30.4,14.2,1031.5
"Barbour","AL","01005",24585,NA,NA,302,NA,NA,1228.4
"Bibb","AL","01007",21868,11,NA,278,50.3,NA,1271.3
"Blount","AL","01009",59816,22,NA,734,36.8,NA,1227.1
"Bullock","AL","01011",9897,11,NA,143,111.1,NA,1444.9
"Butler","AL","01013",18382,NA,NA,282,NA,NA,1534.1
"Calhoun","AL","01015",116429,62,NA,1607,53.3,NA,1380.2
"Chambers","AL","01017",34079,11,10,465,32.3,29.3,1364.5
"Cherokee","AL","01019",25666,10,NA,386,39,NA,1503.9
"Chilton","AL","01021",46431,16,NA,564,34.5,NA,1214.7
"Choctaw","AL","01023",12252,NA,NA,188,NA,NA,1534.4
"Clarke","AL","01025",22337,NA,NA,328,NA,NA,1468.4
"Clay","AL","01027",14111,NA,NA,199,NA,NA,1410.2
"Cleburne","AL","01029",15639,NA,NA,239,NA,NA,1528.2
"Coffee","AL","01031",55643,NA,NA,593,NA,NA,1065.7
"Colbert","AL","01033",58361,25,NA,760,42.8,NA,1302.2
"Conecuh","AL","01035",11174,NA,NA,216,NA,NA,1933.1
"Coosa","AL","01037",10268,NA,NA,160,NA,NA,1558.2
"Covington","AL","01039",37952,NA,0,587,NA,0,1546.7
"Crenshaw","AL","01041",13101,NA,NA,201,NA,NA,1534.2
"Cullman","AL","01043",92016,35,13,1141,38,14.1,1240
"Dale","AL","01045",49871,10,NA,585,20.1,NA,1173
"Dallas","AL","01047",36165,12,NA,493,33.2,NA,1363.2
"DeKalb","AL","01049",72569,21,10,826,28.9,13.8,1138.2
"Elmore","AL","01051",90441,24,NA,924,26.5,NA,1021.7
"Escambia","AL","01053",36558,25,NA,489,68.4,NA,1337.6
"Etowah","AL","01055",103241,46,NA,1397,44.6,NA,1353.1
"Fayette","AL","01057",15967,NA,NA,239,NA,NA,1496.8
"Franklin","AL","01059",31802,NA,NA,411,NA,NA,1292.4
"Geneva","AL","01061",26988,NA,NA,418,NA,NA,1548.8
"Greene","AL","01063",7341,NA,NA,120,NA,NA,1634.7
"Hale","AL","01065",14888,NA,NA,190,NA,NA,1276.2
"Henry","AL","01067",17899,NA,NA,245,NA,NA,1368.8
"Houston","AL","01069",108462,18,10,1228,16.6,9.2,1132.2
"Jackson","AL","01071",53467,11,NA,770,20.6,NA,1440.1
"Jefferson","AL","01073",662895,453,70,7092,68.3,10.6,1069.9
"Lamar","AL","01075",13661,NA,NA,197,NA,NA,1442.1
"Lauderdale","AL","01077",96814,30,NA,1222,31,NA,1262.2
"Lawrence","AL","01079",33502,NA,NA,436,NA,NA,1301.4
"Lee","AL","01081",183215,36,11,1269,19.6,6,692.6
"Limestone","AL","01083",114654,15,14,1059,13.1,12.2,923.6
"Lowndes","AL","01085",9717,NA,NA,182,NA,NA,1873
"Macon","AL","01087",18370,NA,0,198,NA,0,1077.8
"Madison","AL","01089",412600,117,44,3720,28.4,10.7,901.6
"Marengo","AL","01091",18684,NA,NA,300,NA,NA,1605.7
"Marion","AL","01093",29244,NA,NA,441,NA,NA,1508
"Marshall","AL","01095",100756,31,24,1229,30.8,23.8,1219.8
"Mobile","AL","01097",411640,136,36,4714,33,8.7,1145.2
"Monroe","AL","01099",19229,NA,NA,272,NA,NA,1414.5
"Montgomery","AL","01101",224980,37,18,2308,16.4,8,1025.9
"Morgan","AL","01103",125133,42,15,1426,33.6,12,1139.6
"Perry","AL","01105",7738,NA,NA,145,NA,NA,1873.9
"Pickens","AL","01107",18688,NA,NA,263,NA,NA,1407.3
"Pike","AL","01109",33137,NA,NA,344,NA,NA,1038.1
"Randolph","AL","01111",22786,NA,NA,330,NA,NA,1448.3
"Russell","AL","01113",58744,22,NA,704,37.5,NA,1198.4
"St. Clair","AL","01115",95552,43,13,1087,45,13.6,1137.6
"Shelby","AL","01117",233000,51,20,1730,21.9,8.6,742.5
"Sumter","AL","01119",11727,NA,0,150,NA,0,1279.1
"Talladega","AL","01121",81132,23,NA,1037,28.3,NA,1278.2
"Tallapoosa","AL","01123",40677,NA,0,578,NA,0,1421
"Tuscaloosa","AL","01125",237373,52,22,1866,21.9,9.3,786.1
"Walker","AL","01127",64728,63,NA,1044,97.3,NA,1612.9
"Washington","AL","01129",15022,NA,0,209,NA,0,1391.3
"Wilcox","AL","01131",9944,0,0,163,0,0,1639.2
"Winston","AL","01133",23611,15,NA,348,63.5,NA,1473.9
"Aleutians East Borough","AK","02013",3461,NA,NA,11,NA,NA,317.8
"Aleutians West Census Area","AK","02016",5160,0,0,18,0,0,348.8
"Anchorage Borough","AK","02020",286075,213,114,1870,74.5,39.8,653.7
"Bethel Census Area","AK","02050",18224,NA,NA,109,NA,NA,598.1
"Bristol Bay Borough","AK","02060",844,0,NA,11,0,NA,1303.3
"Denali Borough","AK","02068",1584,0,NA,NA,0,NA,NA
"Dillingham Census Area","AK","02070",4607,NA,NA,35,NA,NA,759.7
"Fairbanks North Star Borough","AK","02090",94840,24,33,564,25.3,34.8,594.7
"Haines Borough","AK","02100",2070,0,NA,18,0,NA,869.6
"Hoonah-Angoon Census Area","AK","02105",2262,NA,NA,22,NA,NA,972.6
"Juneau Borough","AK","02110",31555,14,10,200,44.4,31.7,633.8
"Kenai Peninsula Borough","AK","02122",61223,19,10,441,31,16.3,720.3
"Ketchikan Gateway Borough","AK","02130",13738,NA,NA,113,NA,NA,822.5
"Kodiak Island Borough","AK","02150",12565,NA,NA,78,NA,NA,620.8
"Lake and Peninsula Borough","AK","02164",1331,0,NA,NA,0,NA,NA
"Matanuska-Susitna Borough","AK","02170",115239,41,31,767,35.6,26.9,665.6
"Nome Census Area","AK","02180",9763,NA,NA,72,NA,NA,737.5
"North Slope Borough","AK","02185",10603,NA,NA,54,NA,NA,509.3
"Northwest Arctic Borough","AK","02188",7361,NA,NA,54,NA,NA,733.6
"Petersburg Borough/Census Area","AK","02195",3427,0,NA,24,0,NA,700.3
"Prince of Wales-Hyder Census Area","AK","02198",5696,NA,NA,60,NA,NA,1053.4
"Sitka Borough","AK","02220",8282,NA,NA,66,NA,NA,796.9
"Skagway Municipality","AK","02230",1095,NA,0,NA,NA,0,NA
"Southeast Fairbanks Census Area","AK","02240",7077,NA,NA,65,NA,NA,918.5
"Valdez-Cordova Census Area","AK","02261",9443,NA,NA,68,NA,NA,720.1
"Wade Hampton Census Area","AK","02270",8001,NA,NA,58,NA,NA,724.9
"Wrangell City and Borough","AK","02275",2064,0,NA,29,0,NA,1405
"Yakutat Borough","AK","02282",687,NA,0,NA,NA,0,NA
"Yukon-Koyukuk Census Area","AK","02290",5129,NA,NA,60,NA,NA,1169.8
"Apache","AZ","04001",65036,42,73,793,64.6,112.2,1219.3
"Cochise","AZ","04003",124640,47,28,1470,37.7,22.5,1179.4
"Coconino","AZ","04005",144472,39,73,949,27,50.5,656.9
"Gila","AZ","04007",54003,27,24,819,50,44.4,1516.6
"Graham","AZ","04009",39525,NA,NA,329,NA,NA,832.4
"Greenlee","AZ","04011",9369,NA,NA,77,NA,NA,821.9
"La Paz","AZ","04012",16710,NA,13,353,NA,77.8,2112.5
"Maricopa","AZ","04013",4585871,1693,755,35119,36.9,16.5,765.8
"Mohave","AZ","04015",223682,88,79,3685,39.3,35.3,1647.4
"Navajo","AZ","04017",109175,57,93,1211,52.2,85.2,1109.2
"Pima","AZ","04019",1063162,487,159,10749,45.8,15,1011
"Pinal","AZ","04021",484239,116,71,3928,24,14.7,811.2
"Santa Cruz","AZ","04023",49158,NA,0,347,NA,0,705.9
"Yavapai","AZ","04025",249081,78,61,3493,31.3,24.5,1402.4
"Yuma","AZ","04027",213221,49,45,1783,23,21.1,836.2
"Arkansas","AR","05001",16307,NA,0,264,NA,0,1618.9
"Ashley","AR","05003",18262,NA,NA,244,NA,NA,1336.1
"Baxter","AR","05005",42875,NA,14,798,NA,32.7,1861.2
"Benton","AR","05007",311013,39,44,2146,12.5,14.1,690
"Boone","AR","05009",38530,NA,NA,578,NA,NA,1500.1
"Bradley","AR","05011",10104,0,0,139,0,0,1375.7
"Calhoun","AR","05013",4641,NA,NA,79,NA,NA,1702.2
"Carroll","AR","05015",28814,NA,NA,344,NA,NA,1193.9
"Chicot","AR","05017",9538,NA,NA,163,NA,NA,1709
"Clark","AR","05019",21274,NA,NA,263,NA,NA,1236.3
"Clay","AR","05021",14201,NA,NA,233,NA,NA,1640.7
"Cleburne","AR","05023",25445,NA,NA,401,NA,NA,1575.9
"Cleveland","AR","05025",7378,0,0,122,0,0,1653.6
"Columbia","AR","05027",22150,NA,NA,275,NA,NA,1241.5
"Conway","AR","05029",21077,NA,NA,298,NA,NA,1413.9
"Craighead","AR","05031",113993,17,NA,1064,14.9,NA,933.4
"Crawford","AR","05033",61891,NA,NA,745,NA,NA,1203.7
"Crittenden","AR","05035",47139,14,NA,590,29.7,NA,1251.6
"Cross","AR","05037",16420,NA,0,220,NA,0,1339.8
"Dallas","AR","05039",6185,0,0,104,0,0,1681.5
"Desha","AR","05041",10479,NA,NA,150,NA,NA,1431.4
"Drew","AR","05043",16945,NA,NA,220,NA,NA,1298.3
"Faulkner","AR","05045",129951,13,NA,1096,10,NA,843.4
"Franklin","AR","05047",17468,NA,NA,253,NA,NA,1448.4
"Fulton","AR","05049",12421,NA,NA,231,NA,NA,1859.8
"Garland","AR","05051",99784,27,18,1544,27.1,18,1547.3
"Grant","AR","05053",18383,0,NA,223,0,NA,1213.1
"Greene","AR","05055",46743,NA,NA,547,NA,NA,1170.2
"Hempstead","AR","05057",19343,NA,NA,276,NA,NA,1426.9
"Hot Spring","AR","05059",33258,NA,NA,476,NA,NA,1431.2
"Howard","AR","05061",12533,NA,NA,171,NA,NA,1364.4
"Independence","AR","05063",38320,NA,NA,467,NA,NA,1218.7
"Izard","AR","05065",14169,NA,NA,213,NA,NA,1503.3
"Jackson","AR","05067",16784,NA,NA,225,NA,NA,1340.6
