"county","state","GEOID","population","deaths_drug_induced","deaths_non_drug_alcohol","deaths_alcohol_induced","crude_rate_drug_induced","crude_rate_non_drug_alcohol","crude_rate_alcohol_induced"
"Autauga","AL","01001","59759",10,630,NA,"16.7","1054.2",NA
"Baldwin","AL","01003","246435",79,2662,41,"32.1","1080.2","16.6"
"Barbour","AL","01005","24706",12,318,NA,"48.6","1287.1",NA
"Bibb","AL","01007","22005",NA,260,NA,NA,"1181.5",NA
"Blount","AL","01009","59512",18,808,NA,"30.2","1357.7",NA
"Bullock","AL","01011","10202",NA,120,NA,NA,"1176.2",NA
"Butler","AL","01013","18650",NA,294,NA,NA,"1576.4",NA
"Calhoun","AL","01015","115788",60,1665,12,"51.8","1438.0","10.4"
"Chambers","AL","01017","34088",NA,503,NA,NA,"1475.6",NA
"Cherokee","AL","01019","25302",NA,399,NA,NA,"1577.0",NA
"Chilton","AL","01021","45884",14,579,NA,"30.5","1261.9",NA
"Choctaw","AL","01023","12439",NA,208,NA,NA,"1672.2",NA
"Clarke","AL","01025","22515",NA,372,NA,NA,"1652.2",NA
"Clay","AL","01027","14198",NA,216,NA,NA,"1521.3",NA
"Cleburne","AL","01029","15346",NA,218,NA,NA,"1420.6",NA
"Coffee","AL","01031","54805",NA,622,NA,NA,"1134.9",NA
"Colbert","AL","01033","58033",15,813,NA,"25.8","1400.9",NA
"Conecuh","AL","01035","11206",NA,191,NA,NA,"1704.4",NA
"Coosa","AL","01037","10166",NA,163,NA,NA,"1603.4",NA
"Covington","AL","01039","37602",12,652,NA,"31.9","1734.0",NA
"Crenshaw","AL","01041","13025",NA,215,NA,NA,"1650.7",NA
"Cullman","AL","01043","90665",35,1189,18,"38.6","1311.4","19.9"
"Dale","AL","01045","49544",10,606,NA,"20.2","1223.2",NA
"Dallas","AL","01047","36767",19,529,NA,"51.7","1438.8",NA
"DeKalb","AL","01049","71998",22,939,NA,"30.6","1304.2",NA
"Elmore","AL","01051","89563",11,953,NA,"12.3","1064.1",NA
"Escambia","AL","01053","36666",20,542,NA,"54.5","1478.2",NA
"Etowah","AL","01055","103088",45,1687,NA,"43.7","1636.5",NA
