"county","state","GEOID","population","deaths_non_drug_alcohol","deaths_drug_induced","deaths_alcohol_induced","crude_rate_non_drug_alcohol","crude_rate_drug_induced","crude_rate_alcohol_induced"
"Autauga","AL","01001","61464",656,NA,NA,"1067.3",NA,NA
"Baldwin","AL","01003","261608",2718,57,33,"1039.0","21.8","12.6"
"Barbour","AL","01005","24358",301,NA,NA,"1235.7",NA,NA
"Bibb","AL","01007","22258",300,NA,NA,"1347.8",NA,NA
"Blount","AL","01009","60163",723,14,NA,"1201.7","23.3",NA
"Bullock","AL","01011","9901",133,NA,NA,"1343.3",NA,NA
"Butler","AL","01013","18256",295,NA,NA,"1615.9",NA,NA
"Calhoun","AL","01015","116427",1552,32,NA,"1333.0","27.5",NA
"Chambers","AL","01017","33813",457,NA,NA,"1351.6",NA,NA
"Cherokee","AL","01019","26138",386,NA,NA,"1476.8",NA,NA
"Chilton","AL","01021","47262",554,10,13,"1172.2","21.2","27.5"
"Choctaw","AL","01023","12052",161,NA,NA,"1335.9",NA,NA
"Clarke","AL","01025","22142",344,NA,NA,"1553.6",NA,NA
"Clay","AL","01027","14239",182,NA,NA,"1278.2",NA,NA
"Cleburne","AL","01029","15905",220,NA,NA,"1383.2",NA,NA
"Coffee","AL","01031","56358",577,14,NA,"1023.8","24.8",NA
"Colbert","AL","01033","58785",820,20,NA,"1394.9","34.0",NA
"Conecuh","AL","01035","11109",191,NA,NA,"1719.3",NA,NA
"Coosa","AL","01037","10291",171,NA,NA,"1661.6",NA,NA
"Covington","AL","01039","37748",627,NA,NA,"1661.0",NA,NA
"Crenshaw","AL","01041","13114",196,NA,NA,"1494.6",NA,NA
"Cullman","AL","01043","92604",1129,27,12,"1219.2","29.2","13.0"
"Dale","AL","01045","50067",585,NA,NA,"1168.4",NA,NA
"Dallas","AL","01047","35545",553,NA,NA,"1555.8",NA,NA
"DeKalb","AL","01049","73122",859,25,NA,"1174.7","34.2",NA
"Elmore","AL","01051","91042",939,11,NA,"1031.4","12.1",NA
"Escambia","AL","01053","36630",455,11,NA,"1242.2","30.0",NA
"Etowah","AL","01055","103207",1491,44,NA,"1444.7","42.6",NA
"Fayette","AL","01057","15863",251,NA,NA,"1582.3",NA,NA
"Franklin","AL","01059","31874",408,12,NA,"1280.0","37.6",NA
"Geneva","AL","01061","27259",399,NA,NA,"1463.7",NA,NA
"Greene","AL","01063","7127",106,NA,NA,"1487.3",NA,NA
"Hale","AL","01065","15116",195,NA,NA,"1290.0",NA,NA
"Henry","AL","01067","18141",225,NA,NA,"1240.3",NA,NA
"Houston","AL","01069","109366",1323,15,15,"1209.7","13.7","13.7"
"Jackson","AL","01071","53780",792,NA,NA,"1472.7",NA,NA
"Jefferson","AL","01073","664744",6918,314,62,"1040.7","47.2","9.3"
"Lamar","AL","01075","13543",208,NA,NA,"1535.8",NA,NA
"Lauderdale","AL","01077","97502",1231,20,NA,"1262.5","20.5",NA
"Lawrence","AL","01079","33567",466,NA,NA,"1388.3",NA,NA
"Lee","AL","01081","187847",1278,26,16,"680.3","13.8","8.5"
"Limestone","AL","01083","118942",1048,18,14,"881.1","15.1","11.8"
"Lowndes","AL","01085","9485",150,NA,NA,"1581.4",NA,NA
"Macon","AL","01087","18159",217,NA,NA,"1195.0",NA,NA
