"poor_or_fair_health","poor_physical_health_days","poor_mental_health_days","hiv_prevalence","frequent_mental_distress","premature_death","mental_health_providers","GEOID"
0.177,4.30036355689763,5.83290076200666,223.6,0.18,9938.26338234698,0.00035536001353752,"01001"
0.17,3.87643614127732,6.02077762304491,170.1,0.182,8957.11268589579,0.00104473994333331,"01003"
0.284,5.43103029417342,6.33998603230129,536.4,0.211,12738.6561373196,0.00024034609838167,"01005"
0.251,5.0556189336081,6.565945169512,322.1,0.213,11708.9480377686,0.00040040930729189,"01007"
0.226,4.80240003482879,6.44870204364412,101.7,0.211,11898.0884090212,0.0002032485899629,"01009"
0.349,5.81412176646911,6.51146284721758,781,0.226,15998.0892094308,0.0001937984496124,"01011"
0.26,5.24607623375641,6.2540225973049,362,0.214,14616.3926198225,0.00084727811904257,"01013"
0.215,4.97124606280048,6.58700603707777,263.5,0.196,14259.5647945681,0.00149173938536888,"01015"
0.267,4.84828055962185,6.34016719438388,401.9,0.218,12568.8606372987,8.68533047682464e-05,"01017"
0.195,4.89181414475876,6.13826380095684,113.3,0.2,12680.9030282536,0.00024003840614498,"01019"
0.196,4.71369127389853,6.01232826600959,164.5,0.19,11802.6326198361,0.00072889517162168,"01021"
0.265,5.11749265151927,6.40154356817129,308.4,0.216,12977.1817141435,7.97893560998963e-05,"01023"
0.262,5.1585646192427,6.63902729760691,199,0.214,16382.0357906992,0.00092267135325131,"01025"
0.246,5.05927191221044,6.41706002395458,164.7,0.221,13312.8047859028,0.00014094432699083,"01027"
0.231,4.91342946594618,6.24909356285721,69.9,0.214,12586.0145761811,0.00052969608687015,"01029"
0.195,4.63041415094364,5.70111699449565,172.7,0.18,10338.895022673,0.0009229519695795,"01031"
0.215,4.55285579497422,5.96682152155217,170,0.203,12369.517136169,0.00052197515398267,"01033"
0.264,5.29102304944935,6.33991055242539,280.9,0.208,18927.7332815469,0.00052966101694915,"01035"
0.237,4.78082023252884,6.17708209179683,267.4,0.211,14409.5615668911,0.00019138755980861,"01037"
0.218,4.92987659185992,6.61461988097152,169.9,0.213,14664.1893688002,0.00079948832747041,"01039"
0.236,4.95622334605257,6.32922738086262,284,0.208,13951.8090240071,0.00068791561568447,"01041"
0.218,4.79038613363719,6.21150587882485,107.1,0.208,11852.9117447389,0.00153079467238759,"01043"
0.23,4.96888408208557,5.94438804909945,320.5,0.197,11939.0421552499,0.00131733614365044,"01045"
0.281,5.38159083981817,6.47100874602668,466.2,0.211,20426.822142649,0.00071772242749674,"01047"
0.281,5.30555673758158,6.41240996838482,114.4,0.22,11969.4466068584,0.00040382660521075,"01049"
0.188,4.36426406304112,5.9164665831648,295,0.191,9508.11608405709,0.00025754725432231,"01051"
0.257,5.64737553543384,6.83516668643189,246.4,0.218,15044.6323712712,0.00079021226736423,"01053"
0.222,4.71552082992164,5.92191998820281,246.9,0.211,14706.2974185087,0.00132800837517691,"01055"
0.254,5.3005580505603,6.56756122692608,102.2,0.225,14667.2787334007,0.00018578152093138,"01057"
0.255,5.19564916369949,6.17309404883586,98.6,0.21,13058.9871403,0.0001249492393715,"01059"
0.226,5.38480153823926,6.87543795355447,210.9,0.202,14287.2852683805,0.00026216246582525,"01061"
0.341,5.76380106909082,6.85797811445925,510.5,0.23,16286.6628909424,0.00013107877834578,"01063"
0.263,5.18262968335252,6.33931030245865,505.1,0.208,15927.4667359799,0.00020333468889792,"01065"
0.258,4.93302159271097,6.19030984960649,263.5,0.221,10894.1952714536,0.00034366229451858,"01067"
0.223,4.47001157342892,6.12156775697836,428.3,0.211,11251.0556269556,0.00174021478158909,"01069"
0.24,5.13320077569189,6.41308110178627,92.6,0.22,13931.8678689973,0.00053057434673033,"01071"
0.197,4.08133529461682,5.48203489124069,679.6,0.18,13163.5182366491,0.00225659608876643,"01073"
0.222,4.95704259384986,6.57846820941801,189.1,0.208,12036.3580423989,0.00021915406530791,"01075"
0.188,4.5521429468253,6.00288065174088,112,0.194,9936.85690683172,0.00175451655093946,"01077"
0.24,5.04583461129902,6.41547259206105,70.8,0.218,13633.1739573744,0.00126926563916591,"01079"
0.197,4.09102695092025,5.80403780230071,224.4,0.194,7894.48690466362,0.00111162522994278,"01081"
0.182,4.19863585787183,5.52565784048055,147.6,0.186,8777.48944259269,0.00051154701117032,"01083"
0.3,5.42842254667296,6.26366959365411,544.1,0.218,19891.3280122936,NA,"01085"
0.284,5.01446937545189,6.31199015108509,648.3,0.205,15396.827364056,0.00412807621063774,"01087"
0.172,3.92855107853075,5.49416975819472,258.6,0.171,9054.1844336151,0.00170794841236706,"01089"
0.26,4.82227017935022,6.12545107907026,208.7,0.208,14678.8922441351,0.00031585596967782,"01091"
0.228,5.10095227760999,6.28161124727329,168.7,0.206,12543.5339292662,0.00023934897079942,"01093"
0.207,4.85477445526363,6.06083870416879,151.1,0.202,12808.5693703035,0.00277924827951297,"01095"
0.247,4.48506227199049,5.90543665183583,574.2,0.203,12655.5806638135,0.00113781341312552,"01097"
0.261,5.20618960304537,6.51755972869192,204.5,0.213,15784.597331027,0.00111970684039088,"01099"
0.248,4.46787216776063,5.79610448721931,839.8,0.199,13219.3788670281,0.00186867398893745,"01101"
0.219,4.47811813110116,6.22832390064934,159.1,0.2,12501.6149156227,0.00160106090500372,"01103"
0.329,5.78765338111511,6.70725501402325,467.3,0.231,17916.6397344915,0.00059844404548174,"01105"
0.256,5.05286650565408,5.99460663144293,307.9,0.203,13196.5666906194,0.00037232062124355,"01107"
0.217,4.92827911605477,6.3312687783462,417,0.194,13497.370952726,0.00075778242550998,"01109"
0.235,4.95011783370434,6.41014417821969,104.3,0.214,11833.8080030431,0.00031834098867615,"01111"
0.264,4.85625743129444,6.18636660672041,498.4,0.213,14160.3823779908,0.00052791117468751,"01113"
0.178,4.55197632045075,6.16601917636055,165.9,0.19,11877.9853866455,0.0002479837840169,"01115"
0.146,3.62112458239899,5.51024926008024,178.5,0.165,6794.98024330176,0.00104009660558303,"01117"
0.295,5.13390938577013,6.22047344909589,402.1,0.218,15670.0222127845,0.00024662939822426,"01119"
0.235,5.05373865991975,6.02007764652556,261.1,0.208,15316.224090668,0.00031892448849418,"01121"
0.228,4.91814210340571,6.25176701933849,229.1,0.198,12182.5941589011,0.00034127196938302,"01123"
0.213,4.50735347791554,6.52921314249501,287.3,0.2,10422.4772400152,0.00157704387970415,"01125"
