"year","fips","county_name","FCC_res_connections_200_kbps","FCC_res_connections_768_kbps","FCC_res_connections_3_mbps","FCC_res_connections_10_mbps","state","FCC_res_connections_25_mbps","FCC_res_connections_100_mbps","FCC_county_consumer_connections","FCC_county_non_consumer_connections","FCC_county_all_connections"
2009,"01001","Autauga County",3,3,2,1,"AL",NA,NA,10,1,11
2010,"01001","Autauga County",5,5,5,1,"AL",NA,NA,51,11,62
2011,"01001","Autauga County",3,3,3,2,"AL",NA,NA,13,1,14
2012,"01001","Autauga County",4,3,3,3,"AL",NA,NA,14,1,15
2013,"01001","Autauga County",4,4,3,3,"AL",NA,NA,14,1,15
2009,"01003","Baldwin County",3,3,2,1,"AL",NA,NA,51,6,58
2010,"01003","Baldwin County",3,3,2,1,"AL",NA,NA,50,14,65
2011,"01003","Baldwin County",3,3,2,1,"AL",NA,NA,53,7,61
2012,"01003","Baldwin County",3,3,2,1,"AL",NA,NA,55,8,63
2013,"01003","Baldwin County",3,3,3,2,"AL",NA,NA,58,8,66
2009,"01005","Barbour County",2,2,1,1,"AL",NA,NA,4,1,4
2010,"01005","Barbour County",2,2,2,1,"AL",NA,NA,4,1,4
2011,"01005","Barbour County",2,2,2,1,"AL",NA,NA,4,1,5
2012,"01005","Barbour County",2,2,2,1,"AL",NA,NA,4,1,5
2013,"01005","Barbour County",2,2,2,1,"AL",NA,NA,5,1,5
2009,"01007","Bibb County",2,1,1,0,"AL",NA,NA,2,0,2
2010,"01007","Bibb County",1,1,1,0,"AL",NA,NA,2,0,2
2011,"01007","Bibb County",2,2,1,1,"AL",NA,NA,2,0,3
2012,"01007","Bibb County",2,2,1,1,"AL",NA,NA,2,0,3
2013,"01007","Bibb County",2,2,2,1,"AL",NA,NA,3,0,3
2009,"01009","Blount County",3,2,1,1,"AL",NA,NA,10,1,11
2010,"01009","Blount County",2,2,1,1,"AL",NA,NA,9,1,10
2011,"01009","Blount County",3,2,1,1,"AL",NA,NA,11,1,12
2012,"01009","Blount County",3,3,1,1,"AL",NA,NA,11,1,12
2013,"01009","Blount County",3,3,2,1,"AL",NA,NA,12,1,12
2009,"01011","Bullock County",2,2,1,1,"AL",NA,NA,1,0,1
2010,"01011","Bullock County",2,2,1,0,"AL",NA,NA,1,NA,NA
2011,"01011","Bullock County",2,2,1,0,"AL",NA,NA,1,0,1
2012,"01011","Bullock County",2,2,2,1,"AL",NA,NA,1,0,1
2013,"01011","Bullock County",2,2,2,1,"AL",NA,NA,1,0,1
2009,"01013","Butler County",2,2,1,1,"AL",NA,NA,4,0,4
2010,"01013","Butler County",3,2,1,1,"AL",NA,NA,4,0,4
2011,"01013","Butler County",3,2,1,1,"AL",NA,NA,4,1,5
2012,"01013","Butler County",3,2,1,1,"AL",NA,NA,4,1,5
2013,"01013","Butler County",3,2,2,1,"AL",NA,NA,5,1,5
2009,"01015","Calhoun County",3,3,2,1,"AL",NA,NA,25,2,26
2010,"01015","Calhoun County",3,3,2,1,"AL",NA,NA,24,2,26
2011,"01015","Calhoun County",3,3,2,1,"AL",NA,NA,27,2,29
2012,"01015","Calhoun County",3,3,2,1,"AL",NA,NA,26,3,29
2013,"01015","Calhoun County",3,3,3,2,"AL",NA,NA,27,3,29
2009,"01017","Chambers County",2,2,2,1,"AL",NA,NA,5,0,5
2010,"01017","Chambers County",2,2,2,1,"AL",NA,NA,6,0,6
2011,"01017","Chambers County",2,2,2,1,"AL",NA,NA,6,1,7
2012,"01017","Chambers County",3,2,2,1,"AL",NA,NA,7,1,7
2013,"01017","Chambers County",3,3,2,2,"AL",NA,NA,7,1,8
2009,"01019","Cherokee County",2,2,1,1,"AL",NA,NA,4,0,4
2010,"01019","Cherokee County",2,2,1,1,"AL",NA,NA,4,0,5
2011,"01019","Cherokee County",2,2,2,1,"AL",NA,NA,5,0,5
2012,"01019","Cherokee County",2,2,2,1,"AL",NA,NA,5,0,5
2013,"01019","Cherokee County",2,2,2,1,"AL",NA,NA,5,1,5
2009,"01021","Chilton County",2,2,1,1,"AL",NA,NA,6,1,6
2010,"01021","Chilton County",2,2,1,1,"AL",NA,NA,6,1,6
2011,"01021","Chilton County",2,2,1,1,"AL",NA,NA,7,1,8
2012,"01021","Chilton County",2,2,1,1,"AL",NA,NA,7,1,8
2013,"01021","Chilton County",2,2,2,1,"AL",NA,NA,7,1,8
2009,"01023","Choctaw County",2,1,1,1,"AL",NA,NA,2,0,2
2010,"01023","Choctaw County",2,2,1,1,"AL",NA,NA,2,0,2
2011,"01023","Choctaw County",2,2,1,1,"AL",NA,NA,2,0,3
2012,"01023","Choctaw County",2,2,1,1,"AL",NA,NA,3,0,3
2013,"01023","Choctaw County",2,2,1,1,"AL",NA,NA,3,0,3
2009,"01025","Clarke County",2,2,1,1,"AL",NA,NA,3,1,4
2010,"01025","Clarke County",2,2,1,1,"AL",NA,NA,3,1,4
2011,"01025","Clarke County",2,2,1,1,"AL",NA,NA,4,1,5
2012,"01025","Clarke County",2,2,2,1,"AL",NA,NA,5,1,5
2013,"01025","Clarke County",2,2,2,1,"AL",NA,NA,5,1,5
2009,"01027","Clay County",2,1,1,1,"AL",NA,NA,2,0,2
