"","year","fips","county_name","connections_200_kbps","connections_768_kbps","connections_3_mbps","connections_10_mbps","state","connections_25_mbps","connections_100_mbps"
"1",2013,1001,"Autauga County",4,4,3,3,"AL",NA,NA
"2",2013,1003,"Baldwin County",3,3,3,2,"AL",NA,NA
"3",2013,1005,"Barbour County",2,2,2,1,"AL",NA,NA
"4",2013,1007,"Bibb County",2,2,2,1,"AL",NA,NA
"5",2013,1009,"Blount County",3,3,2,1,"AL",NA,NA
"6",2013,1011,"Bullock County",2,2,2,1,"AL",NA,NA
"7",2013,1013,"Butler County",3,2,2,1,"AL",NA,NA
"8",2013,1015,"Calhoun County",3,3,3,2,"AL",NA,NA
"9",2013,1017,"Chambers County",3,3,2,2,"AL",NA,NA
"10",2013,1019,"Cherokee County",2,2,2,1,"AL",NA,NA
"11",2013,1021,"Chilton County",2,2,2,1,"AL",NA,NA
"12",2013,1023,"Choctaw County",2,2,1,1,"AL",NA,NA
"13",2013,1025,"Clarke County",2,2,2,1,"AL",NA,NA
"14",2013,1027,"Clay County",3,2,1,1,"AL",NA,NA
"15",2013,1029,"Cleburne County",2,2,1,1,"AL",NA,NA
"16",2013,1031,"Coffee County",3,3,3,2,"AL",NA,NA
"17",2013,1033,"Colbert County",3,3,3,2,"AL",NA,NA
"18",2013,1035,"Conecuh County",2,2,1,1,"AL",NA,NA
"19",2013,1037,"Coosa County",2,1,1,1,"AL",NA,NA
"20",2013,1039,"Covington County",3,3,2,1,"AL",NA,NA
"21",2013,1041,"Crenshaw County",3,2,2,1,"AL",NA,NA
"22",2013,1043,"Cullman County",3,3,2,2,"AL",NA,NA
"23",2013,1045,"Dale County",3,3,3,2,"AL",NA,NA
"24",2013,1047,"Dallas County",2,2,2,2,"AL",NA,NA
"25",2013,1049,"DeKalb County",3,3,2,1,"AL",NA,NA
"26",2013,1051,"Elmore County",4,4,3,2,"AL",NA,NA
"27",2013,1053,"Escambia County",3,3,2,1,"AL",NA,NA
"28",2013,1055,"Etowah County",3,3,3,2,"AL",NA,NA
"29",2013,1057,"Fayette County",2,2,1,1,"AL",NA,NA
"30",2013,1059,"Franklin County",2,2,2,1,"AL",NA,NA
"31",2013,1061,"Geneva County",3,3,2,1,"AL",NA,NA
"32",2013,1063,"Greene County",1,1,1,1,"AL",NA,NA
"33",2013,1065,"Hale County",2,2,1,1,"AL",NA,NA
"34",2013,1067,"Henry County",3,2,2,1,"AL",NA,NA
"35",2013,1069,"Houston County",3,3,3,2,"AL",NA,NA
"36",2013,1071,"Jackson County",3,3,2,1,"AL",NA,NA
"37",2013,1073,"Jefferson County",3,3,3,2,"AL",NA,NA
"38",2013,1075,"Lamar County",3,2,2,1,"AL",NA,NA
"39",2013,1077,"Lauderdale County",3,3,3,2,"AL",NA,NA
"40",2013,1079,"Lawrence County",2,2,2,2,"AL",NA,NA
"41",2013,1081,"Lee County",3,3,3,2,"AL",NA,NA
"42",2013,1083,"Limestone County",4,3,3,3,"AL",NA,NA
"43",2013,1085,"Lowndes County",2,2,1,1,"AL",NA,NA
"44",2013,1087,"Macon County",2,2,2,1,"AL",NA,NA
"45",2013,1089,"Madison County",4,4,4,3,"AL",NA,NA
"46",2013,1091,"Marengo County",2,2,2,1,"AL",NA,NA
"47",2013,1093,"Marion County",3,2,1,1,"AL",NA,NA
"48",2013,1095,"Marshall County",3,3,3,2,"AL",NA,NA
"49",2013,1097,"Mobile County",3,3,3,2,"AL",NA,NA
"50",2013,1099,"Monroe County",2,2,2,1,"AL",NA,NA
"51",2013,1101,"Montgomery County",3,3,3,3,"AL",NA,NA
"52",2013,1103,"Morgan County",3,3,3,2,"AL",NA,NA
"53",2013,1105,"Perry County",1,1,1,1,"AL",NA,NA
"54",2013,1107,"Pickens County",2,2,2,1,"AL",NA,NA
"55",2013,1109,"Pike County",3,3,2,2,"AL",NA,NA
"56",2013,1111,"Randolph County",2,2,2,1,"AL",NA,NA
"57",2013,1113,"Russell County",3,3,2,1,"AL",NA,NA
"58",2013,1117,"Shelby County",4,4,4,3,"AL",NA,NA
"59",2013,1115,"St. Clair County",3,3,3,1,"AL",NA,NA
"60",2013,1119,"Sumter County",2,2,2,1,"AL",NA,NA
"61",2013,1121,"Talladega County",3,3,2,2,"AL",NA,NA
"62",2013,1123,"Tallapoosa County",3,3,3,2,"AL",NA,NA
"63",2013,1125,"Tuscaloosa County",3,3,3,3,"AL",NA,NA
"64",2013,1127,"Walker County",2,2,2,2,"AL",NA,NA
"65",2013,1129,"Washington County",2,2,1,1,"AL",NA,NA
"66",2013,1131,"Wilcox County",2,2,2,1,"AL",NA,NA
"67",2013,1133,"Winston County",2,2,1,1,"AL",NA,NA
"68",2013,2013,"Aleutians East Borough",5,5,0,0,"AK",NA,NA
"69",2013,2016,"Aleutians West Census Area",2,1,1,1,"AK",NA,NA
"70",2013,2020,"Anchorage Municipality",4,4,4,3,"AK",NA,NA
"71",2013,2050,"Bethel Census Area",2,2,2,1,"AK",NA,NA
"72",2013,2060,"Bristol Bay Borough",2,2,1,1,"AK",NA,NA
"73",2013,2068,"Denali Borough",2,2,2,1,"AK",NA,NA
"74",2013,2070,"Dillingham Census Area",2,2,1,1,"AK",NA,NA
"75",2013,2090,"Fairbanks North Star Borough",4,3,3,2,"AK",NA,NA
"76",2013,2100,"Haines Borough",2,2,1,0,"AK",NA,NA
"77",2013,2105,"Hoonah-Angoon Census Area",2,1,1,1,"AK",NA,NA
"78",2013,2110,"Juneau City and Borough",4,4,4,3,"AK",NA,NA
"79",2013,2122,"Kenai Peninsula Borough",3,2,2,1,"AK",NA,NA
"80",2013,2130,"Ketchikan Gateway Borough",4,3,3,2,"AK",NA,NA
"81",2013,2150,"Kodiak Island Borough",4,4,3,3,"AK",NA,NA
"82",2013,2158,"Kusilvak Census Area",0,0,0,0,"AK",NA,NA
"83",2013,2164,"Lake and Peninsula Borough",1,1,1,0,"AK",NA,NA
"84",2013,2170,"Matanuska-Susitna Borough",4,4,3,2,"AK",NA,NA
"85",2013,2180,"Nome Census Area",2,2,1,0,"AK",NA,NA
"86",2013,2185,"North Slope Borough",3,2,2,1,"AK",NA,NA
"87",2013,2188,"Northwest Arctic Borough",2,1,1,1,"AK",NA,NA
"88",2013,2195,"Petersburg Borough",4,3,3,3,"AK",NA,NA
"89",2013,2198,"Prince of Wales-Hyder Census Area",2,2,1,0,"AK",NA,NA
"90",2013,2220,"Sitka City and Borough",3,3,2,2,"AK",NA,NA
"91",2013,2230,"Skagway Municipality",2,2,1,0,"AK",NA,NA
"92",2013,2240,"Southeast Fairbanks Census Area",2,2,1,1,"AK",NA,NA
"93",2013,2261,"Valdez-Cordova Census Area",3,3,2,1,"AK",NA,NA
"94",2013,2275,"Wrangell City and Borough",3,3,2,2,"AK",NA,NA
"95",2013,2282,"Yakutat City and Borough",1,1,0,0,"AK",NA,NA
"96",2013,2290,"Yukon-Koyukuk Census Area",1,1,1,1,"AK",NA,NA
"97",2013,60010,"Eastern District",1,1,0,0,NA,NA,NA
"98",2013,60020,"Manu'a District",1,0,0,0,NA,NA,NA
"99",2013,60030,"Rose Island",0,0,0,0,NA,NA,NA
"100",2013,60040,"Swains Island",0,0,0,0,NA,NA,NA
"101",2013,60050,"Western District",2,1,0,0,NA,NA,NA
"102",2013,4001,"Apache County",2,2,2,1,"AZ",NA,NA
"103",2013,4003,"Cochise County",3,3,3,2,"AZ",NA,NA
"104",2013,4005,"Coconino County",3,3,3,2,"AZ",NA,NA
"105",2013,4007,"Gila County",2,2,2,1,"AZ",NA,NA
"106",2013,4009,"Graham County",3,3,3,1,"AZ",NA,NA
"107",2013,4011,"Greenlee County",3,3,2,1,"AZ",NA,NA
"108",2013,4012,"La Paz County",2,2,2,1,"AZ",NA,NA
"109",2013,4013,"Maricopa County",4,4,4,3,"AZ",NA,NA
"110",2013,4015,"Mohave County",3,3,3,2,"AZ",NA,NA
"111",2013,4017,"Navajo County",2,2,2,1,"AZ",NA,NA
"112",2013,4019,"Pima County",4,4,3,3,"AZ",NA,NA
"113",2013,4021,"Pinal County",4,4,3,2,"AZ",NA,NA
"114",2013,4023,"Santa Cruz County",4,4,3,1,"AZ",NA,NA
"115",2013,4025,"Yavapai County",3,3,3,2,"AZ",NA,NA
"116",2013,4027,"Yuma County",3,3,2,2,"AZ",NA,NA
"117",2013,5001,"Arkansas County",2,2,1,1,"AR",NA,NA
"118",2013,5003,"Ashley County",2,2,2,1,"AR",NA,NA
"119",2013,5005,"Baxter County",3,3,2,2,"AR",NA,NA
