"month","GEOID","county_name","housing_units","tier_1","tier_2","tier_3","tier_4","state"
12,"01001","Autauga",23253,4,3,3,1,"AL"
12,"01003","Baldwin",111443,4,3,2,1,"AL"
12,"01005","Barbour",11967,3,2,1,1,"AL"
12,"01007","Bibb",9143,2,1,1,1,"AL"
12,"01009","Blount",24206,3,1,1,1,"AL"
12,"01011","Bullock",4544,2,1,0,0,"AL"
12,"01013","Butler",10042,3,2,1,1,"AL"
12,"01015","Calhoun",53522,3,3,2,2,"AL"
12,"01017","Chambers",16947,3,3,2,1,"AL"
12,"01019","Cherokee",16479,2,1,1,1,"AL"
12,"01021","Chilton",19641,3,2,1,1,"AL"
12,"01023","Choctaw",7331,2,1,1,0,"AL"
12,"01025","Clarke",12732,3,2,1,1,"AL"
12,"01027","Clay",6797,3,2,1,1,"AL"
12,"01029","Cleburne",6800,3,1,1,0,"AL"
12,"01031","Coffee",23076,3,3,1,1,"AL"
12,"01033","Colbert",26451,3,3,2,1,"AL"
12,"01035","Conecuh",7151,2,1,1,1,"AL"
12,"01037","Coosa",6556,2,2,1,0,"AL"
12,"01039","Covington",18941,3,1,1,1,"AL"
12,"01041","Crenshaw",6789,3,2,1,1,"AL"
12,"01043","Cullman",37569,3,2,2,1,"AL"
12,"01045","Dale",23034,3,2,1,1,"AL"
12,"01047","Dallas",20358,3,2,2,1,"AL"
12,"01049","DeKalb",31166,3,3,2,1,"AL"
12,"01051","Elmore",34002,4,3,2,1,"AL"
12,"01053","Escambia",16557,3,2,1,1,"AL"
12,"01055","Etowah",47641,3,3,2,1,"AL"
12,"01057","Fayette",8463,2,1,1,0,"AL"
12,"01059","Franklin",14012,2,2,1,1,"AL"
12,"01061","Geneva",12801,3,2,1,1,"AL"
12,"01063","Greene",5074,2,1,0,0,"AL"
12,"01065","Hale",7748,2,2,1,1,"AL"
12,"01067","Henry",9105,3,2,1,1,"AL"
12,"01069","Houston",47127,3,2,2,1,"AL"
12,"01071","Jackson",24976,3,3,2,1,"AL"
12,"01073","Jefferson",307037,4,3,2,1,"AL"
12,"01075","Lamar",7379,3,1,1,1,"AL"
12,"01077","Lauderdale",44643,3,3,2,1,"AL"
12,"01079","Lawrence",15217,2,2,1,1,"AL"
12,"01081","Lee",67810,4,3,3,1,"AL"
12,"01083","Limestone",35796,4,3,3,1,"AL"
12,"01085","Lowndes",5196,2,1,1,1,"AL"
12,"01087","Macon",10287,2,2,1,1,"AL"
12,"01089","Madison",158926,4,4,3,1,"AL"
12,"01091","Marengo",10319,2,1,1,1,"AL"
12,"01093","Marion",14668,2,1,1,1,"AL"
12,"01095","Marshall",40452,4,3,3,1,"AL"
12,"01097","Mobile",182859,3,3,2,1,"AL"
12,"01099","Monroe",11385,3,1,1,1,"AL"
12,"01101","Montgomery",104472,4,3,3,1,"AL"
12,"01103","Morgan",51876,4,3,2,1,"AL"
12,"01105","Perry",4738,2,1,0,0,"AL"
12,"01107","Pickens",9557,2,2,1,0,"AL"
12,"01109","Pike",16057,3,2,1,1,"AL"
12,"01111","Randolph",12076,3,2,1,1,"AL"
12,"01113","Russell",27536,3,2,1,1,"AL"
12,"01115","St. Clair",36401,4,2,2,1,"AL"
12,"01117","Shelby",85838,4,4,3,1,"AL"
12,"01119","Sumter",6846,2,2,1,1,"AL"
12,"01121","Talladega",37711,3,2,2,1,"AL"
12,"01123","Tallapoosa",22295,3,3,3,1,"AL"
12,"01125","Tuscaloosa",89125,4,3,2,1,"AL"
12,"01127","Walker",31003,3,2,2,1,"AL"
12,"01129","Washington",8513,2,1,1,1,"AL"
12,"01131","Wilcox",5742,2,1,1,1,"AL"
12,"01133","Winston",13596,2,1,1,1,"AL"
12,"02013","Aleutians East Borough",754,5,0,0,0,"AK"
12,"02016","Aleutians West Census Area",1948,2,0,0,0,"AK"
12,"02020","Anchorage Municipality",116441,4,4,3,3,"AK"
12,"02050","Bethel Census Area",6010,2,1,1,0,"AK"
12,"02060","Bristol Bay Borough",975,2,0,0,0,"AK"
12,"02063","Chugach Census Area",3528,0,0,0,0,"AK"
12,"02066","Copper River Census Area",2634,0,0,0,0,"AK"
12,"02068","Denali Borough",1770,2,1,1,1,"AK"
12,"02070","Dillingham Census Area",2451,2,0,0,0,"AK"
12,"02090","Fairbanks North Star Borough",44135,4,3,2,2,"AK"
12,"02100","Haines Borough",1662,3,0,0,0,"AK"
12,"02105","Hoonah-Angoon Census Area",1761,1,1,0,0,"AK"
12,"02110","Juneau City and Borough",13590,4,4,3,2,"AK"
12,"02122","Kenai Peninsula Borough",31139,3,2,1,1,"AK"
12,"02130","Ketchikan Gateway Borough",6358,4,3,2,2,"AK"
12,"02150","Kodiak Island Borough",5392,4,3,2,2,"AK"
12,"02158","Kusilvak Census Area",2238,0,0,0,0,"AK"
12,"02164","Lake and Peninsula Borough",1513,1,0,0,0,"AK"
12,"02170","Matanuska-Susitna Borough",41747,4,3,2,1,"AK"
12,"02180","Nome Census Area",4094,2,1,0,0,"AK"
12,"02185","North Slope Borough",2615,3,0,0,0,"AK"
12,"02188","Northwest Arctic Borough",2736,3,1,0,0,"AK"
12,"02195","Petersburg Borough",1684,4,3,3,2,"AK"
12,"02198","Prince of Wales-Hyder Census Area",3419,2,0,0,0,"AK"
12,"02220","Sitka City and Borough",4196,4,3,3,2,"AK"
12,"02230","Skagway Municipality",677,3,0,0,0,"AK"
12,"02240","Southeast Fairbanks Census Area",3909,2,1,1,0,"AK"
12,"02275","Wrangell City and Borough",1448,3,3,2,2,"AK"
12,"02282","Yakutat City and Borough",456,2,0,0,0,"AK"
12,"02290","Yukon-Koyukuk Census Area",4078,2,1,0,0,"AK"
12,"04001","Apache",32803,2,1,0,0,"AZ"
12,"04003","Cochise",60872,3,2,2,1,"AZ"
12,"04005","Coconino",65263,3,3,2,1,"AZ"
12,"04007","Gila",33372,3,2,2,1,"AZ"
12,"04009","Graham",13493,3,2,2,2,"AZ"
12,"04011","Greenlee",4447,3,2,1,1,"AZ"
12,"04012","La Paz",16276,2,2,1,1,"AZ"
12,"04013","Maricopa",1716968,4,4,3,1,"AZ"
12,"04015","Mohave",113802,4,3,2,1,"AZ"
12,"04017","Navajo",57735,3,1,1,1,"AZ"
12,"04019","Pima",456923,4,3,3,2,"AZ"
12,"04021","Pinal",170767,4,3,2,1,"AZ"
12,"04023","Santa Cruz",18247,3,2,1,1,"AZ"
12,"04025","Yavapai",114795,4,3,2,2,"AZ"
12,"04027","Yuma",91541,3,2,1,1,"AZ"
12,"05001","Arkansas",9487,3,2,1,0,"AR"
12,"05003","Ashley",10171,2,1,1,1,"AR"
12,"05005","Baxter",22827,3,3,2,1,"AR"
12,"05007","Benton",102408,4,4,2,1,"AR"
12,"05009","Boone",16973,3,2,1,1,"AR"
12,"05011","Bradley",5826,2,2,1,0,"AR"
12,"05013","Calhoun",2923,2,2,1,1,"AR"
12,"05015","Carroll",13685,3,2,1,1,"AR"
12,"05017","Chicot",5428,2,2,1,1,"AR"
12,"05019","Clark",10489,3,2,2,1,"AR"
12,"05021","Clay",8034,3,2,1,1,"AR"
12,"05023","Cleburne",16064,3,2,1,1,"AR"
12,"05025","Cleveland",4108,2,1,0,0,"AR"
12,"05027","Columbia",11666,2,2,1,1,"AR"
12,"05029","Conway",9814,3,2,1,1,"AR"
12,"05031","Craighead",44464,3,3,3,1,"AR"
12,"05033","Crawford",26697,3,3,2,1,"AR"
12,"05035","Crittenden",21741,3,2,2,1,"AR"
12,"05037","Cross",7958,3,2,1,1,"AR"
12,"05039","Dallas",4333,2,1,1,1,"AR"
12,"05041","Desha",6315,2,2,1,1,"AR"
12,"05043","Drew",8608,2,2,1,0,"AR"
12,"05045","Faulkner",49443,4,3,2,1,"AR"
12,"05047","Franklin",8008,3,2,1,0,"AR"
12,"05049","Fulton",6829,2,2,1,1,"AR"
12,"05051","Garland",50829,3,3,2,1,"AR"
12,"05053","Grant",7969,3,1,1,1,"AR"
12,"05055","Greene",18848,3,3,1,1,"AR"
12,"05057","Hempstead",10544,2,1,1,1,"AR"
12,"05059","Hot Spring",14456,3,2,1,1,"AR"
12,"05061","Howard",6252,2,1,1,0,"AR"
12,"05063","Independence",16478,3,2,2,1,"AR"
12,"05065","Izard",7279,3,2,1,0,"AR"
12,"05067","Jackson",7603,3,2,2,1,"AR"
12,"05069","Jefferson",33342,3,1,1,1,"AR"
12,"05071","Johnson",11455,3,2,1,1,"AR"
12,"05073","Lafayette",4382,2,1,1,0,"AR"
12,"05075","Lawrence",7998,3,2,1,1,"AR"
12,"05077","Lee",4368,2,1,1,1,"AR"
12,"05079","Lincoln",4938,2,1,1,0,"AR"
12,"05081","Little River",6504,2,1,1,1,"AR"
12,"05083","Logan",10163,3,2,1,0,"AR"
12,"05085","Lonoke",29045,4,3,2,1,"AR"
12,"05087","Madison",7558,3,1,1,1,"AR"
12,"05089","Marion",9437,3,2,1,1,"AR"
12,"05091","Miller",19532,3,2,2,1,"AR"
12,"05093","Mississippi",20529,3,2,1,0,"AR"
12,"05095","Monroe",4441,2,1,1,0,"AR"
12,"05097","Montgomery",5843,2,1,1,1,"AR"
12,"05099","Nevada",4588,2,1,1,1,"AR"
12,"05101","Newton",4689,2,1,1,0,"AR"
12,"05103","Ouachita",13103,3,2,1,1,"AR"
12,"05105","Perry",4962,3,1,1,1,"AR"
12,"05107","Phillips",10195,2,2,1,1,"AR"
12,"05109","Pike",5619,2,1,1,1,"AR"
12,"05111","Poinsett",10965,3,2,1,0,"AR"
12,"05113","Polk",10115,3,2,1,0,"AR"
12,"05115","Pope",26163,4,3,2,1,"AR"
12,"05117","Prairie",4547,2,1,1,0,"AR"
12,"05119","Pulaski",183076,4,3,2,1,"AR"
12,"05121","Randolph",8589,3,2,2,1,"AR"
12,"05123","St. Francis",10960,2,1,1,1,"AR"
12,"05125","Saline",48333,4,3,1,1,"AR"
12,"05127","Scott",5260,2,1,1,1,"AR"
12,"05129","Searcy",4937,2,1,1,1,"AR"
12,"05131","Sebastian",56473,4,3,2,1,"AR"
12,"05133","Sevier",6956,3,1,1,1,"AR"
12,"05135","Sharp",9867,3,2,1,1,"AR"
12,"05137","Stone",6879,3,1,1,0,"AR"
12,"05139","Union",19952,3,2,2,1,"AR"
12,"05141","Van Buren",10472,2,1,1,0,"AR"
12,"05143","Washington",92217,4,3,2,1,"AR"
12,"05145","White",33663,3,2,1,1,"AR"
12,"05147","Woodruff",3888,2,1,1,1,"AR"
12,"05149","Yell",9846,3,2,1,1,"AR"
12,"06001","Alameda",596473,5,4,3,2,"CA"
12,"06003","Alpine",1777,3,1,1,0,"CA"
12,"06005","Amador",18176,4,2,1,1,"CA"
12,"06007","Butte",98567,4,3,3,2,"CA"
12,"06009","Calaveras",27830,4,3,2,1,"CA"
12,"06011","Colusa",8099,4,2,1,1,"CA"
12,"06013","Contra Costa",410864,5,4,3,3,"CA"
12,"06015","Del Norte",11286,4,4,3,1,"CA"
12,"06017","El Dorado",90024,4,3,3,1,"CA"
12,"06019","Fresno",328680,4,3,2,2,"CA"
12,"06021","Glenn",11083,3,2,1,1,"CA"
12,"06023","Humboldt",62589,4,3,3,1,"CA"
12,"06025","Imperial",57277,3,2,1,1,"CA"
12,"06027","Inyo",9501,4,3,3,1,"CA"
12,"06029","Kern",295483,4,3,2,1,"CA"
12,"06031","Kings",45568,4,3,2,2,"CA"
12,"06033","Lake",34372,3,3,2,1,"CA"
12,"06035","Lassen",12743,4,2,1,1,"CA"
12,"06037","Los Angeles",3517649,4,4,3,2,"CA"
12,"06039","Madera",50037,4,3,2,1,"CA"
12,"06041","Marin",111955,5,4,4,3,"CA"
12,"06043","Mariposa",10488,3,1,1,1,"CA"
12,"06045","Mendocino",40857,4,3,2,1,"CA"
12,"06047","Merced",84889,4,3,2,2,"CA"
12,"06049","Modoc",5244,3,1,1,1,"CA"
12,"06051","Mono",14023,3,2,2,1,"CA"
12,"06053","Monterey",140757,4,3,2,2,"CA"
12,"06055","Napa",55461,4,4,3,2,"CA"
12,"06057","Nevada",53445,4,3,2,1,"CA"
12,"06059","Orange",1083089,5,4,3,2,"CA"
12,"06061","Placer",161433,4,4,3,2,"CA"
12,"06063","Plumas",15796,3,1,1,1,"CA"
12,"06065","Riverside",831503,4,4,3,2,"CA"
12,"06067","Sacramento",565874,5,4,3,2,"CA"
12,"06069","San Benito",18429,4,4,2,1,"CA"
12,"06071","San Bernardino",713663,4,4,3,2,"CA"
12,"06073","San Diego",1198208,5,4,3,1,"CA"
12,"06075","San Francisco",390825,4,4,3,3,"CA"
12,"06077","San Joaquin",240201,4,4,3,2,"CA"
12,"06079","San Luis Obispo",120672,4,4,3,1,"CA"
12,"06081","San Mateo",276605,5,4,4,3,"CA"
12,"06083","Santa Barbara",157053,4,4,3,2,"CA"
12,"06085","Santa Clara",659621,5,4,3,3,"CA"
12,"06087","Santa Cruz",105417,4,4,3,2,"CA"
12,"06089","Shasta",78455,4,3,3,1,"CA"
12,"06091","Sierra",2339,3,1,1,0,"CA"
12,"06093","Siskiyou",24051,3,2,1,1,"CA"
12,"06095","Solano",156960,5,4,3,3,"CA"
12,"06097","Sonoma",207716,4,4,3,2,"CA"
12,"06099","Stanislaus",181063,4,4,2,1,"CA"
12,"06101","Sutter",34276,4,4,3,2,"CA"
12,"06103","Tehama",27482,4,2,1,1,"CA"
12,"06105","Trinity",8778,3,2,1,0,"CA"
12,"06107","Tulare",147515,4,3,2,1,"CA"
12,"06109","Tuolumne",31445,3,2,2,1,"CA"
12,"06111","Ventura",287583,5,4,4,2,"CA"
12,"06113","Yolo",77305,4,4,2,2,"CA"
12,"06115","Yuba",28190,4,3,2,2,"CA"
12,"08001","Adams",169004,5,4,3,3,"CO"
12,"08003","Alamosa",6772,4,3,2,1,"CO"
12,"08005","Arapahoe",247083,5,4,4,3,"CO"
12,"08007","Archuleta",9310,3,2,1,0,"CO"
12,"08009","Baca",2254,2,2,1,1,"CO"
12,"08011","Bent",2258,3,2,1,1,"CO"
12,"08013","Boulder",132682,5,4,4,3,"CO"
12,"08014","Broomfield",26287,5,5,4,3,"CO"
12,"08015","Chaffee",10500,4,3,2,0,"CO"
12,"08017","Cheyenne",980,3,1,1,0,"CO"
