"GEOID","state","county","hosp","lth_psych","hosp_adm","hosp_beds","md_nf_fed","do_nf_fed_activ","stgh_ed_vists","stnglth_ed_vists","popn","lo_birth_wgt_3yr_avg","suicide_deth_3yr","inf_mort_rate_5yr_lt1_avg","stgh_obstetrc_care","do_nf_obgyn_gen","md_nf_obgyn_gen","comn_mentl_hlth_ctr","fedly_qualfd_hlth_ctr"
"01001","AL","Autauga",1,0,3414,77,52,2,28903,0,59759,75,NA,NA,0,0,0,0,2
"01003","AL","Baldwin",4,0,21285,418,628,62,112991,0,246435,206,46,5.3,2,1,22,2,4
"01005","AL","Barbour",1,0,1159,47,11,1,14476,0,24706,38,NA,NA,0,0,0,0,3
"01007","AL","Bibb",1,0,1955,166,33,10,10763,0,22005,24,NA,NA,0,0,0,0,8
"01009","AL","Blount",1,0,914,25,21,0,13228,0,59512,51,14,NA,0,0,0,0,1
"01011","AL","Bullock",1,0,1280,54,5,0,2780,0,10202,14,NA,NA,0,0,0,0,1
"01013","AL","Butler",1,0,989,61,20,0,3091,0,18650,28,NA,NA,0,0,0,1,1
"01015","AL","Calhoun",3,0,13626,429,208,15,29895,0,115788,120,23,NA,1,0,11,0,3
"01017","AL","Chambers",0,0,0,0,28,1,0,0,34088,52,NA,NA,0,0,0,0,2
"01019","AL","Cherokee",1,0,1067,45,15,2,1597,0,25302,16,NA,NA,0,0,0,0,1
"01021","AL","Chilton",1,0,684,26,26,0,18418,0,45884,47,NA,NA,0,0,0,0,2
"01023","AL","Choctaw",1,0,291,25,5,0,2098,0,12439,14,NA,NA,0,0,0,0,1
"01025","AL","Clarke",3,0,2042,66,12,4,15946,0,22515,39,NA,NA,1,0,0,0,3
"01027","AL","Clay",1,0,1517,129,9,0,2501,0,14198,18,NA,NA,0,0,0,0,1
"01029","AL","Cleburne",0,0,0,0,5,1,0,0,15346,14,NA,NA,0,0,0,0,1
"01031","AL","Coffee",1,0,3820,99,65,9,31480,0,54805,56,12,NA,1,0,4,1,1
"01033","AL","Colbert",2,0,8960,284,97,15,41313,0,58033,64,10,NA,1,0,2,0,1
"01035","AL","Conecuh",1,0,1352,44,10,0,722,0,11206,19,NA,NA,0,0,0,0,4
"01037","AL","Coosa",0,0,0,0,1,1,0,0,10166,NA,NA,NA,0,0,1,0,1
"01039","AL","Covington",2,0,3447,137,50,5,22230,0,37602,38,NA,NA,1,0,3,0,1
"01041","AL","Crenshaw",2,0,1786,93,6,0,4095,0,13025,15,NA,NA,0,0,0,0,1
"01043","AL","Cullman",1,0,7371,145,120,8,18558,0,90665,88,19,NA,0,0,4,0,1
"01045","AL","Dale",1,0,1677,69,43,5,16343,0,49544,61,12,NA,0,0,4,0,1
"01047","AL","Dallas",1,0,4755,149,94,7,21749,0,36767,62,NA,NA,0,0,5,0,3
"01049","AL","DeKalb",1,0,3196,115,57,5,23461,0,71998,71,13,NA,0,0,5,0,3
"01051","AL","Elmore",2,0,1915,96,45,6,15171,0,89563,80,11,NA,0,0,0,1,0
"01053","AL","Escambia",2,0,2498,82,36,6,12620,0,36666,41,NA,NA,0,0,2,0,6
"01055","AL","Etowah",4,0,18973,549,246,14,57282,0,103088,92,21,NA,1,0,4,0,10
"01057","AL","Fayette",1,0,624,167,31,3,10288,0,16118,16,NA,NA,0,0,2,0,0
"01059","AL","Franklin",2,0,2176,114,28,2,9950,0,31932,36,NA,NA,0,1,1,0,1
"01061","AL","Geneva",1,0,1730,147,13,1,3962,0,26783,27,NA,NA,0,0,0,0,2
"01063","AL","Greene",1,0,1079,92,8,0,338,0,7422,15,NA,NA,0,0,0,0,1
"01065","AL","Hale",1,0,453,20,13,0,1892,0,14595,28,NA,NA,0,0,0,0,1
"01067","AL","Henry",0,0,0,0,9,3,0,0,17655,21,NA,NA,0,0,0,0,1
"01069","AL","Houston",5,0,33270,797,453,45,57392,0,108079,141,21,8.3,1,1,18,0,0
"01071","AL","Jackson",1,0,3024,92,58,4,5945,0,52891,52,NA,NA,0,0,4,0,6
"01073","AL","Jefferson",14,1,183139,4558,5267,162,398063,59572,665409,899,93,8.7,4,4,164,0,25
"01075","AL","Lamar",0,0,0,0,3,0,0,0,13705,17,NA,NA,0,0,0,0,1
"01077","AL","Lauderdale",1,0,10998,239,239,19,41647,0,95878,83,14,NA,1,1,9,0,3
"01079","AL","Lawrence",1,0,612,43,11,0,8547,0,33214,32,NA,NA,0,0,0,0,1
"01081","AL","Lee",1,0,17956,544,279,44,23865,0,180773,189,26,6.3,0,0,14,0,0
"01083","AL","Limestone",2,0,3676,102,112,13,12548,1908,110900,98,18,NA,0,1,6,0,0
"01085","AL","Lowndes",0,0,0,0,1,1,0,0,9777,21,NA,NA,0,0,0,0,3
"01087","AL","Macon",0,0,0,0,20,0,0,0,18516,24,NA,NA,0,0,1,0,1
"01089","AL","Madison",5,0,62129,1319,1302,70,207903,2213,403565,449,59,6,1,2,45,0,12
"01091","AL","Marengo",1,0,1686,47,18,0,5007,0,18745,26,NA,NA,0,0,0,0,3
"01093","AL","Marion",2,0,1563,71,10,5,16498,0,29156,35,NA,NA,0,0,0,1,0
"01095","AL","Marshall",2,0,6351,183,125,11,40597,0,99423,120,19,NA,0,0,6,0,2
"01097","AL","Mobile",7,0,70212,1629,1602,92,220657,43532,411411,642,62,8.2,2,5,77,0,22
"01099","AL","Monroe",1,0,998,44,18,1,4880,0,19404,26,NA,NA,0,0,0,0,6
"01101","AL","Montgomery",6,0,45839,1292,812,56,147836,0,226361,405,25,9.7,3,3,24,0,9
"01103","AL","Morgan",1,0,5451,110,186,6,27247,0,124211,133,25,7.1,0,0,7,0,1
"01105","AL","Perry",0,0,0,0,6,0,0,0,8035,14,NA,NA,0,0,0,0,3
"01107","AL","Pickens",0,0,0,0,9,0,0,0,18697,22,NA,NA,0,0,0,0,3
"01109","AL","Pike",1,0,1456,43,32,3,14897,0,33014,46,NA,NA,0,0,0,0,1
"01111","AL","Randolph",1,0,266,15,10,3,3636,0,22479,24,NA,NA,0,0,0,0,1
"01113","AL","Russell",2,0,4148,90,34,14,0,16825,58555,83,12,NA,0,0,1,0,3
"01115","AL","St. Clair",1,0,2088,40,37,2,23679,0,93932,99,18,NA,0,0,0,0,1
"01117","AL","Shelby",3,0,12743,317,709,42,16219,0,230115,212,30,4.6,0,1,21,0,2
"01119","AL","Sumter",1,0,388,33,7,1,909,0,11853,20,NA,NA,0,0,0,0,1
"01121","AL","Talladega",2,0,5363,173,67,2,24000,0,80704,109,15,10.5,0,0,1,0,1
"01123","AL","Tallapoosa",2,0,2315,94,69,0,23505,0,40977,45,NA,NA,1,0,6,0,1
"01125","AL","Tuscaloosa",6,1,30016,1969,624,22,86274,0,236780,306,28,9.5,1,0,26,2,2
"01127","AL","Walker",1,0,7131,178,87,3,12033,0,64339,81,13,NA,0,0,8,1,8
"01129","AL","Washington",1,0,232,20,5,0,1342,0,15122,19,NA,NA,0,0,0,0,1
"01131","AL","Wilcox",0,0,0,0,3,1,0,0,10059,17,NA,NA,0,0,0,0,7
"01133","AL","Winston",1,0,1381,59,11,3,2019,0,23755,24,NA,NA,0,0,0,1,1
"02013","AK","Aleutians East (B)",0,0,0,0,0,0,0,0,3398,NA,NA,NA,0,0,0,0,0
"02016","AK","Aleutians West (CA)",0,0,0,0,2,1,0,0,5122,NA,NA,NA,0,0,0,0,1
"02020","AK","Anchorage (B)",7,1,37973,1106,1404,167,158273,0,287145,260,62,5.1,0,5,57,0,3
"02050","AK","Bethel (CA)",1,0,4131,82,19,4,53368,0,18257,35,14,NA,0,0,1,0,2
"02060","AK","Bristol Bay (B)",0,0,0,0,0,0,0,0,865,NA,NA,NA,0,0,0,0,1
"02063","AK","Chugach (CA)",0,0,0,0,10,0,0,0,6874,NA,NA,NA,0,0,0,NA,NA
"02066","AK","Copper River (CA)",0,0,0,0,1,0,0,0,2589,NA,NA,NA,0,0,0,NA,NA
"02068","AK","Denali (B)",0,0,0,0,1,0,0,0,1585,NA,NA,NA,0,0,0,0,0
"02070","AK","Dillingham (CA)",1,0,95,16,11,3,975,0,4723,NA,NA,NA,0,0,0,0,0
"02090","AK","Fairbanks North Star (B)",2,0,5307,238,238,44,45620,0,95356,94,27,NA,1,1,6,0,2
"02100","AK","Haines (B)",0,0,0,0,9,0,0,0,2056,NA,NA,NA,0,0,0,0,0
"02105","AK","Hoonah-Angoon (CA)",0,0,0,0,0,0,0,0,2287,NA,NA,NA,0,0,0,0,0
"02110","AK","Juneau (B)",1,0,2922,73,106,9,3242,0,31685,17,NA,NA,0,0,1,0,3
"02122","AK","Kenai Peninsula (B)",3,0,4181,218,123,21,23036,0,60690,37,18,NA,2,2,5,0,5
"02130","AK","Ketchikan Gateway (B)",1,0,895,54,50,3,7937,0,13741,10,NA,NA,1,0,4,0,1
"02150","AK","Kodiak Island (B)",1,0,245,6,29,1,1436,0,12720,NA,NA,NA,0,0,1,0,1
"02158","AK","Kusilvak (CA)",0,0,0,0,0,0,0,0,8278,19,10,NA,0,0,0,0,0
"02164","AK","Lake and Peninsula (B)",0,0,0,0,0,0,0,0,1381,NA,NA,NA,0,0,0,0,0
"02170","AK","Matanuska-Susitna (B)",1,0,5557,125,139,30,33749,0,113325,79,32,NA,1,2,4,0,8
"02180","AK","Nome (CA)",1,0,820,36,13,6,5400,0,9835,13,12,NA,0,0,0,0,0
"02185","AK","North Slope (B)",1,0,209,14,6,0,3374,0,10805,11,NA,NA,0,0,0,0,0
"02188","AK","Northwest Arctic (B)",1,0,2056,30,8,1,5588,0,7423,14,NA,NA,1,0,0,0,0
"02195","AK","Petersburg (B)",1,0,362,27,4,3,904,0,3360,NA,NA,NA,0,0,0,NA,NA
"02198","AK","Prince of Wales-Hyde",0,0,0,0,8,2,0,0,5650,NA,NA,NA,0,0,0,0,1
"02220","AK","Sitka (B)",1,0,439,25,42,1,6051,0,8382,NA,NA,NA,0,0,1,0,0
"02230","AK","Skagway Municipality (B)",0,0,0,0,0,0,0,0,1081,NA,NA,NA,0,0,0,0,1
"02240","AK","Southeast Fairbanks (CA)",0,0,0,0,3,2,0,0,7021,NA,NA,NA,0,0,0,0,2
"02261","AK","Valdez-Cordova (CA)",2,0,199,44,NA,NA,2284,0,NA,NA,NA,NA,1,NA,NA,0,3
"02275","AK","Wrangell (B)",1,0,294,22,4,0,599,0,2070,NA,NA,NA,0,0,0,NA,NA
"02282","AK","Yakutat (B)",0,0,0,0,0,0,0,0,700,NA,NA,NA,0,0,0,0,0
"02290","AK","Yukon-Koyukuk (CA)",0,0,0,0,0,1,0,0,5179,NA,NA,NA,0,0,0,0,1
"04001","AZ","Apache",4,0,5917,143,69,3,69038,0,65432,64,34,NA,0,0,7,0,1
"04003","AZ","Cochise",4,0,5559,160,177,46,67007,0,125663,104,36,NA,1,3,2,0,9
"04005","AZ","Coconino",5,0,15859,398,467,63,63743,0,144060,104,43,NA,2,2,17,0,9
"04007","AZ","Gila",2,0,3050,61,79,17,30082,0,53922,43,26,NA,2,1,3,0,2
"04009","AZ","Graham",2,0,1803,37,26,4,15227,0,38779,40,NA,NA,0,0,1,0,2
