"GEOID","state","county_name","rucc_2013","rural13"
"01001","AL","Autauga",2,0
"01003","AL","Baldwin",3,0
"01005","AL","Barbour",6,1
"01007","AL","Bibb",1,0
"01009","AL","Blount",1,0
"01011","AL","Bullock",6,1
"01013","AL","Butler",6,1
"01015","AL","Calhoun",3,0
"01017","AL","Chambers",6,1
"01019","AL","Cherokee",6,1
"01021","AL","Chilton",1,0
"01023","AL","Choctaw",9,1
"01025","AL","Clarke",7,1
"01027","AL","Clay",9,1
"01029","AL","Cleburne",8,1
"01031","AL","Coffee",4,1
"01033","AL","Colbert",3,0
"01035","AL","Conecuh",7,1
"01037","AL","Coosa",8,1
"01039","AL","Covington",6,1
"01041","AL","Crenshaw",8,1
"01043","AL","Cullman",4,1
"01045","AL","Dale",4,1
"01047","AL","Dallas",4,1
"01049","AL","DeKalb",6,1
"01051","AL","Elmore",2,0
"01053","AL","Escambia",6,1
"01055","AL","Etowah",3,0
"01057","AL","Fayette",6,1
"01059","AL","Franklin",6,1
"01061","AL","Geneva",3,0
"01063","AL","Greene",8,1
"01065","AL","Hale",3,0
"01067","AL","Henry",3,0
"01069","AL","Houston",3,0
"01071","AL","Jackson",6,1
"01073","AL","Jefferson",1,0
"01075","AL","Lamar",8,1
"01077","AL","Lauderdale",3,0
"01079","AL","Lawrence",3,0
"01081","AL","Lee",3,0
"01083","AL","Limestone",2,0
"01085","AL","Lowndes",2,0
"01087","AL","Macon",6,1
"01089","AL","Madison",2,0
"01091","AL","Marengo",7,1
"01093","AL","Marion",7,1
"01095","AL","Marshall",4,1
"01097","AL","Mobile",2,0
"01099","AL","Monroe",7,1
"01101","AL","Montgomery",2,0
"01103","AL","Morgan",3,0
"01105","AL","Perry",8,1
"01107","AL","Pickens",3,0
"01109","AL","Pike",6,1
"01111","AL","Randolph",6,1
"01113","AL","Russell",2,0
"01115","AL","St. Clair",1,0
"01117","AL","Shelby",1,0
"01119","AL","Sumter",8,1
"01121","AL","Talladega",4,1
"01123","AL","Tallapoosa",6,1
"01125","AL","Tuscaloosa",3,0
"01127","AL","Walker",1,0
"01129","AL","Washington",8,1
"01131","AL","Wilcox",9,1
"01133","AL","Winston",6,1
"02013","AK","Aleutians East Borough",9,1
"02016","AK","Aleutians West Census Area",9,1
"02020","AK","Anchorage Municipality",2,0
"02050","AK","Bethel Census Area",7,1
"02060","AK","Bristol Bay Borough",9,1
"02068","AK","Denali Borough",8,1
"02070","AK","Dillingham Census Area",9,1
"02090","AK","Fairbanks North Star Borough",3,0
"02100","AK","Haines Borough",9,1
"02105","AK","Hoonah-Angoon Census Area, AK",9,1
"02110","AK","Juneau City and Borough",5,1
"02122","AK","Kenai Peninsula Borough",7,1
"02130","AK","Ketchikan Gateway Borough",7,1
"02150","AK","Kodiak Island Borough",7,1
"02164","AK","Lake and Peninsula Borough",9,1
"02170","AK","Matanuska-Susitna Borough",2,0
"02180","AK","Nome Census Area",7,1
"02185","AK","North Slope Borough",7,1
"02188","AK","Northwest Arctic Borough",7,1
"02195","AK","Petersburg Census area",9,1
"02198","AK","Price of Wales Hyder Census Area",9,1
"02220","AK","Sitka City and Borough",7,1
"02230","AK","Skagway Municipality",9,1
"02240","AK","Southeast Fairbanks Census Area",9,1
"02261","AK","Valdez-Cordova Census Area",9,1
"02270","AK","Wade Hampton Census Area",9,1
"02275","AK","Wrangell City and Borough",9,1
"02282","AK","Yakutat City and Borough",9,1
"02290","AK","Yukon-Koyukuk Census Area",9,1
"04001","AZ","Apache",6,1
"04003","AZ","Cochise",3,0
"04005","AZ","Coconino",3,0
"04007","AZ","Gila",4,1
"04009","AZ","Graham",7,1
"04011","AZ","Greenlee",7,1
"04012","AZ","La Paz",6,1
"04013","AZ","Maricopa",1,0
"04015","AZ","Mohave",3,0
"04017","AZ","Navajo",4,1
"04019","AZ","Pima",2,0
"04021","AZ","Pinal",1,0
"04023","AZ","Santa Cruz",4,1
"04025","AZ","Yavapai",3,0
"04027","AZ","Yuma",3,0
"05001","AR","Arkansas",6,1
"05003","AR","Ashley",7,1
"05005","AR","Baxter",7,1
"05007","AR","Benton",2,0
"05009","AR","Boone",7,1
"05011","AR","Bradley",7,1
"05013","AR","Calhoun",9,1
"05015","AR","Carroll",6,1
"05017","AR","Chicot",7,1
"05019","AR","Clark",7,1
"05021","AR","Clay",7,1
"05023","AR","Cleburne",6,1
"05025","AR","Cleveland",3,0
"05027","AR","Columbia",7,1
"05029","AR","Conway",6,1
"05031","AR","Craighead",3,0
"05033","AR","Crawford",2,0
"05035","AR","Crittenden",1,0
"05037","AR","Cross",6,1
"05039","AR","Dallas",6,1
"05041","AR","Desha",6,1
"05043","AR","Drew",6,1
"05045","AR","Faulkner",2,0
"05047","AR","Franklin",6,1
"05049","AR","Fulton",9,1
"05051","AR","Garland",3,0
"05053","AR","Grant",2,0
"05055","AR","Greene",4,1
"05057","AR","Hempstead",6,1
"05059","AR","Hot Spring",6,1
"05061","AR","Howard",6,1
"05063","AR","Independence",7,1
"05065","AR","Izard",9,1
"05067","AR","Jackson",6,1
"05069","AR","Jefferson",3,0
"05071","AR","Johnson",7,1
"05073","AR","Lafayette",8,1
"05075","AR","Lawrence",6,1
"05077","AR","Lee",7,1
"05079","AR","Lincoln",3,0
"05081","AR","Little River",3,0
"05083","AR","Logan",6,1
"05085","AR","Lonoke",2,0
"05087","AR","Madison",2,0
"05089","AR","Marion",9,1
"05091","AR","Miller",3,0
"05093","AR","Mississippi",4,1
"05095","AR","Monroe",7,1
"05097","AR","Montgomery",8,1
"05099","AR","Nevada",7,1
"05101","AR","Newton",9,1
"05103","AR","Ouachita",7,1
"05105","AR","Perry",2,0
"05107","AR","Phillips",6,1
"05109","AR","Pike",9,1
"05111","AR","Poinsett",3,0
"05113","AR","Polk",7,1
"05115","AR","Pope",5,1
"05117","AR","Prairie",8,1
"05119","AR","Pulaski",2,0
"05121","AR","Randolph",7,1
"05123","AR","St. Francis",6,1
"05125","AR","Saline",2,0
"05127","AR","Scott",6,1
"05129","AR","Searcy",9,1
"05131","AR","Sebastian",2,0
"05133","AR","Sevier",6,1
"05135","AR","Sharp",7,1
"05137","AR","Stone",9,1
"05139","AR","Union",7,1
"05141","AR","Van Buren",8,1
"05143","AR","Washington",2,0
"05145","AR","White",4,1
"05147","AR","Woodruff",9,1
"05149","AR","Yell",6,1
"06001","CA","Alameda",1,0
"06003","CA","Alpine",8,1
"06005","CA","Amador",6,1
"06007","CA","Butte",3,0
"06009","CA","Calaveras",6,1
"06011","CA","Colusa",6,1
"06013","CA","Contra Costa",1,0
"06015","CA","Del Norte",7,1
"06017","CA","El Dorado",1,0
"06019","CA","Fresno",2,0
"06021","CA","Glenn",6,1
"06023","CA","Humboldt",5,1
"06025","CA","Imperial",3,0
"06027","CA","Inyo",7,1
"06029","CA","Kern",2,0
"06031","CA","Kings",3,0
"06033","CA","Lake",4,1
"06035","CA","Lassen",7,1
"06037","CA","Los Angeles",1,0
"06039","CA","Madera",3,0
"06041","CA","Marin",1,0
"06043","CA","Mariposa",8,1
"06045","CA","Mendocino",4,1
"06047","CA","Merced",2,0
"06049","CA","Modoc",6,1
"06051","CA","Mono",7,1
"06053","CA","Monterey",2,0
"06055","CA","Napa",3,0
"06057","CA","Nevada",4,1
"06059","CA","Orange",1,0
"06061","CA","Placer",1,0
"06063","CA","Plumas",7,1
"06065","CA","Riverside",1,0
"06067","CA","Sacramento",1,0
"06069","CA","San Benito",1,0
"06071","CA","San Bernardino",1,0
"06073","CA","San Diego",1,0
"06075","CA","San Francisco",1,0
"06077","CA","San Joaquin",2,0
"06079","CA","San Luis Obispo",2,0
"06081","CA","San Mateo",1,0
"06083","CA","Santa Barbara",2,0
"06085","CA","Santa Clara",1,0
"06087","CA","Santa Cruz",2,0
"06089","CA","Shasta",3,0
"06091","CA","Sierra",8,1
"06093","CA","Siskiyou",6,1
"06095","CA","Solano",2,0
"06097","CA","Sonoma",2,0
"06099","CA","Stanislaus",2,0
"06101","CA","Sutter",3,0
"06103","CA","Tehama",4,1
"06105","CA","Trinity",8,1
"06107","CA","Tulare",2,0
"06109","CA","Tuolumne",4,1
"06111","CA","Ventura",2,0
"06113","CA","Yolo",1,0
"06115","CA","Yuba",3,0
"08001","CO","Adams",1,0
"08003","CO","Alamosa",7,1
"08005","CO","Arapahoe",1,0
"08007","CO","Archuleta",7,1
"08009","CO","Baca",9,1
"08011","CO","Bent",7,1
"08013","CO","Boulder",2,0
"08014","CO","Broomfield",1,0
"08015","CO","Chaffee",7,1
"08017","CO","Cheyenne",9,1
"08019","CO","Clear Creek",1,0
"08021","CO","Conejos",9,1
"08023","CO","Costilla",9,1
"08025","CO","Crowley",8,1
"08027","CO","Custer",8,1
"08029","CO","Delta",6,1
"08031","CO","Denver",1,0
"08033","CO","Dolores",9,1
"08035","CO","Douglas",1,0
"08037","CO","Eagle",5,1
"08039","CO","Elbert",1,0
"08041","CO","El Paso",2,0
"08043","CO","Fremont",4,1
"08045","CO","Garfield",5,1
"08047","CO","Gilpin",1,0
"08049","CO","Grand",7,1
"08051","CO","Gunnison",7,1
"08053","CO","Hinsdale",9,1
"08055","CO","Huerfano",6,1
"08057","CO","Jackson",9,1
"08059","CO","Jefferson",1,0
"08061","CO","Kiowa",9,1
"08063","CO","Kit Carson",7,1
"08065","CO","Lake",6,1
"08067","CO","La Plata",4,1
"08069","CO","Larimer",2,0
"08071","CO","Las Animas",7,1
"08073","CO","Lincoln",8,1
"08075","CO","Logan",7,1
"08077","CO","Mesa",3,0
"08079","CO","Mineral",9,1
"08081","CO","Moffat",7,1
"08083","CO","Montezuma",6,1
"08085","CO","Montrose",4,1
"08087","CO","Morgan",6,1
"08089","CO","Otero",6,1
"08091","CO","Ouray",9,1
"08093","CO","Park",1,0
"08095","CO","Phillips",9,1
"08097","CO","Pitkin",7,1
"08099","CO","Prowers",7,1
"08101","CO","Pueblo",3,0
"08103","CO","Rio Blanco",9,1
"08105","CO","Rio Grande",7,1
"08107","CO","Routt",7,1
"08109","CO","Saguache",9,1
"08111","CO","San Juan",9,1
"08113","CO","San Miguel",9,1
"08115","CO","Sedgwick",9,1
"08117","CO","Summit",5,1
"08119","CO","Teller",2,0
"08121","CO","Washington",9,1
"08123","CO","Weld",2,0
"08125","CO","Yuma",7,1
"09001","CT","Fairfield",2,0
"09003","CT","Hartford",1,0
"09005","CT","Litchfield",4,1
"09007","CT","Middlesex",1,0
"09009","CT","New Haven",2,0
"09011","CT","New London",2,0
"09013","CT","Tolland",1,0
"09015","CT","Windham",2,0
"10001","DE","Kent",3,0
"10003","DE","New Castle",1,0
"10005","DE","Sussex",2,0
"11001","DC","District of Columbia",1,0
"12001","FL","Alachua",2,0
"12003","FL","Baker",1,0
"12005","FL","Bay",3,0
"12007","FL","Bradford",6,1
"12009","FL","Brevard",2,0
"12011","FL","Broward",1,0
"12013","FL","Calhoun",6,1
"12015","FL","Charlotte",3,0
"12017","FL","Citrus",3,0
"12019","FL","Clay",1,0
"12021","FL","Collier",2,0
"12023","FL","Columbia",4,1
"12027","FL","DeSoto",6,1
"12029","FL","Dixie",6,1
"12031","FL","Duval",1,0
"12033","FL","Escambia",2,0
"12035","FL","Flagler",2,0
"12037","FL","Franklin",6,1
"12039","FL","Gadsden",2,0
"12041","FL","Gilchrist",2,0
"12043","FL","Glades",6,1
"12045","FL","Gulf",3,0
"12047","FL","Hamilton",6,1
"12049","FL","Hardee",6,1
"12051","FL","Hendry",4,1
"12053","FL","Hernando",1,0
"12055","FL","Highlands",3,0
"12057","FL","Hillsborough",1,0
"12059","FL","Holmes",6,1
"12061","FL","Indian River",3,0
"12063","FL","Jackson",6,1
"12065","FL","Jefferson",2,0
"12067","FL","Lafayette",9,1
"12069","FL","Lake",1,0
"12071","FL","Lee",2,0
"12073","FL","Leon",2,0
"12075","FL","Levy",6,1
"12077","FL","Liberty",8,1
"12079","FL","Madison",6,1
"12081","FL","Manatee",2,0
"12083","FL","Marion",2,0
"12085","FL","Martin",2,0
"12086","FL","Miami-Dade",1,0
"12087","FL","Monroe",4,1
"12089","FL","Nassau",1,0
"12091","FL","Okaloosa",3,0
"12093","FL","Okeechobee",4,1
"12095","FL","Orange",1,0
"12097","FL","Osceola",1,0
"12099","FL","Palm Beach",1,0
"12101","FL","Pasco",1,0
"12103","FL","Pinellas",1,0
"12105","FL","Polk",2,0
"12107","FL","Putnam",4,1
"12109","FL","St. Johns",1,0
"12111","FL","St. Lucie",2,0
"12113","FL","Santa Rosa",2,0
"12115","FL","Sarasota",2,0
"12117","FL","Seminole",1,0
"12119","FL","Sumter",3,0
"12121","FL","Suwannee",6,1
"12123","FL","Taylor",6,1
"12125","FL","Union",6,1
"12127","FL","Volusia",2,0
"12129","FL","Wakulla",2,0
"12131","FL","Walton",3,0
"12133","FL","Washington",6,1
"13001","GA","Appling",7,1
"13003","GA","Atkinson",9,1
"13005","GA","Bacon",7,1
"13007","GA","Baker",3,0
"13009","GA","Baldwin",4,1
"13011","GA","Banks",8,1
"13013","GA","Barrow",1,0
"13015","GA","Bartow",1,0
"13017","GA","Ben Hill",7,1
"13019","GA","Berrien",6,1
"13021","GA","Bibb",3,0
"13023","GA","Bleckley",6,1
"13025","GA","Brantley",3,0
"13027","GA","Brooks",3,0
"13029","GA","Bryan",2,0
"13031","GA","Bulloch",4,1
"13033","GA","Burke",2,0
"13035","GA","Butts",1,0
"13037","GA","Calhoun",8,1
"13039","GA","Camden",4,1
"13043","GA","Candler",7,1
"13045","GA","Carroll",1,0
"13047","GA","Catoosa",2,0
"13049","GA","Charlton",6,1
"13051","GA","Chatham",2,0
"13053","GA","Chattahoochee",2,0
"13055","GA","Chattooga",6,1
"13057","GA","Cherokee",1,0
"13059","GA","Clarke",3,0
"13061","GA","Clay",9,1
"13063","GA","Clayton",1,0
"13065","GA","Clinch",6,1
"13067","GA","Cobb",1,0
"13069","GA","Coffee",7,1
"13071","GA","Colquitt",6,1
"13073","GA","Columbia",2,0
"13075","GA","Cook",6,1
"13077","GA","Coweta",1,0
"13079","GA","Crawford",3,0
"13081","GA","Crisp",6,1
"13083","GA","Dade",2,0
"13085","GA","Dawson",1,0
"13087","GA","Decatur",6,1
"13089","GA","DeKalb",1,0
"13091","GA","Dodge",6,1
"13093","GA","Dooly",6,1
"13095","GA","Dougherty",3,0
"13097","GA","Douglas",1,0
"13099","GA","Early",6,1
"13101","GA","Echols",3,0
"13103","GA","Effingham",2,0
"13105","GA","Elbert",6,1
"13107","GA","Emanuel",7,1
"13109","GA","Evans",6,1
"13111","GA","Fannin",8,1
"13113","GA","Fayette",1,0
"13115","GA","Floyd",3,0
"13117","GA","Forsyth",1,0
"13119","GA","Franklin",8,1
"13121","GA","Fulton",1,0
"13123","GA","Gilmer",6,1
"13125","GA","Glascock",9,1
"13127","GA","Glynn",3,0
"13129","GA","Gordon",4,1
"13131","GA","Grady",6,1
"13133","GA","Greene",6,1
"13135","GA","Gwinnett",1,0
"13137","GA","Habersham",6,1
"13139","GA","Hall",3,0
"13141","GA","Hancock",7,1
"13143","GA","Haralson",1,0
"13145","GA","Harris",2,0
"13147","GA","Hart",6,1
"13149","GA","Heard",1,0
"13151","GA","Henry",1,0
"13153","GA","Houston",3,0
"13155","GA","Irwin",7,1
"13157","GA","Jackson",4,1
"13159","GA","Jasper",1,0
"13161","GA","Jeff Davis",7,1
"13163","GA","Jefferson",6,1
"13165","GA","Jenkins",6,1
"13167","GA","Johnson",7,1
"13169","GA","Jones",3,0
"13171","GA","Lamar",1,0
"13173","GA","Lanier",3,0
"13175","GA","Laurens",5,1
"13177","GA","Lee",3,0
"13179","GA","Liberty",3,0
"13181","GA","Lincoln",2,0
"13183","GA","Long",3,0
"13185","GA","Lowndes",3,0
"13187","GA","Lumpkin",6,1
"13189","GA","McDuffie",2,0
"13191","GA","McIntosh",3,0
"13193","GA","Macon",6,1
"13195","GA","Madison",3,0
"13197","GA","Marion",2,0
"13199","GA","Meriwether",1,0
"13201","GA","Miller",8,1
"13205","GA","Mitchell",6,1
"13207","GA","Monroe",3,0
"13209","GA","Montgomery",9,1
"13211","GA","Morgan",1,0
"13213","GA","Murray",3,0
"13215","GA","Muscogee",2,0
"13217","GA","Newton",1,0
"13219","GA","Oconee",3,0
"13221","GA","Oglethorpe",3,0
"13223","GA","Paulding",1,0
"13225","GA","Peach",3,0
"13227","GA","Pickens",1,0
"13229","GA","Pierce",6,1
"13231","GA","Pike",1,0
"13233","GA","Polk",4,1
"13235","GA","Pulaski",3,0
"13237","GA","Putnam",6,1
"13239","GA","Quitman",9,1
"13241","GA","Rabun",7,1
"13243","GA","Randolph",6,1
"13245","GA","Richmond",2,0
"13247","GA","Rockdale",1,0
"13249","GA","Schley",8,1
"13251","GA","Screven",6,1
"13253","GA","Seminole",6,1
"13255","GA","Spalding",1,0
"13257","GA","Stephens",7,1
"13259","GA","Stewart",8,1
"13261","GA","Sumter",6,1
"13263","GA","Talbot",8,1
"13265","GA","Taliaferro",8,1
"13267","GA","Tattnall",6,1
"13269","GA","Taylor",8,1
"13271","GA","Telfair",7,1
"13273","GA","Terrell",3,0
"13275","GA","Thomas",4,1
"13277","GA","Tift",5,1
"13279","GA","Toombs",7,1
"13281","GA","Towns",9,1
"13283","GA","Treutlen",7,1
"13285","GA","Troup",4,1
"13287","GA","Turner",6,1
"13289","GA","Twiggs",3,0
"13291","GA","Union",9,1
"13293","GA","Upson",6,1
"13295","GA","Walker",2,0
"13297","GA","Walton",1,0
"13299","GA","Ware",5,1
"13301","GA","Warren",8,1
"13303","GA","Washington",7,1
"13305","GA","Wayne",6,1
"13307","GA","Webster",8,1
"13309","GA","Wheeler",9,1
"13311","GA","White",6,1
"13313","GA","Whitfield",3,0
"13315","GA","Wilcox",8,1
"13317","GA","Wilkes",6,1
"13319","GA","Wilkinson",8,1
"13321","GA","Worth",3,0
"15001","HI","Hawaii",5,1
"15003","HI","Honolulu",2,0
"15005","HI","Kalawao",3,0
"15007","HI","Kauai",5,1
"15009","HI","Maui",3,0
"16001","ID","Ada",2,0
"16003","ID","Adams",9,1
"16005","ID","Bannock",3,0
"16007","ID","Bear Lake",9,1
"16009","ID","Benewah",6,1
"16011","ID","Bingham",4,1
"16013","ID","Blaine",7,1
"16015","ID","Boise",2,0
"16017","ID","Bonner",6,1
"16019","ID","Bonneville",3,0
"16021","ID","Boundary",7,1
"16023","ID","Butte",3,0
"16025","ID","Camas",9,1
"16027","ID","Canyon",2,0
"16029","ID","Caribou",6,1
"16031","ID","Cassia",7,1
"16033","ID","Clark",9,1
"16035","ID","Clearwater",6,1
"16037","ID","Custer",8,1
"16039","ID","Elmore",6,1
"16041","ID","Franklin",3,0
"16043","ID","Fremont",6,1
"16045","ID","Gem",2,0
"16047","ID","Gooding",7,1
"16049","ID","Idaho",6,1
"16051","ID","Jefferson",3,0
"16053","ID","Jerome",7,1
"16055","ID","Kootenai",3,0
"16057","ID","Latah",4,1
"16059","ID","Lemhi",7,1
"16061","ID","Lewis",8,1
"16063","ID","Lincoln",9,1
"16065","ID","Madison",4,1
"16067","ID","Minidoka",7,1
"16069","ID","Nez Perce",3,0
"16071","ID","Oneida",8,1
"16073","ID","Owyhee",2,0
"16075","ID","Payette",6,1
"16077","ID","Power",6,1
"16079","ID","Shoshone",6,1
"16081","ID","Teton",9,1
"16083","ID","Twin Falls",5,1
"16085","ID","Valley",8,1
"16087","ID","Washington",6,1
"17001","IL","Adams",5,1
"17003","IL","Alexander",3,0
"17005","IL","Bond",1,0
"17007","IL","Boone",2,0
"17009","IL","Brown",7,1
"17011","IL","Bureau",7,1
"17013","IL","Calhoun",1,0
"17015","IL","Carroll",7,1
"17017","IL","Cass",6,1
"17019","IL","Champaign",3,0
"17021","IL","Christian",6,1
"17023","IL","Clark",6,1
"17025","IL","Clay",7,1
"17027","IL","Clinton",1,0
"17029","IL","Coles",5,1
"17031","IL","Cook",1,0
"17033","IL","Crawford",7,1
"17035","IL","Cumberland",9,1
"17037","IL","DeKalb",1,0
"17039","IL","De Witt",3,0
"17041","IL","Douglas",6,1
"17043","IL","DuPage",1,0
"17045","IL","Edgar",6,1
"17047","IL","Edwards",9,1
"17049","IL","Effingham",7,1
"17051","IL","Fayette",6,1
"17053","IL","Ford",3,0
"17055","IL","Franklin",4,1
"17057","IL","Fulton",6,1
"17059","IL","Gallatin",8,1
"17061","IL","Greene",6,1
"17063","IL","Grundy",1,0
"17065","IL","Hamilton",7,1
"17067","IL","Hancock",7,1
"17069","IL","Hardin",9,1
"17071","IL","Henderson",9,1
"17073","IL","Henry",2,0
"17075","IL","Iroquois",6,1
"17077","IL","Jackson",3,0
"17079","IL","Jasper",7,1
"17081","IL","Jefferson",7,1
