"facility.id","facility.name","address","city","state","county.name","zip.code","hospital.type","hospital.ownership","emergency.services","location","lat","long","query"
"010001","SOUTHEAST HEALTH MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL","HOUSTON",36301,"Acute Care Hospitals","Government - Hospital District or Authority","Yes","1108 ROSS CLARK CIRCLE, DOTHAN, AL, 36301",31.21566695385,-85.361446991439,"census"
"010005","MARSHALL MEDICAL CENTERS","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","MARSHALL",35957,"Acute Care Hospitals","Government - Hospital District or Authority","Yes","2505 U S HIGHWAY 431 NORTH, BOAZ, AL, 35957",34.221221654827,-86.159366335505,"census"
"010006","NORTH ALABAMA MEDICAL CENTER","1701 VETERANS DRIVE","FLORENCE","AL","LAUDERDALE",35630,"Acute Care Hospitals","Proprietary","Yes","1701 VETERANS DRIVE, FLORENCE, AL, 35630",34.803808001178,-87.649945372824,"census"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","COVINGTON",36467,"Acute Care Hospitals","Voluntary non-profit - Private","Yes","702 N MAIN ST, OPP, AL, 36467",31.291590951497,-86.255377693357,"census"
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","AL","CRENSHAW",36049,"Acute Care Hospitals","Proprietary","Yes","101 HOSPITAL CIRCLE, LUVERNE, AL, 36049",31.6937493,-86.2647016,"osm"
"010011","ST. VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE","BIRMINGHAM","AL","JEFFERSON",35235,"Acute Care Hospitals","Voluntary non-profit - Private","Yes","50 MEDICAL PARK EAST DRIVE, BIRMINGHAM, AL, 35235",33.590809113008,-86.668757123223,"census"
"010012","DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","FORT PAYNE","AL","DE KALB",35968,"Acute Care Hospitals","Proprietary","Yes","200 MED CENTER DRIVE, FORT PAYNE, AL, 35968",34.439857255109,-85.755987731413,"census"
"010016","SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","ALABASTER","AL","SHELBY",35007,"Acute Care Hospitals","Voluntary non-profit - Private","Yes","1000 FIRST STREET NORTH, ALABASTER, AL, 35007",33.251351881816,-86.814596673788,"census"
"010018","CALLAHAN EYE HOSPITAL","1720 UNIVERSITY BLVD, SUITE 500","BIRMINGHAM","AL","JEFFERSON",35233,"Acute Care Hospitals","Voluntary non-profit - Private","Yes","1720 UNIVERSITY BLVD, SUITE 500, BIRMINGHAM, AL, 35233",33.503171715537,-86.80242904198,"census"
"010019","HELEN KELLER HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL","COLBERT",35660,"Acute Care Hospitals","Government - Hospital District or Authority","Yes","1300 SOUTH MONTGOMERY AVENUE, SHEFFIELD, AL, 35660",34.745888430565,-87.698972115034,"census"
"010021","DALE MEDICAL CENTER","126 HOSPITAL AVE","OZARK","AL","DALE",36360,"Acute Care Hospitals","Government - Hospital District or Authority","Yes","126 HOSPITAL AVE, OZARK, AL, 36360",31.451773243105,-85.631010619762,"census"
"010022","CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR","CENTRE","AL","CHEROKEE",35960,"Acute Care Hospitals","Voluntary non-profit - Private","Yes","400 NORTHWOOD DR, CENTRE, AL, 35960",34.162721230259,-85.65238166685,"census"
"010023","BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD","MONTGOMERY","AL","MONTGOMERY",36116,"Acute Care Hospitals","Government - Hospital District or Authority","Yes","2105 EAST SOUTH BOULEVARD, MONTGOMERY, AL, 36116",32.327205950032,-86.276086661145,"census"
"010024","JACKSON HOSPITAL & CLINIC INC","1725 PINE STREET","MONTGOMERY","AL","MONTGOMERY",36106,"Acute Care Hospitals","Voluntary non-profit - Private","Yes","1725 PINE STREET, MONTGOMERY, AL, 36106",32.366614568325,-86.285147243062,"census"
"010029","THE EAST ALABAMA HEALTHCARE AUTHORITY","2000 PEPPERELL PARKWAY","OPELIKA","AL","LEE",36801,"Acute Care Hospitals","Government - Hospital District or Authority","Yes","2000 PEPPERELL PARKWAY, OPELIKA, AL, 36801",32.638140716817,-85.404160981085,"census"
