"Notes","County","County Code","Drug/Alcohol Induced","Drug/Alcohol Induced Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Autauga County, AL","01001","All other non-drug and non-alcohol causes","O",656,61464,1067.3,985.6,1149.0
,"Baldwin County, AL","01003","Drug-induced causes","D",57,261608,21.8,16.5,28.2
,"Baldwin County, AL","01003","Alcohol-induced causes","A",33,261608,12.6,8.7,17.7
,"Baldwin County, AL","01003","All other non-drug and non-alcohol causes","O",2718,261608,1039.0,999.9,1078.0
,"Barbour County, AL","01005","All other non-drug and non-alcohol causes","O",301,24358,1235.7,1096.1,1375.3
,"Bibb County, AL","01007","All other non-drug and non-alcohol causes","O",300,22258,1347.8,1195.3,1500.4
,"Blount County, AL","01009","Drug-induced causes","D",14,60163,23.3,12.7,39.0
,"Blount County, AL","01009","All other non-drug and non-alcohol causes","O",723,60163,1201.7,1114.1,1289.3
,"Bullock County, AL","01011","All other non-drug and non-alcohol causes","O",133,9901,1343.3,1115.0,1571.6
,"Butler County, AL","01013","All other non-drug and non-alcohol causes","O",295,18256,1615.9,1431.5,1800.3
,"Calhoun County, AL","01015","Drug-induced causes","D",32,116427,27.5,18.8,38.8
,"Calhoun County, AL","01015","All other non-drug and non-alcohol causes","O",1552,116427,1333.0,1266.7,1399.3
,"Chambers County, AL","01017","All other non-drug and non-alcohol causes","O",457,33813,1351.6,1227.6,1475.5
,"Cherokee County, AL","01019","All other non-drug and non-alcohol causes","O",386,26138,1476.8,1329.5,1624.1
,"Chilton County, AL","01021","Drug-induced causes","D",10,47262,21.2,10.1,38.9
,"Chilton County, AL","01021","Alcohol-induced causes","A",13,47262,27.5,14.6,47.0
,"Chilton County, AL","01021","All other non-drug and non-alcohol causes","O",554,47262,1172.2,1074.6,1269.8
,"Choctaw County, AL","01023","All other non-drug and non-alcohol causes","O",161,12052,1335.9,1129.5,1542.2
,"Clarke County, AL","01025","All other non-drug and non-alcohol causes","O",344,22142,1553.6,1389.4,1717.8
,"Clay County, AL","01027","All other non-drug and non-alcohol causes","O",182,14239,1278.2,1092.5,1463.9
,"Cleburne County, AL","01029","All other non-drug and non-alcohol causes","O",220,15905,1383.2,1200.4,1566.0
