area_data_type,geography_type,geography_id,geography_desc,total_area,mobilebb_3g_area_st_pct,mobilebb_3g_area_iv_pct,mobilebb_4g_area_st_pct,mobilebb_4g_area_iv_pct,mobilebb_5g_spd1_area_st_pct,mobilebb_5g_spd1_area_iv_pct,mobilebb_5g_spd2_area_st_pct,mobilebb_5g_spd2_area_iv_pct
Total,National,99,Nationwide,9754823.5492,0.1216,0.0831,0.6622,0.4932,0.4432,0.3060,0.2451,0.1332
Total,State,01,Alabama,137027.3652,0.0240,0.0102,0.9397,0.7459,0.6257,0.4199,0.3675,0.1831
Total,State,02,Alaska,1846753.4322,0.0732,0.0428,0.0756,0.0456,0.0117,0.0098,0.0045,0.0039
Total,State,04,Arizona,257307.8110,0.2881,0.1966,0.7252,0.5039,0.3973,0.1952,0.2649,0.0950
Total,State,05,Arkansas,131093.3535,0.0249,0.0178,0.8725,0.6092,0.6324,0.4717,0.3058,0.1731
Total,State,06,California,397513.5844,0.0266,0.0175,0.6680,0.5038,0.5265,0.3895,0.3773,0.2298
Total,State,08,Colorado,247128.8995,0.4909,0.3380,0.7737,0.5386,0.3886,0.2458,0.1838,0.0899
Total,State,09,Connecticut,14073.8967,0.0000,0.0000,0.8883,0.7331,0.7882,0.5994,0.5745,0.3180
Total,State,10,Delaware,6623.8343,0.0000,0.0000,0.8056,0.7237,0.7680,0.6489,0.6367,0.4244
Total,State,11,District of Columbia,182.2252,0.0000,0.0000,1.0000,0.9960,1.0000,0.9879,0.9954,0.8329
Total,State,12,Florida,198855.1201,0.0000,0.0000,0.7732,0.6301,0.6610,0.5238,0.4097,0.2370
Total,State,13,Georgia,164549.3782,0.0000,0.0000,0.9433,0.6416,0.6373,0.3954,0.3750,0.1699
Total,State,15,Hawaii,24733.5457,0.0000,0.0000,0.4592,0.3051,0.2887,0.2261,0.1872,0.1149
Total,State,16,Idaho,218603.0679,0.0526,0.0215,0.5386,0.3652,0.3198,0.1393,0.1812,0.0488
Total,State,17,Illinois,152711.1638,0.0946,0.0908,0.9619,0.8248,0.8427,0.6639,0.4919,0.3055
Total,State,18,Indiana,96508.2698,0.0000,0.0000,0.9812,0.8573,0.8642,0.7245,0.5374,0.3682
Total,State,19,Iowa,146531.2007,0.0476,0.0406,0.9816,0.8045,0.7540,0.4715,0.3668,0.1356
Total,State,20,Kansas,199982.7045,0.1593,0.0993,0.9901,0.8398,0.6502,0.4582,0.3209,0.1902
Total,State,21,Kentucky,110364.2335,0.1456,0.1110,0.8907,0.6582,0.5552,0.3860,0.3086,0.1712
Total,State,22,Louisiana,126615.5636,0.0434,0.0236,0.9147,0.7063,0.6553,0.5164,0.3509,0.2303
Total,State,23,Maine,85237.1657,0.0000,0.0000,0.5330,0.2785,0.3342,0.1721,0.1507,0.0369
Total,State,24,Maryland,33044.1746,0.0000,0.0000,0.8238,0.6892,0.7661,0.6029,0.5511,0.2963
Total,State,25,Massachusetts,26577.0751,0.0000,0.0000,0.7547,0.6310,0.6541,0.4925,0.4740,0.2305
Total,State,26,Michigan,235196.6233,0.0144,0.0068,0.5380,0.4183,0.3995,0.3041,0.2373,0.1428
Total,State,27,Minnesota,214233.5598,0.0000,0.0000,0.8715,0.7385,0.7215,0.5605,0.3349,0.2036
Total,State,28,Mississippi,121516.2066,0.9036,0.7634,0.9563,0.7691,0.5250,0.2675,0.2568,0.1162
Total,State,29,Missouri,178012.2410,0.0362,0.0301,0.9411,0.7551,0.7339,0.5688,0.3903,0.2595
Total,State,30,Montana,394488.6457,0.1121,0.0888,0.6643,0.4016,0.3402,0.1896,0.1433,0.0493
Total,State,31,Nebraska,194523.1104,0.6946,0.4675,0.9145,0.6879,0.2103,0.1018,0.0928,0.0391
Total,State,32,Nevada,269469.2908,0.2472,0.1924,0.6334,0.4421,0.3321,0.1955,0.1943,0.0847
Total,State,33,New Hampshire,22947.6331,0.0000,0.0000,0.9188,0.6384,0.4614,0.1845,0.2573,0.0611
Total,State,34,New Jersey,22706.6324,0.0000,0.0000,0.8587,0.7503,0.7902,0.6493,0.6352,0.3527
Total,State,35,New Mexico,274130.7806,0.1519,0.0846,0.8030,0.5794,0.5356,0.3181,0.2455,0.1064
Total,State,36,New York,135054.1715,0.0004,0.0001,0.7554,0.5296,0.5571,0.3370,0.3665,0.1443
Total,State,37,North Carolina,154752.9290,0.0504,0.0303,0.8457,0.5493,0.6466,0.3532,0.4190,0.1762
Total,State,38,North Dakota,178282.1029,0.0421,0.0272,0.9686,0.8171,0.7318,0.5895,0.3111,0.2332
Total,State,39,Ohio,116640.0492,0.0000,0.0000,0.8761,0.7391,0.7871,0.6374,0.5255,0.3249
Total,State,40,Oklahoma,165505.7973,0.4621,0.3767,0.9640,0.7788,0.6921,0.5029,0.3687,0.2248
Total,State,41,Oregon,264577.3335,0.0264,0.0212,0.5562,0.3014,0.2758,0.1527,0.1621,0.0507
Total,State,42,Pennsylvania,118072.4659,0.0151,0.0082,0.8815,0.6698,0.7026,0.5337,0.4800,0.2792
Total,State,44,Rhode Island,3928.5863,0.0000,0.0000,0.7027,0.6430,0.6667,0.5389,0.4941,0.2393
Total,State,45,South Carolina,93576.3397,0.0000,0.0000,0.9267,0.6313,0.6705,0.2770,0.4308,0.1211
Total,State,46,South Dakota,200078.2411,0.0371,0.0211,0.9346,0.7634,0.7081,0.5789,0.3646,0.2959
Total,State,47,Tennessee,113521.8912,0.0054,0.0022,0.8793,0.6524,0.6416,0.4233,0.3930,0.1795
Total,State,48,Texas,610227.1962,0.0475,0.0264,0.8965,0.7074,0.6809,0.5419,0.3457,0.2532
Total,State,49,Utah,202661.2047,0.1583,0.1158,0.7790,0.5974,0.5337,0.3752,0.2988,0.1435
Total,State,50,Vermont,23407.3041,0.0000,0.0000,0.8850,0.5932,0.4069,0.1162,0.2091,0.0323
Total,State,51,Virginia,117639.6546,0.0080,0.0052,0.8400,0.5325,0.5768,0.3220,0.3390,0.1410
Total,State,53,Washington,205089.6454,0.0927,0.0243,0.6187,0.4288,0.4623,0.3184,0.2656,0.1166
Total,State,54,West Virginia,65105.3863,0.0049,0.0028,0.6054,0.3277,0.3971,0.2361,0.1884,0.0812
Total,State,55,Wisconsin,161870.1407,0.1856,0.1074,0.7740,0.5346,0.4974,0.3418,0.2839,0.1522
Total,State,56,Wyoming,246289.7155,0.4479,0.2962,0.7803,0.5549,0.3323,0.1767,0.1046,0.0350
Total,State,60,American Samoa,1475.1817,0.0765,0.0702,0.4727,0.2940,0.0000,0.0000,0.0000,0.0000
Total,State,66,Guam,1300.9617,0.3686,0.3686,0.3691,0.3690,0.0689,0.0466,0.0541,0.0400
Total,State,69,Northern Mariana Islands,4690.1402,0.0550,0.0511,0.0495,0.0422,0.0002,0.0001,0.0001,0.0000
Total,State,72,Puerto Rico,19257.9410,0.5782,0.2557,0.6467,0.6316,0.6327,0.5969,0.6290,0.5903
Total,State,78,Virgin Islands,2577.3809,0.7845,0.7845,0.7797,0.7780,0.1591,0.1445,0.1589,0.1443
Total,County,01001,"Autauga, AL",1579.9875,0.0000,0.0000,0.9907,0.7602,0.7876,0.2216,0.5519,0.0902
Total,County,01003,"Baldwin, AL",5165.7165,0.0000,0.0000,0.9695,0.7601,0.6298,0.4531,0.4256,0.1922
Total,County,01005,"Barbour, AL",2407.0583,0.0000,0.0000,0.9300,0.6675,0.3100,0.1015,0.1272,0.0367
Total,County,01007,"Bibb, AL",1630.2311,0.0000,0.0000,0.9267,0.6607,0.4228,0.1363,0.1936,0.0442
Total,County,01009,"Blount, AL",1720.1851,0.0000,0.0000,0.9965,0.9572,0.9636,0.8878,0.5200,0.3613
Total,County,01011,"Bullock, AL",1655.6162,0.0000,0.0000,0.9665,0.6176,0.1566,0.0527,0.0713,0.0178
Total,County,01013,"Butler, AL",2025.5440,0.0000,0.0000,0.8140,0.5819,0.5652,0.4116,0.2304,0.1650
Total,County,01015,"Calhoun, AL",1635.2871,0.0000,0.0000,0.9699,0.8246,0.9232,0.7410,0.7723,0.5269
Total,County,01017,"Chambers, AL",1613.5886,0.0000,0.0000,0.9611,0.7517,0.4646,0.1217,0.2550,0.0514
Total,County,01019,"Cherokee, AL",1613.5886,0.0000,0.0000,0.9811,0.7241,0.5687,0.4034,0.3001,0.1774
Total,County,01021,"Chilton, AL",1835.5241,0.0000,0.0000,0.9730,0.8154,0.4718,0.1075,0.2343,0.0332
Total,County,01023,"Choctaw, AL",2344.0695,0.0515,0.0027,1.0000,0.9997,0.2371,0.0444,0.0918,0.0127
Total,County,01025,"Clarke, AL",3203.0560,0.0000,0.0000,0.7493,0.4840,0.3441,0.2508,0.1428,0.0805
Total,County,01027,"Clay, AL",1612.2192,0.0000,0.0000,0.8888,0.5156,0.4767,0.2557,0.1823,0.0824
Total,County,01029,"Cleburne, AL",1506.1494,0.0000,0.0000,0.8228,0.5391,0.4090,0.2483,0.1791,0.0778
Total,County,01031,"Coffee, AL",1788.4405,0.0000,0.0000,0.9670,0.7245,0.6821,0.4948,0.2245,0.1245
Total,County,01033,"Colbert, AL",1626.3338,0.0328,0.0049,0.9580,0.7534,0.7418,0.5602,0.4646,0.3089
Total,County,01035,"Conecuh, AL",2205.9785,0.0000,0.0000,0.8921,0.6482,0.4847,0.3452,0.1665,0.0840
Total,County,01037,"Coosa, AL",1757.8941,0.0000,0.0000,0.9334,0.6758,0.3358,0.0785,0.1418,0.0227
Total,County,01039,"Covington, AL",2721.2651,0.0000,0.0000,0.8997,0.5988,0.5099,0.3469,0.2200,0.1228
Total,County,01041,"Crenshaw, AL",1600.0007,0.0000,0.0000,0.8618,0.5663,0.5131,0.3545,0.2413,0.1545
Total,County,01043,"Cullman, AL",1989.3096,0.0000,0.0000,0.9980,0.9661,0.9842,0.9190,0.5061,0.3479
Total,County,01045,"Dale, AL",1488.3482,0.0000,0.0000,0.9706,0.7598,0.7441,0.5526,0.3597,0.1659
Total,County,01047,"Dallas, AL",2578.1183,0.0000,0.0000,1.0000,0.9998,0.3321,0.0494,0.1530,0.0195
Total,County,01049,"DeKalb, AL",2090.0075,0.0000,0.0000,0.9829,0.8239,0.8557,0.6446,0.4903,0.2620
Total,County,01051,"Elmore, AL",1733.5623,0.0000,0.0000,0.9951,0.8646,0.8775,0.2774,0.6521,0.1145
Total,County,01053,"Escambia, AL",2455.8272,0.0000,0.0000,0.9472,0.7963,0.7104,0.5787,0.2917,0.1744
Total,County,01055,"Etowah, AL",1463.9111,0.0000,0.0000,0.9796,0.8642,0.8690,0.7328,0.6192,0.4650
Total,County,01057,"Fayette, AL",1631.0738,0.0000,0.0000,0.8894,0.5727,0.6307,0.3941,0.2446,0.1276
Total,County,01059,"Franklin, AL",1681.7387,0.0269,0.0058,0.9595,0.8167,0.8259,0.6802,0.3695,0.2202
Total,County,01061,"Geneva, AL",1523.3186,0.0000,0.0000,0.9961,0.8305,0.6666,0.4212,0.2695,0.1291
Total,County,01063,"Greene, AL",1695.8533,0.0000,0.0000,0.9677,0.7273,0.6582,0.5029,0.2512,0.1530
Total,County,01065,"Hale, AL",1693.9573,0.0000,0.0000,0.9420,0.6992,0.6134,0.3983,0.2337,0.1106
Total,County,01067,"Henry, AL",1513.9440,0.0000,0.0000,0.9151,0.5558,0.4563,0.1800,0.2323,0.0444
Total,County,01069,"Houston, AL",1544.5958,0.0000,0.0000,0.9945,0.8313,0.8489,0.6690,0.4454,0.2544
Total,County,01071,"Jackson, AL",3023.2534,0.0000,0.0000,0.7499,0.5193,0.5289,0.3531,0.2619,0.1333
Total,County,01073,"Jefferson, AL",2947.9407,0.0000,0.0000,0.9835,0.8757,0.9439,0.7651,0.8258,0.4542
Total,County,01075,"Lamar, AL",1561.6596,0.1136,0.0320,0.9288,0.6715,0.5919,0.3935,0.1853,0.0902
Total,County,01077,"Lauderdale, AL",1885.3464,0.0332,0.0153,0.9793,0.8874,0.8926,0.7748,0.6378,0.4561
Total,County,01079,"Lawrence, AL",1881.9758,0.0000,0.0000,0.8570,0.7235,0.7599,0.6199,0.4426,0.2843
Total,County,01081,"Lee, AL",1646.5576,0.0000,0.0000,0.9872,0.8202,0.8086,0.2861,0.5820,0.1508
Total,County,01083,"Limestone, AL",1604.2140,0.0000,0.0000,0.9808,0.8859,0.9552,0.8462,0.8573,0.5778
Total,County,01085,"Lowndes, AL",1892.7197,0.0000,0.0000,0.8834,0.5084,0.2102,0.0594,0.0927,0.0307
Total,County,01087,"Macon, AL",1628.2298,0.0000,0.0000,0.9638,0.6709,0.3471,0.0596,0.1698,0.0238
Total,County,01089,"Madison, AL",2162.6869,0.0000,0.0000,0.9707,0.8610,0.9300,0.8102,0.8365,0.6401
Total,County,01091,"Marengo, AL",2522.1867,0.0000,0.0000,0.9999,0.9992,0.4003,0.1171,0.2006,0.0502
Total,County,01093,"Marion, AL",1929.1647,0.0173,0.0028,0.9658,0.8325,0.7738,0.6511,0.3605,0.2286
Total,County,01095,"Marshall, AL",1657.7229,0.0000,0.0000,0.9695,0.8252,0.9164,0.7040,0.7263,0.3322
Total,County,01097,"Mobile, AL",4161.8977,0.3446,0.1862,0.9758,0.7858,0.6906,0.5633,0.5172,0.2667
Total,County,01099,"Monroe, AL",2663.0163,0.0000,0.0000,0.7264,0.4442,0.3510,0.2565,0.1247,0.0801
Total,County,01101,"Montgomery, AL",2104.1220,0.0000,0.0000,0.9940,0.7793,0.8729,0.3426,0.6221,0.1909
Total,County,01103,"Morgan, AL",1582.1995,0.0000,0.0000,0.9847,0.8747,0.9111,0.7797,0.5835,0.4007
Total,County,01105,"Perry, AL",1876.4985,0.0000,0.0000,0.9999,0.9997,0.1617,0.0274,0.0510,0.0063
Total,County,01107,"Pickens, AL",2289.1912,0.1653,0.0577,0.9241,0.6559,0.5350,0.3432,0.2269,0.1185
Total,County,01109,"Pike, AL",1774.3260,0.0000,0.0000,0.9542,0.6463,0.5963,0.4638,0.2432,0.1799
Total,County,01111,"Randolph, AL",1564.5036,0.0000,0.0000,0.9311,0.6541,0.5110,0.3439,0.2090,0.1120
Total,County,01113,"Russell, AL",1731.8770,0.0000,0.0000,0.9954,0.6941,0.8305,0.2616,0.5695,0.1238
Total,County,01115,"St. Clair, AL",1730.9290,0.0000,0.0000,0.9895,0.7992,0.9441,0.6195,0.7944,0.2849
Total,County,01117,"Shelby, AL",2126.6632,0.0000,0.0000,0.9932,0.8808,0.9520,0.7720,0.7961,0.3802
