area_data_type,geography_type,geography_id,geography_desc,total_area,mobilebb_3g_area_st_pct,mobilebb_3g_area_iv_pct,mobilebb_4g_area_st_pct,mobilebb_4g_area_iv_pct,mobilebb_5g_spd1_area_st_pct,mobilebb_5g_spd1_area_iv_pct,mobilebb_5g_spd2_area_st_pct,mobilebb_5g_spd2_area_iv_pct
Total,National,99,National,9754823.549152500,0.073384326,0.047609737,0.678053321,0.439774230,0.443143582,0.205003904,0.309870464,0.135821713
Total,State,01,Alabama,137027.365247500,0.000000000,0.000000000,0.947517225,0.634277114,0.637224297,0.276628619,0.453676408,0.195461153
Total,State,02,Alaska,1846753.432160000,0.068898535,0.043770727,0.071517198,0.032157110,0.014596973,0.005327787,0.008674750,0.003692719
Total,State,04,Arizona,257307.810987500,0.233404085,0.155379757,0.739683930,0.401229729,0.358876133,0.141471213,0.271340646,0.090235241
Total,State,05,Arkansas,131093.353527500,0.000000000,0.000000000,0.875226484,0.487465922,0.638096623,0.271264625,0.409863029,0.183848680
Total,State,06,California,397513.584422500,0.007405880,0.005522414,0.683445980,0.432872633,0.523068884,0.264427476,0.417526941,0.175067232
Total,State,08,Colorado,247128.899517500,0.435069532,0.276182252,0.790198872,0.412737050,0.326391976,0.103702659,0.215915751,0.078344832
Total,State,09,Connecticut,14073.896655000,0.000000000,0.000000000,0.880035026,0.642776955,0.868052749,0.540617001,0.728037481,0.410166599
Total,State,10,Delaware,6623.834262500,0.000000000,0.000000000,0.806138189,0.711600541,0.814725292,0.555792319,0.717643317,0.463910312
Total,State,11,District of Columbia,182.225225000,0.000000000,0.000000000,1.000000000,0.993641618,1.000000000,0.978612717,0.995375723,0.936994220
Total,State,12,Florida,198855.120100000,0.000000000,0.000000000,0.768959362,0.542277581,0.716022734,0.443235269,0.545520372,0.325391444
Total,State,13,Georgia,164549.378175000,0.000000000,0.000000000,0.961597501,0.594185086,0.691458145,0.284181182,0.494153080,0.210215787
Total,State,15,Hawaii,24733.545655000,0.000000000,0.000000000,0.461833622,0.240854464,0.338842658,0.147061078,0.242741063,0.085523010
Total,State,16,Idaho,218603.067865000,0.029641576,0.013919499,0.553943842,0.313631068,0.313858016,0.088243882,0.209642462,0.050168115
Total,State,17,Illinois,152711.163832500,0.000000000,0.000000000,0.968273577,0.769794613,0.813625456,0.450721858,0.581664656,0.300101186
Total,State,18,Indiana,96508.269812500,0.000000000,0.000000000,0.985240525,0.797862970,0.827013015,0.460383639,0.637989577,0.364358100
Total,State,19,Iowa,146531.200725000,0.000000000,0.000000000,0.985712335,0.786710085,0.801731686,0.495828571,0.417949437,0.156385816
Total,State,20,Kansas,199982.704512500,0.086667703,0.049190845,0.986864955,0.788426117,0.628246826,0.303907910,0.354346526,0.130521941
Total,State,21,Kentucky,110364.233525000,0.000000000,0.000000000,0.896871451,0.595019899,0.514147189,0.194939729,0.354858414,0.140887790
Total,State,22,Louisiana,126615.563620000,0.000000000,0.000000000,0.946398504,0.662989079,0.687779105,0.369000280,0.480515883,0.253659563
Total,State,23,Maine,85237.165650000,0.000000000,0.000000000,0.604331331,0.294280912,0.436529003,0.209811918,0.228607795,0.071193248
Total,State,24,Maryland,33044.174572500,0.000000000,0.000000000,0.822324864,0.664894346,0.870521783,0.592073009,0.744534017,0.461778760
Total,State,25,Massachusetts,26577.075070000,0.000000000,0.000000000,0.750760951,0.558101745,0.768025016,0.458682763,0.638064966,0.349779641
Total,State,26,Michigan,235196.623252500,0.000000000,0.000000000,0.553825815,0.391588148,0.429610502,0.225278192,0.338740211,0.181256457
Total,State,27,Minnesota,214233.559767500,0.000000000,0.000000000,0.906607522,0.650079970,0.638030089,0.241944088,0.459469319,0.192960348
Total,State,28,Mississippi,121516.206630000,0.000000000,0.000000000,0.957553630,0.692660821,0.657565072,0.249188658,0.407799980,0.147099972
Total,State,29,Missouri,178012.240997500,0.000000000,0.000000000,0.951958665,0.685919492,0.683735473,0.353129551,0.421433571,0.203640467
Total,State,30,Montana,394488.645687500,0.109197568,0.086797813,0.692345485,0.355340138,0.345550742,0.100283431,0.224915792,0.064167629
Total,State,31,Nebraska,194523.110372500,0.488185480,0.305057038,0.922878154,0.571231778,0.353072663,0.132673400,0.145101700,0.042651616
Total,State,32,Nevada,269469.290772500,0.242185255,0.184738689,0.652526138,0.366904939,0.339296080,0.105473497,0.239074954,0.066372901
Total,State,33,New Hampshire,22947.633117500,0.000000000,0.000000000,0.866386057,0.544921256,0.528855820,0.190242313,0.336130249,0.097498841
Total,State,34,New Jersey,22706.632357500,0.000000000,0.000000000,0.862272755,0.733549503,0.890319199,0.671096762,0.788232183,0.552806268
Total,State,35,New Mexico,274130.780560000,0.118512846,0.070534880,0.836462855,0.521693138,0.466141383,0.117292110,0.299332034,0.077335191
Total,State,36,New York,135054.171525000,0.000302612,0.000100611,0.780277186,0.493199030,0.648546605,0.334268467,0.496484866,0.246849482
Total,State,37,North Carolina,154752.929012500,0.000000000,0.000000000,0.889884528,0.550347982,0.689966206,0.390932388,0.482504926,0.236493022
Total,State,38,North Dakota,178282.102862500,0.022510805,0.015612990,0.976504891,0.714112013,0.602477896,0.196403683,0.419300884,0.159209248
Total,State,39,Ohio,116640.049207500,0.000000000,0.000000000,0.892306053,0.744764758,0.845327272,0.574707568,0.715955465,0.459115493
Total,State,40,Oklahoma,165505.797275000,0.000000000,0.000000000,0.959854767,0.770317641,0.694884393,0.373801447,0.456702540,0.195874675
Total,State,41,Oregon,264577.333475000,0.003363285,0.001562208,0.657843485,0.316602238,0.310225214,0.159056146,0.208870823,0.082048148
Total,State,42,Pennsylvania,118072.465875000,0.013282484,0.007168027,0.902926089,0.634653642,0.732785584,0.441517463,0.618288951,0.356792007
Total,State,44,Rhode Island,3928.586252500,0.000000000,0.000000000,0.702040379,0.574979221,0.889052739,0.635439848,0.764082902,0.501246749
Total,State,45,South Carolina,93576.339675000,0.000000000,0.000000000,0.943433627,0.653493398,0.751815081,0.338084625,0.561065523,0.251361452
Total,State,46,South Dakota,200078.241090000,0.012452803,0.005542535,0.948082961,0.663103082,0.598617420,0.243399288,0.414811960,0.178912046
Total,State,47,Tennessee,113521.891210000,0.000000000,0.000000000,0.894621934,0.550631502,0.641396690,0.285300460,0.469597717,0.202091769
Total,State,48,Texas,610227.196215000,0.004437335,0.002910583,0.903309005,0.573840453,0.614977331,0.276739057,0.465081640,0.218330801
Total,State,49,Utah,202661.204655000,0.082432352,0.046858287,0.823755440,0.508009297,0.493321774,0.175751840,0.379197864,0.126147731
Total,State,50,Vermont,23407.304147500,0.000000000,0.000000000,0.848202031,0.479446322,0.421419025,0.100345149,0.253461613,0.045841340
Total,State,51,Virginia,117639.654632500,0.000000000,0.000000000,0.863467584,0.478403819,0.597966049,0.259925092,0.417890282,0.172930614
Total,State,53,Washington,205089.645442500,0.038319649,0.016293208,0.681768340,0.424952583,0.512920703,0.273472589,0.368160040,0.165208834
Total,State,54,West Virginia,65105.386255000,0.000000000,0.000000000,0.659466036,0.318749252,0.409141652,0.189095833,0.265404615,0.105527638
Total,State,55,Wisconsin,161870.140705000,0.000000000,0.000000000,0.835541017,0.552906971,0.565290216,0.356438311,0.374451604,0.218354402
Total,State,56,Wyoming,246289.715490000,0.439621814,0.284618760,0.782077502,0.516353521,0.316211704,0.076312584,0.149419300,0.034649125
Total,State,60,American Samoa,1475.181662500,0.076544091,0.070189218,0.531738665,0.379435916,0.228561228,0.183434488,0.171367369,0.107033202
Total,State,66,Guam,1300.961707500,0.355355842,0.352279168,0.367581572,0.367338677,0.188324832,0.155776860,0.164602057,0.137073921
Total,State,69,Commonwealth of the Northern Mariana Islands,4690.140227500,0.044489860,0.042086824,0.044534777,0.042580906,0.019403957,0.017607294,0.018123835,0.016282256
Total,State,72,Puerto Rico,19257.940975000,0.578209265,0.255691079,0.637619647,0.527998687,0.598331784,0.508029317,0.384548488,0.110928185
Total,State,78,United States Virgin Islands,2577.380942500,0.784543708,0.784543708,0.777350934,0.775184928,0.153949896,0.123871020,0.013404716,0.007111038
Total,County,01001,"Autauga County, AL",1579.987500000,0.000000000,0.000000000,0.995466667,0.656600000,0.858466667,0.301066667,0.609466667,0.180400000
Total,County,01003,"Baldwin County, AL",5165.716465000,0.000000000,0.000000000,0.938175441,0.684739611,0.767546185,0.444374210,0.614962685,0.327474410
Total,County,01005,"Barbour County, AL",2407.058290000,0.000000000,0.000000000,0.952826886,0.566865045,0.398345878,0.076973569,0.217311395,0.033695081
Total,County,01007,"Bibb County, AL",1630.231102500,0.000000000,0.000000000,0.972862958,0.539897913,0.540673257,0.090327583,0.287652646,0.037474963
Total,County,01009,"Blount County, AL",1720.185057500,0.000000000,0.000000000,0.999020268,0.868103607,0.944094054,0.603637254,0.667013655,0.376829343
Total,County,01011,"Bullock County, AL",1655.616235000,0.000000000,0.000000000,0.984221911,0.468634686,0.132650464,0.019340883,0.068074819,0.008906986
Total,County,01013,"Butler County, AL",2025.543975000,0.000000000,0.000000000,0.825221009,0.467446698,0.528549142,0.191263651,0.369214769,0.143473739
Total,County,01015,"Calhoun County, AL",1635.287062500,0.000000000,0.000000000,0.980032206,0.724959742,0.922834138,0.556199678,0.780869565,0.457777778
Total,County,01017,"Chambers County, AL",1613.588567500,0.000000000,0.000000000,0.955219009,0.534630198,0.430315295,0.090280044,0.236960637,0.044193485
Total,County,01019,"Cherokee County, AL",1613.588567500,0.000000000,0.000000000,0.997323585,0.630393629,0.672432926,0.229323063,0.457275279,0.165284940
Total,County,01021,"Chilton County, AL",1835.524145000,0.000000000,0.000000000,0.978824745,0.666073683,0.525823482,0.093481005,0.287673591,0.035865947
Total,County,01023,"Choctaw County, AL",2344.069455000,0.000000000,0.000000000,0.999955064,0.999011414,0.296441089,0.044396513,0.140289386,0.016626224
Total,County,01025,"Clarke County, AL",3203.055992500,0.000000000,0.000000000,0.721299615,0.279752705,0.332566017,0.085468118,0.210365352,0.059193002
Total,County,01027,"Clay County, AL",1612.219245000,0.000000000,0.000000000,0.930288776,0.339082713,0.464589050,0.108846204,0.258787404,0.079249967
Total,County,01029,"Cleburne County, AL",1506.149417500,0.000000000,0.000000000,0.865305266,0.410448283,0.452199455,0.122595986,0.290999371,0.077068326
Total,County,01031,"Coffee County, AL",1788.440517500,0.000000000,0.000000000,0.984039107,0.576712409,0.557865599,0.201307497,0.327227752,0.135049178
Total,County,01033,"Colbert County, AL",1626.333800000,0.000000000,0.000000000,0.961658031,0.573445596,0.715867876,0.290608808,0.507512953,0.183419689
Total,County,01035,"Conecuh County, AL",2205.978547500,0.000000000,0.000000000,0.890178102,0.437664136,0.389199255,0.085852075,0.225755622,0.058301103
Total,County,01037,"Coosa County, AL",1757.894092500,0.000000000,0.000000000,0.956318533,0.463059500,0.361615435,0.041045000,0.157049554,0.013661693
