area_data_type,geography_type,geography_id,geography_desc,total_area,mobilebb_3g_area_st_pct,mobilebb_3g_area_iv_pct,mobilebb_4g_area_st_pct,mobilebb_4g_area_iv_pct,mobilebb_5g_spd1_area_st_pct,mobilebb_5g_spd1_area_iv_pct,mobilebb_5g_spd2_area_st_pct,mobilebb_5g_spd2_area_iv_pct
Total,National,99,National,9754823.549152500,0.061411837,0.042771589,0.692190365,0.457287665,0.479698097,0.248038996,0.370686857,0.169554627
Total,State,01,Alabama,137027.365247500,0.000000000,0.000000000,0.946387240,0.636514790,0.619220649,0.301339915,0.453409670,0.225019083
Total,State,02,Alaska,1846753.432160000,0.081332110,0.053744543,0.099481549,0.046647880,0.016834803,0.006154019,0.008646289,0.003225704
Total,State,04,Arizona,257307.810987500,0.070936195,0.047557019,0.725503978,0.338256888,0.390342290,0.173772472,0.311632277,0.117985603
Total,State,05,Arkansas,131093.353527500,0.000000000,0.000000000,0.909322680,0.522769767,0.652988549,0.312045073,0.464339003,0.220164925
Total,State,06,California,397513.584422500,0.005523474,0.004134722,0.709679898,0.467043448,0.541369350,0.308785914,0.455683031,0.209598152
Total,State,08,Colorado,247128.899517500,0.341882695,0.253793509,0.759412219,0.482783283,0.426032285,0.163101366,0.321540684,0.110949761
Total,State,09,Connecticut,14073.896655000,0.000000000,0.000000000,0.879309054,0.656054006,0.889023605,0.597908902,0.761469606,0.465018636
Total,State,10,Delaware,6623.834262500,0.000000000,0.000000000,0.906639103,0.761024092,0.881863719,0.595960881,0.784908961,0.482483899
Total,State,11,District of Columbia,182.225225000,0.000000000,0.000000000,1.000000000,0.990173410,0.997687861,0.987283237,0.994797688,0.958959538
Total,State,12,Florida,198855.120100000,0.000000000,0.000000000,0.919145814,0.604826578,0.741885077,0.464667246,0.569343920,0.350599614
Total,State,13,Georgia,164549.378175000,0.000000000,0.000000000,0.968865503,0.600933305,0.691791011,0.316469187,0.514442545,0.237733566
Total,State,15,Hawaii,24733.545655000,0.000000000,0.000000000,0.476841245,0.260252796,0.341138092,0.167076920,0.258166038,0.111356222
Total,State,16,Idaho,218603.067865000,0.029218035,0.013846741,0.551637257,0.344483517,0.368333332,0.168366290,0.302114041,0.106709095
