Year,Month,FIPS,State,County,State_Name,County_Name,Housing_Units,Tier_1,Tier_2,Tier_3,Tier_4
2013,12,01001,01,001,Alabama,Autauga County,22820,4,4,3,3
2013,12,01003,01,003,Alabama,Baldwin County,106739,3,3,3,2
2013,12,01005,01,005,Alabama,Barbour County,11912,2,2,2,1
2013,12,01007,01,007,Alabama,Bibb County,9048,2,2,2,1
2013,12,01009,01,009,Alabama,Blount County,24020,3,3,2,1
2013,12,01011,01,011,Alabama,Bullock County,4515,2,2,2,1
2013,12,01013,01,013,Alabama,Butler County,10004,3,2,2,1
2013,12,01015,01,015,Alabama,Calhoun County,53359,3,3,3,2
2013,12,01017,01,017,Alabama,Chambers County,16964,3,3,2,2
2013,12,01019,01,019,Alabama,Cherokee County,16383,2,2,2,1
2013,12,01021,01,021,Alabama,Chilton County,19415,2,2,2,1
2013,12,01023,01,023,Alabama,Choctaw County,7284,2,2,1,1
2013,12,01025,01,025,Alabama,Clarke County,12673,2,2,2,1
2013,12,01027,01,027,Alabama,Clay County,6784,3,2,1,1
2013,12,01029,01,029,Alabama,Cleburne County,6761,2,2,1,1
2013,12,01031,01,031,Alabama,Coffee County,22886,3,3,3,2
2013,12,01033,01,033,Alabama,Colbert County,26089,3,3,3,2
2013,12,01035,01,035,Alabama,Conecuh County,7117,2,2,1,1
2013,12,01037,01,037,Alabama,Coosa County,6518,2,1,1,1
2013,12,01039,01,039,Alabama,Covington County,18881,3,3,2,1
2013,12,01041,01,041,Alabama,Crenshaw County,6758,3,2,2,1
2013,12,01043,01,043,Alabama,Cullman County,37220,3,3,2,2
2013,12,01045,01,045,Alabama,Dale County,22958,3,3,3,2
2013,12,01047,01,047,Alabama,Dallas County,20300,2,2,2,2
2013,12,01049,01,049,Alabama,DeKalb County,30984,3,3,2,1
2013,12,01051,01,051,Alabama,Elmore County,33228,4,4,3,2
2013,12,01053,01,053,Alabama,Escambia County,16513,3,3,2,1
2013,12,01055,01,055,Alabama,Etowah County,47579,3,3,3,2
2013,12,01057,01,057,Alabama,Fayette County,8445,2,2,1,1
2013,12,01059,01,059,Alabama,Franklin County,13921,2,2,2,1
2013,12,01061,01,061,Alabama,Geneva County,12745,3,3,2,1
2013,12,01063,01,063,Alabama,Greene County,5029,1,1,1,1
2013,12,01065,01,065,Alabama,Hale County,7683,2,2,1,1
2013,12,01067,01,067,Alabama,Henry County,9023,3,2,2,1
2013,12,01069,01,069,Alabama,Houston County,46279,3,3,3,2
2013,12,01071,01,071,Alabama,Jackson County,24812,3,3,2,1
2013,12,01073,01,073,Alabama,Jefferson County,303004,3,3,3,2
2013,12,01075,01,075,Alabama,Lamar County,7365,3,2,2,1
2013,12,01077,01,077,Alabama,Lauderdale County,44285,3,3,3,2
2013,12,01079,01,079,Alabama,Lawrence County,15147,2,2,2,2
2013,12,01081,01,081,Alabama,Lee County,65347,3,3,3,2
2013,12,01083,01,083,Alabama,Limestone County,35392,4,3,3,3
2013,12,01085,01,085,Alabama,Lowndes County,5158,2,2,1,1
2013,12,01087,01,087,Alabama,Macon County,10275,2,2,2,1
2013,12,01089,01,089,Alabama,Madison County,152490,4,4,4,3
2013,12,01091,01,091,Alabama,Marengo County,10284,2,2,2,1
2013,12,01093,01,093,Alabama,Marion County,14621,3,2,1,1
2013,12,01095,01,095,Alabama,Marshall County,40361,3,3,3,2
2013,12,01097,01,097,Alabama,Mobile County,181284,3,3,3,2
2013,12,01099,01,099,Alabama,Monroe County,11353,2,2,2,1
2013,12,01101,01,101,Alabama,Montgomery County,103112,3,3,3,3
2013,12,01103,01,103,Alabama,Morgan County,51535,3,3,3,2
2013,12,01105,01,105,Alabama,Perry County,4733,1,1,1,1
2013,12,01107,01,107,Alabama,Pickens County,9515,2,2,2,1
2013,12,01109,01,109,Alabama,Pike County,15882,3,3,2,2
2013,12,01111,01,111,Alabama,Randolph County,12031,2,2,2,1
2013,12,01113,01,113,Alabama,Russell County,26651,3,3,2,1
2013,12,01117,01,117,Alabama,Shelby County,83098,4,4,4,3
2013,12,01115,01,115,Alabama,St. Clair County,35880,3,3,3,1
2013,12,01119,01,119,Alabama,Sumter County,6805,2,2,2,1
2013,12,01121,01,121,Alabama,Talladega County,37463,3,3,2,2
2013,12,01123,01,123,Alabama,Tallapoosa County,22166,3,3,3,2
2013,12,01125,01,125,Alabama,Tuscaloosa County,86126,3,3,3,3
2013,12,01127,01,127,Alabama,Walker County,30836,2,2,2,2
2013,12,01129,01,129,Alabama,Washington County,8454,2,2,1,1
2013,12,01131,01,131,Alabama,Wilcox County,5687,2,2,2,1
2013,12,01133,01,133,Alabama,Winston County,13518,2,2,1,1
2013,12,02013,02,013,Alaska,Aleutians East Borough,751,5,5,0,0
2013,12,02016,02,016,Alaska,Aleutians West Census Area,1941,2,1,1,1
2013,12,02020,02,020,Alaska,Anchorage Municipality,114488,4,4,4,3
2013,12,02050,02,050,Alaska,Bethel Census Area,5971,2,2,2,1
2013,12,02060,02,060,Alaska,Bristol Bay Borough,968,2,2,1,1
2013,12,02068,02,068,Alaska,Denali Borough,1772,2,2,2,1
2013,12,02070,02,070,Alaska,Dillingham Census Area,2431,2,2,1,1
2013,12,02090,02,090,Alaska,Fairbanks North Star Borough,43389,4,3,3,2
2013,12,02100,02,100,Alaska,Haines Borough,1643,2,2,1,0
2013,12,02105,02,105,Alaska,Hoonah-Angoon Census Area,1751,2,1,1,1
2013,12,02110,02,110,Alaska,Juneau City and Borough,13197,4,4,4,3
2013,12,02122,02,122,Alaska,Kenai Peninsula Borough,30844,3,2,2,1
2013,12,02130,02,130,Alaska,Ketchikan Gateway Borough,6268,4,3,3,2
2013,12,02150,02,150,Alaska,Kodiak Island Borough,5349,4,4,3,3
2013,12,02158,02,158,Alaska,Kusilvak Census Area,2224,0,0,0,0
2013,12,02164,02,164,Alaska,Lake and Peninsula Borough,1513,1,1,1,0
2013,12,02170,02,170,Alaska,Matanuska-Susitna Borough,41538,4,4,3,2
2013,12,02180,02,180,Alaska,Nome Census Area,4061,2,2,1,0
2013,12,02185,02,185,Alaska,North Slope Borough,2580,3,2,2,1
2013,12,02188,02,188,Alaska,Northwest Arctic Borough,2716,2,1,1,1
2013,12,02195,02,195,Alaska,Petersburg Borough,1661,4,3,3,3
