"Variable Name","Variable Label","Domain","Data Source","Topic","Data Type","X2023","X2022","X2021","X2020","X2019","X2018","X2017","X2016","X2015","X2014","X2013","X2011","X2010","X2009"
"FCC_res_connections_200_kbps","Residential Fixed Broadband Connections with a Downstream Speed of at least 200 Kbps ","Physical Infrastructure","Federal Communications Commission Form 477","Broadband Adoption","num","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"FCC_res_connections_768_kbps","Residential Fixed Broadband Connections with a Downstream Speed of at least 768 Kbps ","Physical Infrastructure","Federal Communications Commission Form 477","Broadband Adoption","num","","","","","","","","","","","X","X","X","X"
"FCC_res_connections_3_mbps","Residential Fixed Broadband Connections with a Downstream Speed of at least 3 Mbps ","Physical Infrastructure","Federal Communications Commission Form 477","Broadband Adoption","num","","","","","","","","","","","X","X","X","X"
"FCC_res_connections_10_mbps","Residential Fixed Broadband Connections with a Downstream Speed of at least 10 Mbps","Physical Infrastructure","Federal Communications Commission Form 477","Broadband Adoption","num","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"FCC_res_connections_25_mbps","Residential Fixed Broadband Connections with a Downstream Speed of at least 25 Mbps","Physical Infrastructure","Federal Communications Commission Form 477","Broadband Adoption","num","X","X","X","X","X","X","X","X","X","X","","","",""
"FCC_res_connections_100_mbps","Residential Fixed Broadband Connections with a Downstream Speed of at least 100 Mbps","Physical Infrastructure","Federal Communications Commission Form 477","Broadband Adoption","num","X","X","X","X","X","X","X","X","X","X","","","",""
"FCC_county_consumer_connections","Integer Residential Fixed High-Speed Connections over 200 kbps in at least one direction, in thousands","Physical Infrastructure","Federal Communications Commission Form 477","Broadband Adoption","num","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"FCC_county_non_consumer_connections","Integer Non-residential Fixed High-Speed Connections over 200 kbps in at least one direction, in thousands","Physical Infrastructure","Federal Communications Commission Form 477","Broadband Adoption","num","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"FCC_county_all_connections","Integer Total Fixed High-Speed Connections over 200 kbps in at least one direction, in thousands","Physical Infrastructure","Federal Communications Commission Form 477","Broadband Adoption","num","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"CDCW_crude_death_rate","Total deaths per 100,000 population","Health","CDCW","Health outcomes","num","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"ACS_AVG_HH_SIZE","Average household size","1. Demographics","American Community Survey (ACS)","Households","num","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"ACS_GINI_INDEX","Gini index of income inequality","2. Economics","American Community Survey (ACS)","Income","num","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"ACS_MDN_GRNDPRNT_INC","Median income of grandparent householder and/or spouse responsible for grandchildren under 18 (dollars, inflation-adjusted to data file year)","2. Economics","American Community Survey (ACS)","Income","num","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"ACS_MDN_GRNDPRNT_NO_PRNT_INC","Median income of grandparent householder and/or spouse responsible for grandchildren under 18 and no parent present (dollars, inflation-adjusted to data file year)","2. Economics","American Community Survey (ACS)","Income","num","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"ACS_MDN_OWNER_COST_MORTGAGE","Median selected monthly owner costs for houses with a mortgage (dollars)","4. Physical infrastructure","American Community Survey (ACS)","Housing and mobility","num","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"ACS_MDN_OWNER_COST_NO_MORTG","Median selected monthly owner costs for houses without a mortgage (dollars)","4. Physical infrastructure","American Community Survey (ACS)","Housing and mobility","num","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"ACS_MEDIAN_AGE","Median age of total population","1. Demographics","American Community Survey (ACS)","People","num","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"ACS_MEDIAN_AGE_FEMALE","Median age of female population","1. Demographics","American Community Survey (ACS)","People","num","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"ACS_MEDIAN_AGE_MALE","Median age of male population","1. Demographics","American Community Survey (ACS)","People","num","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"ACS_MEDIAN_HH_INC","Median household income (dollars, inflation-adjusted to data file year)","2. Economics","American Community Survey (ACS)","Income","num","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"ACS_MEDIAN_HH_INC_AIAN","Median household income for households with an American Indian and Alaska Native alone householder (dollars, inflation-adjusted to data file year)","2. Economics","American Community Survey (ACS)","Income","num","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"ACS_MEDIAN_HH_INC_ASIAN","Median household income for households with an Asian alone householder (dollars, inflation-adjusted to data file year)","2. Economics","American Community Survey (ACS)","Income","num","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"ACS_MEDIAN_HH_INC_BLACK","Median household income for households with a Black or African American alone householder (dollars, inflation-adjusted to data file year)","2. Economics","American Community Survey (ACS)","Income","num","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"ACS_MEDIAN_HH_INC_HISP","Median household income for households with a Hispanic or Latino householder (dollars, inflation-adjusted to data file year)","2. Economics","American Community Survey (ACS)","Income","num","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"ACS_MEDIAN_HH_INC_MULTI","Median household income for households with a two or more races householder (dollars, inflation-adjusted to data file year)","2. Economics","American Community Survey (ACS)","Income","num","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"ACS_MEDIAN_HH_INC_NHPI","Median household income for households with a Native Hawaiian and other Pacific Islander alone householder (dollars, inflation-adjusted to data file year)","2. Economics","American Community Survey (ACS)","Income","num","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"ACS_MEDIAN_HH_INC_OTHER","Median household income for households with a some other race alone householder (dollars, inflation-adjusted to data file year)","2. Economics","American Community Survey (ACS)","Income","num","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"ACS_MEDIAN_HH_INC_WHITE","Median household income for households with a White alone, not Hispanic or Latino householder (dollars, inflation-adjusted to data file year)","2. Economics","American Community Survey (ACS)","Income","num","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"ACS_MEDIAN_HOME_VALUE","Median home value of owner-occupied housing units (dollars)","4. Physical infrastructure","American Community Survey (ACS)","Housing and mobility","num","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"ACS_MEDIAN_INC_F","Median income of female population (dollars, ages 15 and over with income in the past 12 months, inflation-adjusted to data file year)","2. Economics","American Community Survey (ACS)","Income","num","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"ACS_MEDIAN_INC_M","Median income of male population (dollars, ages 15 and over with income in the past 12 months, inflation-adjusted to data file year)","2. Economics","American Community Survey (ACS)","Income","num","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"ACS_MEDIAN_NONVET_INC","Median income of civilian nonveteran population (dollars, ages 18 and over, inflation-adjusted to data file year)","2. Economics","American Community Survey (ACS)","Income","num","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"ACS_MEDIAN_RENT","Median gross rent (dollars)","4. Physical infrastructure","American Community Survey (ACS)","Housing and mobility","num","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"ACS_MEDIAN_VET_INC","Median income of civilian veterans (dollars, ages 18 and over, inflation-adjusted to data file year)","2. Economics","American Community Survey (ACS)","Income","num","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"ACS_MEDIAN_YEAR_BUILT","Median year structure built of housing units","4. Physical infrastructure","American Community Survey (ACS)","Housing and mobility","num","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"ACS_PCT_10UNITS","Percentage of housing in structures with 10 or more units","4. Physical infrastructure","American Community Survey (ACS)","Housing and mobility","num","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"ACS_PCT_1UP_OWNER_1ROOM","Percentage of owner-occupied housing units with more than one occupant per room","4. Physical infrastructure","American Community Survey (ACS)","Housing and mobility","num","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
