"Variable.Name","Variable.Label","Domain","Topic","Data.Source","Data.Type","availability_cat","Year","available","na_pct","active_counties"
"ACS_AVG_HH_SIZE","Average household size","Demographics","Households","ACS","num","Full Availability",2023,"X",0.00371057513914657,3222
"ACS_AVG_HH_SIZE","Average household size","Demographics","Households","ACS","num","Full Availability",2022,"X",0.00371057513914657,3222
"ACS_AVG_HH_SIZE","Average household size","Demographics","Households","ACS","num","Full Availability",2021,"X",0.00401978973407545,3221
"ACS_AVG_HH_SIZE","Average household size","Demographics","Households","ACS","num","Full Availability",2020,"X",0.00401978973407545,3221
"ACS_AVG_HH_SIZE","Average household size","Demographics","Households","ACS","num","Full Availability",2019,"X",0.00371287128712871,3220
"ACS_AVG_HH_SIZE","Average household size","Demographics","Households","ACS","num","Full Availability",2018,"X",0.00371287128712871,3220
"ACS_AVG_HH_SIZE","Average household size","Demographics","Households","ACS","num","Full Availability",2017,"X",0.00371287128712871,3220
"ACS_AVG_HH_SIZE","Average household size","Demographics","Households","ACS","num","Full Availability",2016,"X",0.00371287128712871,3220
"ACS_AVG_HH_SIZE","Average household size","Demographics","Households","ACS","num","Full Availability",2015,"X",0.00432900432900433,3220
"ACS_AVG_HH_SIZE","Average household size","Demographics","Households","ACS","num","Full Availability",2014,"X",0.00432900432900433,3220
"ACS_AVG_HH_SIZE","Average household size","Demographics","Households","ACS","num","Full Availability",2013,"X",0.00432766615146832,3221
"ACS_AVG_HH_SIZE","Average household size","Demographics","Households","ACS","num","Full Availability",2011,"X",0.00432766615146832,3221
"ACS_AVG_HH_SIZE","Average household size","Demographics","Households","ACS","num","Full Availability",2010,"X",0.00340346534653465,3221
"ACS_AVG_HH_SIZE","Average household size","Demographics","Households","ACS","num","Full Availability",2009,"X",0.00433034333436437,3219
"ACS_GINI_INDEX","Gini index of income inequality","Economics","Income","ACS","num","Full Availability",2023,"X",0.00371057513914657,3222
"ACS_GINI_INDEX","Gini index of income inequality","Economics","Income","ACS","num","Full Availability",2022,"X",0.00371057513914657,3222
"ACS_GINI_INDEX","Gini index of income inequality","Economics","Income","ACS","num","Full Availability",2021,"X",0.00401978973407545,3221
"ACS_GINI_INDEX","Gini index of income inequality","Economics","Income","ACS","num","Full Availability",2020,"X",0.00401978973407545,3221
"ACS_GINI_INDEX","Gini index of income inequality","Economics","Income","ACS","num","Full Availability",2019,"X",0.00371287128712871,3220
"ACS_GINI_INDEX","Gini index of income inequality","Economics","Income","ACS","num","Full Availability",2018,"X",0.00402227722772277,3219
"ACS_GINI_INDEX","Gini index of income inequality","Economics","Income","ACS","num","Full Availability",2017,"X",0.00371287128712871,3220
"ACS_GINI_INDEX","Gini index of income inequality","Economics","Income","ACS","num","Full Availability",2016,"X",0.00371287128712871,3220
"ACS_GINI_INDEX","Gini index of income inequality","Economics","Income","ACS","num","Full Availability",2015,"X",0.00432900432900433,3220
"ACS_GINI_INDEX","Gini index of income inequality","Economics","Income","ACS","num","Full Availability",2014,"X",0.00432900432900433,3220
"ACS_GINI_INDEX","Gini index of income inequality","Economics","Income","ACS","num","Full Availability",2013,"X",0.00432766615146832,3221
"ACS_GINI_INDEX","Gini index of income inequality","Economics","Income","ACS","num","Full Availability",2011,"X",0.00432766615146832,3221
"ACS_GINI_INDEX","Gini index of income inequality","Economics","Income","ACS","num","Full Availability",2010,"X",0.00340346534653465,3221
"ACS_GINI_INDEX","Gini index of income inequality","Economics","Income","ACS","num","Full Availability",2009,"X",0.0037117228580266,3221
"ACS_MDN_GRNDPRNT_INC","Median income of grandparent householder and/or spouse responsible for grandchildren under 18 (dollars, inflation-adjusted to data file year)","Economics","Income","ACS","num","Full Availability",2023,"X",0.270562770562771,2359
"ACS_MDN_GRNDPRNT_INC","Median income of grandparent householder and/or spouse responsible for grandchildren under 18 (dollars, inflation-adjusted to data file year)","Economics","Income","ACS","num","Full Availability",2022,"X",0.257266542980829,2402
"ACS_MDN_GRNDPRNT_INC","Median income of grandparent householder and/or spouse responsible for grandchildren under 18 (dollars, inflation-adjusted to data file year)","Economics","Income","ACS","num","Full Availability",2021,"X",0.250773036487322,2423
"ACS_MDN_GRNDPRNT_INC","Median income of grandparent householder and/or spouse responsible for grandchildren under 18 (dollars, inflation-adjusted to data file year)","Economics","Income","ACS","num","Full Availability",2020,"X",0.236239950525665,2470
"ACS_MDN_GRNDPRNT_INC","Median income of grandparent householder and/or spouse responsible for grandchildren under 18 (dollars, inflation-adjusted to data file year)","Economics","Income","ACS","num","Full Availability",2019,"X",0.210086633663366,2553
"ACS_MDN_GRNDPRNT_INC","Median income of grandparent householder and/or spouse responsible for grandchildren under 18 (dollars, inflation-adjusted to data file year)","Economics","Income","ACS","num","Full Availability",2018,"X",0.189665841584158,2619
"ACS_MDN_GRNDPRNT_INC","Median income of grandparent householder and/or spouse responsible for grandchildren under 18 (dollars, inflation-adjusted to data file year)","Economics","Income","ACS","num","Full Availability",2017,"X",0.183477722772277,2639
"ACS_MDN_GRNDPRNT_INC","Median income of grandparent householder and/or spouse responsible for grandchildren under 18 (dollars, inflation-adjusted to data file year)","Economics","Income","ACS","num","Full Availability",2016,"X",0.178527227722772,2655
"ACS_MDN_GRNDPRNT_INC","Median income of grandparent householder and/or spouse responsible for grandchildren under 18 (dollars, inflation-adjusted to data file year)","Economics","Income","ACS","num","Full Availability",2015,"X",0.336425479282622,2146
"ACS_MDN_GRNDPRNT_INC","Median income of grandparent householder and/or spouse responsible for grandchildren under 18 (dollars, inflation-adjusted to data file year)","Economics","Income","ACS","num","Full Availability",2014,"X",0.0667903525046382,3018
"ACS_MDN_GRNDPRNT_INC","Median income of grandparent householder and/or spouse responsible for grandchildren under 18 (dollars, inflation-adjusted to data file year)","Economics","Income","ACS","num","Full Availability",2013,"X",0.0738794435857805,2996
"ACS_MDN_GRNDPRNT_INC","Median income of grandparent householder and/or spouse responsible for grandchildren under 18 (dollars, inflation-adjusted to data file year)","Economics","Income","ACS","num","Full Availability",2011,"X",0.0528593508500773,3064
"ACS_MDN_GRNDPRNT_INC","Median income of grandparent householder and/or spouse responsible for grandchildren under 18 (dollars, inflation-adjusted to data file year)","Economics","Income","ACS","num","Full Availability",2010,"X",0.0597153465346535,3039
"ACS_MDN_GRNDPRNT_INC","Median income of grandparent householder and/or spouse responsible for grandchildren under 18 (dollars, inflation-adjusted to data file year)","Economics","Income","ACS","num","Full Availability",2009,"X",0.0587689452520878,3043
"ACS_MDN_GRNDPRNT_NO_PRNT_INC","Median income of grandparent householder and/or spouse responsible for grandchildren under 18 and no parent present (dollars, inflation-adjusted to data file year)","Economics","Income","ACS","num","Full Availability",2023,"X",0.444959802102659,1795
"ACS_MDN_GRNDPRNT_NO_PRNT_INC","Median income of grandparent householder and/or spouse responsible for grandchildren under 18 and no parent present (dollars, inflation-adjusted to data file year)","Economics","Income","ACS","num","Full Availability",2022,"X",0.43382807668522,1831
"ACS_MDN_GRNDPRNT_NO_PRNT_INC","Median income of grandparent householder and/or spouse responsible for grandchildren under 18 and no parent present (dollars, inflation-adjusted to data file year)","Economics","Income","ACS","num","Full Availability",2021,"X",0.42547928262214,1858
"ACS_MDN_GRNDPRNT_NO_PRNT_INC","Median income of grandparent householder and/or spouse responsible for grandchildren under 18 and no parent present (dollars, inflation-adjusted to data file year)","Economics","Income","ACS","num","Full Availability",2020,"X",0.408472479901051,1913
"ACS_MDN_GRNDPRNT_NO_PRNT_INC","Median income of grandparent householder and/or spouse responsible for grandchildren under 18 and no parent present (dollars, inflation-adjusted to data file year)","Economics","Income","ACS","num","Full Availability",2019,"X",0.372215346534653,2029
"ACS_MDN_GRNDPRNT_NO_PRNT_INC","Median income of grandparent householder and/or spouse responsible for grandchildren under 18 and no parent present (dollars, inflation-adjusted to data file year)","Economics","Income","ACS","num","Full Availability",2018,"X",0.368193069306931,2042
"ACS_MDN_GRNDPRNT_NO_PRNT_INC","Median income of grandparent householder and/or spouse responsible for grandchildren under 18 and no parent present (dollars, inflation-adjusted to data file year)","Economics","Income","ACS","num","Full Availability",2017,"X",0.353032178217822,2091
"ACS_MDN_GRNDPRNT_NO_PRNT_INC","Median income of grandparent householder and/or spouse responsible for grandchildren under 18 and no parent present (dollars, inflation-adjusted to data file year)","Economics","Income","ACS","num","Full Availability",2016,"X",0.345606435643564,2115
"ACS_MDN_GRNDPRNT_NO_PRNT_INC","Median income of grandparent householder and/or spouse responsible for grandchildren under 18 and no parent present (dollars, inflation-adjusted to data file year)","Economics","Income","ACS","num","Full Availability",2015,"X",0.384972170686456,1989
"ACS_MDN_GRNDPRNT_NO_PRNT_INC","Median income of grandparent householder and/or spouse responsible for grandchildren under 18 and no parent present (dollars, inflation-adjusted to data file year)","Economics","Income","ACS","num","Full Availability",2014,"X",0.159554730983302,2718
"ACS_MDN_GRNDPRNT_NO_PRNT_INC","Median income of grandparent householder and/or spouse responsible for grandchildren under 18 and no parent present (dollars, inflation-adjusted to data file year)","Economics","Income","ACS","num","Full Availability",2013,"X",0.175579598145286,2667
"ACS_MDN_GRNDPRNT_NO_PRNT_INC","Median income of grandparent householder and/or spouse responsible for grandchildren under 18 and no parent present (dollars, inflation-adjusted to data file year)","Economics","Income","ACS","num","Full Availability",2011,"X",0.119319938176198,2849
"ACS_MDN_GRNDPRNT_NO_PRNT_INC","Median income of grandparent householder and/or spouse responsible for grandchildren under 18 and no parent present (dollars, inflation-adjusted to data file year)","Economics","Income","ACS","num","Full Availability",2010,"X",0.129331683168317,2814
"ACS_MDN_GRNDPRNT_NO_PRNT_INC","Median income of grandparent householder and/or spouse responsible for grandchildren under 18 and no parent present (dollars, inflation-adjusted to data file year)","Economics","Income","ACS","num","Full Availability",2009,"X",0.126198577172904,2825
"ACS_MDN_OWNER_COST_MORTGAGE","Median selected monthly owner costs for houses with a mortgage (dollars)","Physical Infrastructure","Housing and mobility","ACS","num","Full Availability",2023,"X",0.00618429189857761,3214
"ACS_MDN_OWNER_COST_MORTGAGE","Median selected monthly owner costs for houses with a mortgage (dollars)","Physical Infrastructure","Housing and mobility","ACS","num","Full Availability",2022,"X",0.00556586270871985,3216
"ACS_MDN_OWNER_COST_MORTGAGE","Median selected monthly owner costs for houses with a mortgage (dollars)","Physical Infrastructure","Housing and mobility","ACS","num","Full Availability",2021,"X",0.00618429189857761,3214
"ACS_MDN_OWNER_COST_MORTGAGE","Median selected monthly owner costs for houses with a mortgage (dollars)","Physical Infrastructure","Housing and mobility","ACS","num","Full Availability",2020,"X",0.00618429189857761,3214
"ACS_MDN_OWNER_COST_MORTGAGE","Median selected monthly owner costs for houses with a mortgage (dollars)","Physical Infrastructure","Housing and mobility","ACS","num","Full Availability",2019,"X",0.00495049504950495,3216
"ACS_MDN_OWNER_COST_MORTGAGE","Median selected monthly owner costs for houses with a mortgage (dollars)","Physical Infrastructure","Housing and mobility","ACS","num","Full Availability",2018,"X",0.00495049504950495,3216
"ACS_MDN_OWNER_COST_MORTGAGE","Median selected monthly owner costs for houses with a mortgage (dollars)","Physical Infrastructure","Housing and mobility","ACS","num","Full Availability",2017,"X",0.00495049504950495,3216
"ACS_MDN_OWNER_COST_MORTGAGE","Median selected monthly owner costs for houses with a mortgage (dollars)","Physical Infrastructure","Housing and mobility","ACS","num","Full Availability",2016,"X",0.00495049504950495,3216
"ACS_MDN_OWNER_COST_MORTGAGE","Median selected monthly owner costs for houses with a mortgage (dollars)","Physical Infrastructure","Housing and mobility","ACS","num","Full Availability",2015,"X",0.00556586270871985,3216
"ACS_MDN_OWNER_COST_MORTGAGE","Median selected monthly owner costs for houses with a mortgage (dollars)","Physical Infrastructure","Housing and mobility","ACS","num","Full Availability",2014,"X",0.00556586270871985,3216
"ACS_MDN_OWNER_COST_MORTGAGE","Median selected monthly owner costs for houses with a mortgage (dollars)","Physical Infrastructure","Housing and mobility","ACS","num","Full Availability",2013,"X",0.00525502318392581,3218
"ACS_MDN_OWNER_COST_MORTGAGE","Median selected monthly owner costs for houses with a mortgage (dollars)","Physical Infrastructure","Housing and mobility","ACS","num","Full Availability",2011,"X",0.00494590417310665,3219
"ACS_MDN_OWNER_COST_MORTGAGE","Median selected monthly owner costs for houses with a mortgage (dollars)","Physical Infrastructure","Housing and mobility","ACS","num","Full Availability",2010,"X",0.00402227722772277,3219
"ACS_MDN_OWNER_COST_MORTGAGE","Median selected monthly owner costs for houses with a mortgage (dollars)","Physical Infrastructure","Housing and mobility","ACS","num","Full Availability",2009,"X",0.00433034333436437,3219
"ACS_MDN_OWNER_COST_NO_MORTG","Median selected monthly owner costs for houses without a mortgage (dollars)","Physical Infrastructure","Housing and mobility","ACS","num","Full Availability",2023,"X",0.00463821892393321,3219
"ACS_MDN_OWNER_COST_NO_MORTG","Median selected monthly owner costs for houses without a mortgage (dollars)","Physical Infrastructure","Housing and mobility","ACS","num","Full Availability",2022,"X",0.00432900432900433,3220
"ACS_MDN_OWNER_COST_NO_MORTG","Median selected monthly owner costs for houses without a mortgage (dollars)","Physical Infrastructure","Housing and mobility","ACS","num","Full Availability",2021,"X",0.00463821892393321,3219
"ACS_MDN_OWNER_COST_NO_MORTG","Median selected monthly owner costs for houses without a mortgage (dollars)","Physical Infrastructure","Housing and mobility","ACS","num","Full Availability",2020,"X",0.00463821892393321,3219
