"facility.id","facility.name","address","city","state","county.name","zip.code","hospital.type","hospital.ownership","emergency.services","location","query","STATEFP","COUNTYFP","COUNTYNS","AFFGEOID","GEOID","NAME","NAMELSAD","STUSPS","STATE_NAME","LSAD","ALAND","AWATER","lon","lat"
"010001","SOUTHEAST HEALTH MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL","HOUSTON",36301,"Acute Care Hospitals","Government - Hospital District or Authority","Yes","1108 ROSS CLARK CIRCLE, DOTHAN, AL, 36301","census","01","069","00161560","0500000US01069","01069","Houston","Houston County","AL","Alabama","06",1501742235,4795415,-85.361446991439,31.21566695385
"010005","MARSHALL MEDICAL CENTERS","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","MARSHALL",35957,"Acute Care Hospitals","Government - Hospital District or Authority","Yes","2505 U S HIGHWAY 431 NORTH, BOAZ, AL, 35957","census","01","095","00161574","0500000US01095","01095","Marshall","Marshall County","AL","Alabama","06",1465531833,148497637,-86.159366335505,34.221221654827
"010006","NORTH ALABAMA MEDICAL CENTER","1701 VETERANS DRIVE","FLORENCE","AL","LAUDERDALE",35630,"Acute Care Hospitals","Proprietary","Yes","1701 VETERANS DRIVE, FLORENCE, AL, 35630","census","01","077","00161564","0500000US01077","01077","Lauderdale","Lauderdale County","AL","Alabama","06",1730150450,133604582,-87.649945372824,34.803808001178
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","COVINGTON",36467,"Acute Care Hospitals","Voluntary non-profit - Private","Yes","702 N MAIN ST, OPP, AL, 36467","census","01","039","00161545","0500000US01039","01039","Covington","Covington County","AL","Alabama","06",2669165560,34194851,-86.255377693357,31.291590951497
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","AL","CRENSHAW",36049,"Acute Care Hospitals","Proprietary","Yes","101 HOSPITAL CIRCLE, LUVERNE, AL, 36049","osm","01","041","00161546","0500000US01041","01041","Crenshaw","Crenshaw County","AL","Alabama","06",1576952763,5388562,-86.2647016,31.6937493
"010011","ST. VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE","BIRMINGHAM","AL","JEFFERSON",35235,"Acute Care Hospitals","Voluntary non-profit - Private","Yes","50 MEDICAL PARK EAST DRIVE, BIRMINGHAM, AL, 35235","census","01","073","00161562","0500000US01073","01073","Jefferson","Jefferson County","AL","Alabama","06",2878876108,32657851,-86.668757123223,33.590809113008
"010012","DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","FORT PAYNE","AL","DE KALB",35968,"Acute Care Hospitals","Proprietary","Yes","200 MED CENTER DRIVE, FORT PAYNE, AL, 35968","census","01","049","00161550","0500000US01049","01049","DeKalb","DeKalb County","AL","Alabama","06",2012620262,4107136,-85.755987731413,34.439857255109
"010016","SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","ALABASTER","AL","SHELBY",35007,"Acute Care Hospitals","Voluntary non-profit - Private","Yes","1000 FIRST STREET NORTH, ALABASTER, AL, 35007","census","01","117","00161584","0500000US01117","01117","Shelby","Shelby County","AL","Alabama","06",2034280320,62287592,-86.814596673788,33.251351881816
"010018","CALLAHAN EYE HOSPITAL","1720 UNIVERSITY BLVD, SUITE 500","BIRMINGHAM","AL","JEFFERSON",35233,"Acute Care Hospitals","Voluntary non-profit - Private","Yes","1720 UNIVERSITY BLVD, SUITE 500, BIRMINGHAM, AL, 35233","census","01","073","00161562","0500000US01073","01073","Jefferson","Jefferson County","AL","Alabama","06",2878876108,32657851,-86.80242904198,33.503171715537
"010019","HELEN KELLER HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL","COLBERT",35660,"Acute Care Hospitals","Government - Hospital District or Authority","Yes","1300 SOUTH MONTGOMERY AVENUE, SHEFFIELD, AL, 35660","census","01","033","00161542","0500000US01033","01033","Colbert","Colbert County","AL","Alabama","06",1535742270,79160396,-87.698972115034,34.745888430565
"010021","DALE MEDICAL CENTER","126 HOSPITAL AVE","OZARK","AL","DALE",36360,"Acute Care Hospitals","Government - Hospital District or Authority","Yes","126 HOSPITAL AVE, OZARK, AL, 36360","census","01","045","00161548","0500000US01045","01045","Dale","Dale County","AL","Alabama","06",1453276164,4051341,-85.631010619762,31.451773243105
"010022","CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR","CENTRE","AL","CHEROKEE",35960,"Acute Care Hospitals","Voluntary non-profit - Private","Yes","400 NORTHWOOD DR, CENTRE, AL, 35960","census","01","019","00161535","0500000US01019","01019","Cherokee","Cherokee County","AL","Alabama","06",1433620850,120310807,-85.65238166685,34.162721230259
"010023","BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD","MONTGOMERY","AL","MONTGOMERY",36116,"Acute Care Hospitals","Government - Hospital District or Authority","Yes","2105 EAST SOUTH BOULEVARD, MONTGOMERY, AL, 36116","census","01","101","00161577","0500000US01101","01101","Montgomery","Montgomery County","AL","Alabama","06",2034059354,37703222,-86.276086661145,32.327205950032
"010024","JACKSON HOSPITAL & CLINIC INC","1725 PINE STREET","MONTGOMERY","AL","MONTGOMERY",36106,"Acute Care Hospitals","Voluntary non-profit - Private","Yes","1725 PINE STREET, MONTGOMERY, AL, 36106","census","01","101","00161577","0500000US01101","01101","Montgomery","Montgomery County","AL","Alabama","06",2034059354,37703222,-86.285147243062,32.366614568325
"010029","THE EAST ALABAMA HEALTHCARE AUTHORITY","2000 PEPPERELL PARKWAY","OPELIKA","AL","LEE",36801,"Acute Care Hospitals","Government - Hospital District or Authority","Yes","2000 PEPPERELL PARKWAY, OPELIKA, AL, 36801","census","01","081","00161566","0500000US01081","01081","Lee","Lee County","AL","Alabama","06",1573532275,21511295,-85.404160981085,32.638140716817
"010033","UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","BIRMINGHAM","AL","JEFFERSON",35233,"Acute Care Hospitals","Government - State","Yes","619 SOUTH 19TH STREET, BIRMINGHAM, AL, 35233","census","01","073","00161562","0500000US01073","01073","Jefferson","Jefferson County","AL","Alabama","06",2878876108,32657851,-86.801832411474,33.506123544499
"010034","COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD","TALLASSEE","AL","ELMORE",36078,"Acute Care Hospitals","Voluntary non-profit - Private","Yes","805 FRIENDSHIP ROAD, TALLASSEE, AL, 36078","census","01","051","00161551","0500000US01051","01051","Elmore","Elmore County","AL","Alabama","06",1601948961,99777799,-85.909594045109,32.534874920076
"010035","CULLMAN REGIONAL MEDICAL CENTER","1912 ALABAMA HIGHWAY 157","CULLMAN","AL","CULLMAN",35058,"Acute Care Hospitals","Government - Hospital District or Authority","Yes","1912 ALABAMA HIGHWAY 157, CULLMAN, AL, 35058","census","01","043","00161547","0500000US01043","01043","Cullman","Cullman County","AL","Alabama","06",1902965932,52529994,-86.803697230901,34.198631325927
"010036","ANDALUSIA HEALTH","849 SOUTH THREE NOTCH STREET","ANDALUSIA","AL","COVINGTON",36420,"Acute Care Hospitals","Proprietary","Yes","849 SOUTH THREE NOTCH STREET, ANDALUSIA, AL, 36420","census","01","039","00161545","0500000US01039","01039","Covington","Covington County","AL","Alabama","06",2669165560,34194851,-86.496633819213,31.296720067663
"010038","STRINGFELLOW CAMPUS OF NORTHEAST RMC","301 EAST 18TH ST","ANNISTON","AL","CALHOUN",36201,"Acute Care Hospitals","Proprietary","Yes","301 EAST 18TH ST, ANNISTON, AL, 36201","census","01","015","00161533","0500000US01015","01015","Calhoun","Calhoun County","AL","Alabama","06",1569248376,16534047,-85.824973274829,33.66775818758
"010039","HUNTSVILLE HOSPITAL","101 SIVLEY RD","HUNTSVILLE","AL","MADISON",35801,"Acute Care Hospitals","Government - Hospital District or Authority","Yes","101 SIVLEY RD, HUNTSVILLE, AL, 35801","osm","01","089","00161570","0500000US01089","01089","Madison","Madison County","AL","Alabama","06",2076137992,28784634,-86.5809968,34.7205286
"010040","GADSDEN REGIONAL MEDICAL CENTER","1007 GOODYEAR AVENUE","GADSDEN","AL","ETOWAH",35903,"Acute Care Hospitals","Proprietary","Yes","1007 GOODYEAR AVENUE, GADSDEN, AL, 35903","census","01","055","00161553","0500000US01055","01055","Etowah","Etowah County","AL","Alabama","06",1385916764,35022972,-85.969512750161,34.009363151994
"010044","MARION REGIONAL MEDICAL CENTER","1256 MILITARY STREET SOUTH","HAMILTON","AL","MARION",35570,"Acute Care Hospitals","Voluntary non-profit - Private","Yes","1256 MILITARY STREET SOUTH, HAMILTON, AL, 35570","census","01","093","00161573","0500000US01093","01093","Marion","Marion County","AL","Alabama","06",1922660062,3180617,-87.989520066205,34.115238682924
"010045","FAYETTE MEDICAL CENTER","1653 TEMPLE AVENUE NORTH","FAYETTE","AL","FAYETTE",35555,"Acute Care Hospitals","Voluntary non-profit - Other","Yes","1653 TEMPLE AVENUE NORTH, FAYETTE, AL, 35555","census","01","057","00161554","0500000US01057","01057","Fayette","Fayette County","AL","Alabama","06",1625693253,4330881,-87.824386025628,33.706856223775
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","600 SOUTH THIRD STREET","GADSDEN","AL","ETOWAH",35901,"Acute Care Hospitals","Proprietary","Yes","600 SOUTH THIRD STREET, GADSDEN, AL, 35901","census","01","055","00161553","0500000US01055","01055","Etowah","Etowah County","AL","Alabama","06",1385916764,35022972,-86.003894311994,34.005007936359
"010049","MEDICAL CENTER ENTERPRISE","400 N EDWARDS STREET","ENTERPRISE","AL","COFFEE",36330,"Acute Care Hospitals","Proprietary","Yes","400 N EDWARDS STREET, ENTERPRISE, AL, 36330","census","01","031","00161541","0500000US01031","01031","Coffee","Coffee County","AL","Alabama","06",1758565928,3907189,-85.855189811095,31.31814838853
"010051","GREENE COUNTY HOSPITAL","509 WILSON AVENUE","EUTAW","AL","GREENE",35462,"Acute Care Hospitals","Government - Local","Yes","509 WILSON AVENUE, EUTAW, AL, 35462","census","01","063","00161557","0500000US01063","01063","Greene","Greene County","AL","Alabama","06",1675782054,33416150,-87.889471830997,32.843458480891
"010052","LAKE MARTIN COMMUNITY HOSPITAL","201 MARIARDEN ROAD","DADEVILLE","AL","TALLAPOOSA",36853,"Acute Care Hospitals","Proprietary","Yes","201 MARIARDEN ROAD, DADEVILLE, AL, 36853","census","01","123","00161587","0500000US01123","01123","Tallapoosa","Tallapoosa County","AL","Alabama","06",1855798001,128790973,-85.74157862594,32.819988089566
"010055","FLOWERS HOSPITAL","4370 WEST MAIN STREET","DOTHAN","AL","HOUSTON",36305,"Acute Care Hospitals","Proprietary","Yes","4370 WEST MAIN STREET, DOTHAN, AL, 36305","census","01","069","00161560","0500000US01069","01069","Houston","Houston County","AL","Alabama","06",1501742235,4795415,-85.457679870891,31.235998768937
"010056","ST VINCENT'S BIRMINGHAM","810 ST VINCENT'S DRIVE","BIRMINGHAM","AL","JEFFERSON",35205,"Acute Care Hospitals","Voluntary non-profit - Private","Yes","810 ST VINCENT'S DRIVE, BIRMINGHAM, AL, 35205","census","01","073","00161562","0500000US01073","01073","Jefferson","Jefferson County","AL","Alabama","06",2878876108,32657851,-86.788456205221,33.508917604198
"010058","BIBB MEDICAL CENTER","208 PIERSON AVE","CENTREVILLE","AL","BIBB",35042,"Acute Care Hospitals","Government - Hospital District or Authority","Yes","208 PIERSON AVE, CENTREVILLE, AL, 35042","census","01","007","00161529","0500000US01007","01007","Bibb","Bibb County","AL","Alabama","06",1612188713,9572302,-87.148168144874,32.950920928811
"010059","LAWRENCE MEDICAL CENTER","202 HOSPITAL STREET","MOULTON","AL","LAWRENCE",35650,"Acute Care Hospitals","Government - Hospital District or Authority","Yes","202 HOSPITAL STREET, MOULTON, AL, 35650","census","01","079","00161565","0500000US01079","01079","Lawrence","Lawrence County","AL","Alabama","06",1788864400,68682236,-87.28595245502,34.482961715487
"010061","HIGHLANDS MEDICAL CENTER","380 WOODS COVE ROAD","SCOTTSBORO","AL","JACKSON",35768,"Acute Care Hospitals","Government - Hospital District or Authority","Yes","380 WOODS COVE ROAD, SCOTTSBORO, AL, 35768","census","01","071","00161561","0500000US01071","01071","Jackson","Jackson County","AL","Alabama","06",2792044647,126334711,-86.047351663756,34.661110165854
"010062","WIREGRASS MEDICAL CENTER","1200 W MAPLE AVENUE","GENEVA","AL","GENEVA",36340,"Acute Care Hospitals","Government - Hospital District or Authority","Yes","1200 W MAPLE AVENUE, GENEVA, AL, 36340","osm","01","061","00161556","0500000US01061","01061","Geneva","Geneva County","AL","Alabama","06",1487908432,11567409,-85.8920213,31.0489116
"010065","RUSSELL MEDICAL CENTER","3316 HIGHWAY 280","ALEXANDER CITY","AL","TALLAPOOSA",35010,"Acute Care Hospitals","Voluntary non-profit - Private","Yes","3316 HIGHWAY 280, ALEXANDER CITY, AL, 35010","arcgis","01","123","00161587","0500000US01123","01123","Tallapoosa","Tallapoosa County","AL","Alabama","06",1855798001,128790973,-85.969570030444,32.930209987299
"010069","MEDICAL CENTER BARBOUR","820 W WASHINGTON ST","EUFAULA","AL","BARBOUR",36027,"Acute Care Hospitals","Government - Hospital District or Authority","Yes","820 W WASHINGTON ST, EUFAULA, AL, 36027","census","01","005","00161528","0500000US01005","01005","Barbour","Barbour County","AL","Alabama","06",2292160151,50523213,-85.156608652245,31.888044089201
"010073","CLAY COUNTY HOSPITAL","83825 HIGHWAY 9    P O BOX 1270","ASHLAND","AL","CLAY",36251,"Acute Care Hospitals","Government - Hospital District or Authority","Yes","83825 HIGHWAY 9    P O BOX 1270, ASHLAND, AL, 36251","arcgis","01","027","00161539","0500000US01027","01027","Clay","Clay County","AL","Alabama","06",1564255426,5281616,-85.823159974917,33.275810020639
"010078","NORTHEAST ALABAMA REGIONAL MEDICAL CENTER","400 EAST 10TH STREET","ANNISTON","AL","CALHOUN",36207,"Acute Care Hospitals","Government - Local","Yes","400 EAST 10TH STREET, ANNISTON, AL, 36207","census","01","015","00161533","0500000US01015","01015","Calhoun","Calhoun County","AL","Alabama","06",1569248376,16534047,-85.8233089008,33.657057320993
"010079","ATHENS LIMESTONE HOSPITAL","700 WEST MARKET STREET","ATHENS","AL","LIMESTONE",35611,"Acute Care Hospitals","Government - Hospital District or Authority","Yes","700 WEST MARKET STREET, ATHENS, AL, 35611","census","01","083","00161567","0500000US01083","01083","Limestone","Limestone County","AL","Alabama","06",1459208116,113399392,-86.977298550372,34.803565504571
