"GEOID","county","state","pop","med_house_income","pct_white","pct_black","pct_native","pct_asian","pct_island","pct_other","pct_hisp_latino","pct_male","pct_female","pct_under_18","pct_18_64","pct_65_plus","pct_no_school","pct_mid_school","pct_high_school","pct_ged","pct_associates","pct_bachelors","pct_masters","pct_doctorate","pct_drove_alone","pct_public_transp","pct_internet_sub","pct_internet_wo_sub","pct_no_internet","casthma","arthritis","stroke","disability","obesity","vision","mobility","binge","depression","copd","access2","chd","checkup","cancer","csmoking","crude_rate","crude_rate_drug_induced","crude_rate_alcohol_induced","crude_rate_non_drug_alcohol","mental_health_providers","tier_1","tier_2","tier_3","tier_4","inf_mort_rate_5yr_lt1_avg","hosp_per100k","lth_psych_per100k","hosp_adm_per100k","hosp_beds_per1000","md_nf_fed_per100k","do_nf_fed_activ_per100k","stgh_ed_vists_per100k","stnglth_ed_vists_per100k","lo_birth_wgt_pct","suicide_deth_3yr_per100k","stgh_obstetrc_care_per100k_fem","do_nf_obgyn_gen_per100k_fem","md_nf_obgyn_gen_per100k_fem","comn_mentl_hlth_ctr_per100k","fedly_qualfd_hlth_ctr_per100k"
1001,"Autauga","AL",58761,68315,0.7255662769524,0.195639965283096,0.00100406732356495,0.0108235053862256,0,0.00239955072241793,0.0317217201885604,0.487789520260036,0.512210479739964,0.234271030105002,0.609570973945304,0.156157995949695,0.00617099631730865,0.00577286752264358,0.248855379715338,0.0626057529610829,0.0869662585846521,0.167363392057331,0.0998805613616005,0.0108738927042898,0.854278421072102,0.00562317339351115,0.891294602833064,0.0140756679218218,0.0946297292451139,10,34.5,3.7,32.8,38.9,4.9,15.2,15.4,23.8,7.8,7.1,7.4,79.3,8.3,15.5,1074.3,16.7,NA,1054.2,0.00035536001353752,5,4,4,4,NA,1.6733881089041,0,5712.94700379859,1.28850884385616,87.0161816630131,3.3467762178082,48365.9365116551,0,10.5337078651685,NA,0,0,0,0,3.3467762178082
1003,"Baldwin","AL",233420,71039,0.823241367492074,0.0827606888869848,0.00219347099648702,0.00876531573986805,9.42507068803016e-05,0.0042498500556936,0.0480250192785537,0.488719904035644,0.511280095964356,0.211618541684517,0.576321651957844,0.212059806357639,0.00752595466465496,0.00477182646597454,0.227868185029517,0.0498856438074026,0.0960711762522302,0.200416711570931,0.0902695453293578,0.0140759899893427,0.813469985358712,0.000925707268691258,0.891334992621308,0.0191625735115967,0.0895024338670954,9.7,34.6,3.7,31.8,36.8,4.6,14.8,15.7,23.5,7.9,6.4,8.2,79.9,10.1,14,1128.9,32.1,16.6,1080.2,0.00104473994333331,4,3,3,3,5.3,1.62314606285633,0,8637.16598697425,1.69618763568487,254.833931868444,25.1587639742731,45850.2241970499,0,8.43570843570844,18.6661797228478,1.58389495608651,0.791947478043256,17.4228445169516,0.811573031428166,1.62314606285633
1005,"Barbour","AL",24877,39712,0.445552116412751,0.468786429231821,0.00253245970173252,0.00506491940346505,0.00012059331913012,0.0116573541825783,0.0483177231981348,0.521485709691683,0.478514290308317,0.207058728946416,0.594927041041926,0.198014230011657,0.0162376237623762,0.0255728429985856,0.290579915134371,0.0775671852899576,0.079038189533239,0.066025459688826,0.0362093352192362,0.00594059405940594,0.820525116892459,0.00131878671622108,0.682231588287489,0.0744232475598935,0.243345164152618,11.2,37.1,6.1,43,43.3,9.4,23.4,12.2,22.8,11.7,11.3,10.5,81.1,7.9,20.9,1343.8,48.6,NA,1287.1,0.00024034609838167,3,3,3,2,NA,4.04759977333441,0,4691.16813729458,1.90237189346717,44.5235975066785,4.04759977333441,58593.054318789,0,13.8181818181818,NA,0,0,0,0,12.1427993200032
1007,"Bibb","AL",22251,50669,0.742438542087996,0.206642398094468,0.000674127005527841,0.00310098422542807,0,0.000764010606264887,0.0292121702395398,0.534672598984315,0.465327401015685,0.211900588737585,0.620286728686351,0.167812682576064,0.0227943485086342,0.0224803767660911,0.330361067503925,0.0784301412872841,0.0796860282574568,0.06574568288854,0.0318367346938776,0.0047723704866562,0.87983630952381,0,0.797533259423503,0.00970066518847007,0.192766075388027,10.7,33.9,4.6,38.2,41.4,7.1,18.7,14.5,25.9,10.3,12.2,8.8,78,8.5,21.1,1217.9,NA,NA,1181.5,0.00040040930729189,3,3,2,1,NA,4.54442172233583,0,8884.34446716655,7.54374005907748,149.965916837082,45.4442172233583,48911.6109975006,0,9.79591836734694,NA,0,0,0,0,36.3553737786867
1009,"Blount","AL",59077,57440,0.856746280278281,0.012339827682516,0.00126952959696667,0.00169270612928889,0.00198046617126801,0.00147265433248134,0.0968397176566176,0.505509758450835,0.494490241549165,0.229598659376746,0.58774142221169,0.182659918411565,0.0241566014160766,0.0104858269838548,0.275571453071024,0.0775657201656173,0.110076683734718,0.0940784477056129,0.0428987921699292,0.00382193693804052,0.848946807638718,0,0.831036715065199,0.0190049015074447,0.149958383427356,10.5,34.6,4.3,37.9,37.3,6.3,18.4,15.2,26.8,10.5,10.8,9.2,77.7,9.4,19.1,1396.4,30.2,NA,1357.7,0.0002032485899629,4,3,3,2,NA,1.68033337814222,0,1535.82470762199,0.420083344535556,35.2870009409867,0,22227.4499260653,0,7.54437869822485,23.5246672939911,0,0,0,0,1.68033337814222
1011,"Bullock","AL",10328,36136,0.205751355538342,0.689097598760651,0,0.00416343919442293,0,0,0.0878195197521301,0.536599535243997,0.463400464756003,0.21059256390395,0.623450813323005,0.165956622773044,0.0279485746226942,0.0231973169368362,0.35145332588038,0.0617663499161543,0.0315818893236445,0.0687534935718278,0.0129960871995528,0.00461151481274455,0.88611035607502,0,0.615942028985507,0.0652173913043478,0.318840579710145,11.9,35.3,7.2,46.5,49.6,12.2,26.9,11.7,21.6,12.3,14.9,10.3,81,6.3,24.6,1225.2,NA,NA,1176.2,0.0001937984496124,3,3,3,1,NA,9.80199960792002,0,12546.5594981376,5.29307978827681,49.0099980396001,0,27249.5589100176,0,13.2075471698113,NA,0,0,0,0,9.80199960792002
1013,"Butler","AL",18981,44429,0.50866656129814,0.44581423528792,0.00363521416152995,0.0128022759601707,0,0.000421474105684632,0.0169643327538064,0.470365101944049,0.529634898055951,0.223065170433591,0.56509140719667,0.211843422369738,0.0252525252525253,0.00489974370571386,0.416176692296095,0.0635459068294889,0.074400723654455,0.0775667118950701,0.040856324438414,0.00158299412030755,0.860833107925345,0.00229916148228293,0.786145000701164,0.0461365867339784,0.167718412564858,11.2,38.1,5.7,41.4,45,8.3,22.7,12,22.8,10.9,9,9.9,82.1,8.4,19.5,1619.3,NA,NA,1576.4,0.00084727811904257,4,3,3,2,NA,5.36193029490617,0,5302.9490616622,3.27077747989276,107.238605898123,0,16573.726541555,0,13.0841121495327,NA,0,0,0,5.36193029490617,5.36193029490617
1015,"Calhoun","AL",116162,54339,0.704628019490023,0.216972848263632,0.00149790809386891,0.00609493638194935,0.00178199411167163,0.00367590089702312,0.0407706478882939,0.483677966977153,0.516322033022847,0.211764604603915,0.609226769511544,0.179008625884541,0.0122005295764655,0.0169388453205965,0.273644068870279,0.0719489174088761,0.0810961472678669,0.11526523165803,0.052210158239475,0.0128086556612738,0.852222994805514,0.00584890997586813,0.834470722484505,0.0202492560356208,0.145280021479874,10.2,35.4,4.2,35.4,37.7,6.1,17.4,14.4,24.6,9.1,8.6,8.2,79.5,8.4,17,1500.2,51.8,10.4,1438,0.00149173938536888,4,4,3,3,NA,2.59094206653539,0,11768.0588662038,3.70504715514561,179.638649946454,12.954710332677,25818.7376930252,0,9.1533180778032,19.8638891767713,1.68160492373922,0,18.4976541611314,0,2.59094206653539
1017,"Chambers","AL",34612,48805,0.542990870218421,0.407575407373165,0.00028891713856466,0.00173350283138796,8.66751415693979e-05,0.00182017797295736,0.0326187449439501,0.476279902923841,0.523720097076159,0.207760314341847,0.594909280018491,0.197330405639663,0.0231117947057395,0.0167975390593378,0.323443697887153,0.0717234679834858,0.109163765886829,0.0920019428478912,0.0298308103294746,0.00222617987533393,0.855525238744884,0.00463847203274216,0.785513200943468,0.0221410636840904,0.192345735372442,11.4,36.8,5.6,41.5,45.6,8.3,22.5,12.6,24.2,11.3,10.8,9.7,80.6,8.2,20.6,1487.3,NA,NA,1475.6,8.68533047682464e-05,4,4,4,3,NA,0,0,0,0,82.1403426425722,2.93358366580615,0,0,13.1979695431472,NA,0,0,0,0,5.8671673316123
1019,"Cherokee","AL",25069,46621,0.907455423032431,0.0398899038653317,0.00450755913678248,0.000837687981171965,0,0.000638238461845307,0.0191072639514939,0.489090111292832,0.510909888707168,0.188519685667558,0.579041844509155,0.232438469823288,0.0167359499001242,0.0318522917453976,0.290773632780867,0.0697511202289046,0.119581061383145,0.082600010797387,0.0449171300545268,0.00545268045133078,0.853755332870324,0.00714356582994345,0.781634490347104,0.0226067820346104,0.195758727618285,10,43.6,4.6,36.3,39.9,5.7,18.4,14.2,25,10,6.9,10.1,80.5,10.7,16.3,1620.4,NA,NA,1577,0.00024003840614498,3,3,2,1,NA,3.95225673859774,0,4217.05794008379,1.77851553236898,59.2838510789661,7.90451347719548,6311.75401154059,0,6.77966101694915,NA,0,0,0,0,3.95225673859774
