"STATEFP","COUNTYFP","TRACTCE","POPULATION","LATITUDE","LONGITUDE"
51,1,90101,1799,37.932981,-75.36084
51,1,90102,1545,37.922945,-75.38246
51,1,90201,3990,37.974217,-75.453185
51,1,90202,3046,37.926863,-75.533091
51,1,90300,2093,37.87235,-75.623229
51,1,90401,2455,37.82204,-75.581948
51,1,90402,3281,37.7411,-75.639246
51,1,90500,2721,37.775645,-75.666466
51,1,90600,3900,37.728693,-75.78104
51,1,90700,5220,37.639622,-75.782584
51,1,90800,3362,37.589653,-75.766489
51,1,980100,1,37.922038,-75.333544
51,1,980200,0,37.900687,-75.452709
51,1,990100,0,37.595224,-75.541242
51,1,990200,0,37.731332,-76.047814
51,3,10100,5147,38.166037,-78.595449
51,3,10201,5550,38.166938,-78.4281
51,3,10202,3238,38.120642,-78.508035
51,3,10301,1939,38.132312,-78.445127
51,3,10302,1450,38.103844,-78.440324
51,3,10303,5685,38.121073,-78.432339
51,3,10401,4201,38.076351,-78.343383
51,3,10402,3605,37.991121,-78.382652
51,3,10501,3004,38.04679,-78.432087
51,3,10502,3371,38.031685,-78.444245
51,3,10602,4409,38.062139,-78.459179
51,3,10603,2391,38.072407,-78.473294
51,3,10604,4029,38.083803,-78.461363
51,3,10701,2862,38.071049,-78.493341
51,3,10702,3763,38.079439,-78.487467
51,3,10801,3598,38.063565,-78.504569
51,3,10802,2404,38.07304,-78.508342
51,3,10901,1746,38.049075,-78.514559
51,3,10904,6163,38.035917,-78.513763
51,3,11000,6612,38.060876,-78.586321
51,3,11101,2884,38.071019,-78.683632
51,3,11102,3286,38.061302,-78.688125
51,3,11103,4608,38.06312,-78.713331
51,3,11201,4208,38.010974,-78.732145
51,3,11202,4043,37.991608,-78.572223
51,3,11301,5127,37.933373,-78.491558
51,3,11302,5151,38.006862,-78.521357
51,3,11303,3791,38.002423,-78.496618
51,3,11400,4130,37.82495,-78.59386
51,5,70100,3662,37.819937,-79.821473
51,5,80100,3198,37.815107,-79.799253
51,5,80201,2790,37.83862,-79.952401
51,5,80202,2381,37.721846,-80.025038
51,5,80301,1854,37.849132,-80.048656
51,5,80302,1338,37.727756,-80.157258
51,7,930101,2634,37.346674,-78.118598
51,7,930102,4475,37.406087,-77.963356
51,7,930200,6156,37.292357,-77.919867
